conv:people_2019081901_108:aug_0:chat_0:chataug_0| gregory malcolm| [person:gregory m 0-0][person:malcolm m 1-1]
stanley| Hey Doug how are you doing| [person:doug m 1-1][person:doug m 4-4]
doug| I m doing great How are you doing| [person:doug m 0-0][person:stanley m 6-6]
stanley| I m fine my friends Tim and Roger are coming to visit| [person:stanley m 0-0][person:stanley m 3-3][person:friends g() 4-4][person:tim m 5-5][person:roger m 7-7]
doug| Oh cool What are you planning to do with them| [person:stanley m 4-4][person:friends g(tim:roger) 9-9]
stanley| Well I was wondering if you could show them around St Louis| [person:stanley m 1-1][person:doug m 5-5][person:friends g(tim:roger) 8-8][location:st__louis s 10-11]
doug| Where do you think they d like to go in St Louis| [person:stanley m 2-2][person:friends g(tim:roger) 4-4][location:st__louis s 10-11]
stanley| They haven t seen the great arch so I think they d like that best| [person:friends g(tim:roger) 0-0][location:arch s 6-6][person:stanley m 8-8][person:friends g(tim:roger) 10-10]
doug| That would be nice to show them Sure thing When should I plan to take them| [person:friends g(tim:roger) 6-6][person:doug m 11-11][person:friends g(tim:roger) 15-15]
stanley| How about at 3 PM Tuesday|
doug| You betcha I ll meet at your house then| [person:stanley m 0-0][person:doug m 2-2][person:stanley m 6-6][location:house s 7-7]
stanley| Great thanks so much See you then| [person:doug m 5-5]

conv:people_2019081902_100:aug_0:chat_0:chataug_0| barry ethan| [person:barry m 0-0][person:ethan m 1-1]
barry| Hey what are you doing in March| [person:ethan m 3-3]
ethan| Nothing big planned why what s going on|
barry| Me and my cousins Eric and Louis are going to go to Europe I know you said you ve always wanted to go| [person:barry m 0-0][person:barry m 2-2][person:cousins g() 3-3][person:eric m 4-4][person:louis m 6-6][person:barry m 13-13][person:ethan m 15-15][person:ethan m 17-17]
ethan| Hmm that could be fun but I m not sure| [person:ethan m 6-6]
barry| Why not Anything I can help with| [person:barry m 3-3]
ethan| I just don t know your cousins that well so I m not sure we d want to do the same activities on the trip| [person:ethan m 0-0][person:barry m 5-5][person:cousins g(eric:louis) 6-6][person:ethan m 10-10][person:we g(ethan:eric:louis) 14-14]
barry| Oh Well you like history right| [person:ethan m 2-2]
ethan| Yes that and local food and drink|
barry| Well Eric is obsessed with museums and cathedrals And Louis is a foodie| [person:eric m 1-1][location:museums g() 5-5][person:louis m 9-9]
ethan| That could work Why don t we hang out next week and discuss it| [person:we g(barry:ethan) 6-6]
barry| Great see you next week| [person:ethan m 2-2]

conv:people_2019081902_101:aug_0:chat_0:chataug_0| betty carol| [person:betty f 0-0][person:carol f 1-1]
carol| Today is coffee right|
betty| Yeah we are meeting Lucy and Deborah Where should we meet| [person:we g(carol:betty) 1-1][person:lucy f 4-4][person:deborah f 6-6][person:we g(carol:betty) 9-9]
carol| I think Lucy really likes scones so we could go to Cafe Miguel or Sarah s What about Deborah| [person:carol f 0-0][person:lucy f 2-2][person:we g(carol:betty) 7-7][location:cafe s 11-11][person:sarah f 14-14][person:deborah f 18-18]
betty| Deborah s favorite is the mocha espresso at Sarah s and that shop also has the cookies that she can eat because of allergies| [person:deborah f 0-0][person:sarah f 8-8][person:sarah f 18-18]
carol| Well it sounds like everyone likes Sarah s Will they have time to get back to work before their breaks are over| [person:everyone g() 4-4][person:sarah f 6-6][person:they g() 9-9][person:they g() 18-18]
betty| Sarah s is close to where they each work I m glad you thought of that| [person:sarah f 0-0][person:they g() 6-6][person:betty f 9-9][person:carol f 12-12]
carol| Do you like Sarah s| [person:betty f 1-1][person:sarah f 3-3]
betty| They have really great lemonade there you can add flavors to it| [person:they g() 0-0][person:carol f 6-6]
carol| I texted them both with the time and place and they will be there| [person:carol f 0-0][person:they g() 2-2][location:place s 8-8][person:they g() 10-10]
betty| Sounds great looking forward to it|

conv:people_2019081902_103:aug_0:chat_0:chataug_0| bryan scott| [person:bryan m 0-0][person:scott m 1-1]
bryan| Hey Scott what s going on| [person:scott m 1-1]
scott| Hi Bryan how is your family doing| [person:bryan m 1-1][person:bryan m 4-4][person:family g() 5-5]
bryan| My family is great how about yours| [person:bryan m 0-0][person:family g() 1-1][person:scott m 6-6]
scott| Good Do you want to go to breakfast together| [person:bryan m 2-2]
bryan| Sure that sounds terrific How about we invite some friends| [person:bryan___scott g(bryan:scott) 6-6][person:friends g() 9-9]
scott| Yes let s invite Douglas and Robert to breakfast| [person:douglas m 4-4][person:robert m 6-6]
bryan| Well I was thinking maybe just Robert because Douglas is particular about always needing Italian| [person:bryan m 1-1][person:robert m 6-6][person:douglas m 8-8]
scott| That s okay because they have a buffet with Italian and other cultures on 5th street We could go there| [person:friends g(robert:douglas) 4-4][location:street s 15-15][person:bryan___scott g(bryan:scott) 16-16][location:street s 19-19]
bryan| Okay that sounds like a plan Let s do it|
scott| Great I ll meet you there at 10 am I can call our friends and have them meet us too| [person:scott m 1-1][person:bryan m 4-4][person:scott m 9-9][person:friends g(robert:douglas) 13-13][person:friends g(robert:douglas) 16-16][person:bryan___scott g(bryan:scott) 18-18]

conv:people_2019081902_104:aug_0:chat_0:chataug_0| carlos zachary| [person:carlos m 0-0][person:zachary m 1-1]
carlos| Hey man Do you still want watch the soccer game with Gregory and Daniel| [person:zachary m 3-3][person:gregory m 11-11][person:daniel m 13-13]
zachary| Hey I m looking forward to the game It should be a good one| [person:zachary m 1-1]
carlos| Where do you want to meet up to watch it| [person:zachary m 2-2]
zachary| I guess we should find somewhere convenient to everybody Let s try to find somewhere we can get food too| [person:zachary m 0-0][person:we g(carlos:zachary:gregory:daniel) 2-2][person:we g(carlos:zachary:gregory:daniel) 8-8][person:we g(carlos:zachary:gregory:daniel) 15-15]
carlos| How about Buffalo Wild Wings near the mall| [location:buffalo u 2-2][location:mall s 7-7]
zachary| I was just there the other day It pretty far for Daniel to travel too| [person:zachary m 0-0][location:buffalo u 3-3][person:daniel m 11-11]
carlos| That s true Can you think of any place that s more centrally located| [person:zachary m 4-4][location:place s 8-8]
zachary| There s that new sports bar that opened near college I heard it s pretty good| [location:sports_bar s 4-5][location:college s 9-9][person:zachary m 10-10]
carlos| Do you know what kind of food they serve Gregory is pretty picky| [person:zachary m 1-1][person:sportbar g() 7-7][person:gregory m 9-9]
zachary| They have traditional American fare Burgers sandwiches ribs and that sort of thing| [person:sportbar g() 0-0]
carlos| I think that will work I ll tell Daniel to meets us there for 500 pm Can you let Gregory know the plans| [person:carlos m 0-0][person:carlos m 5-5][person:daniel m 8-8][person:us g(carlos:zachary) 11-11][person:zachary m 17-17][person:gregory m 19-19]
zachary| Sure thing I ll see you there| [person:zachary m 2-2][person:carlos m 5-5]

conv:people_2019081902_107:aug_0:chat_0:chataug_0| brandon jeffrey| [person:brandon m 0-0][person:jeffrey m 1-1]
jeffrey| Brandon Shall we go and have some drinks| [person:brandon m 0-0][person:we g(jeffrey:brandon) 2-2]
brandon| Yes I am also thinking the same and I like it| [person:brandon m 1-1][person:brandon m 8-8]
brandon| How about inviting our friends to join us| [person:our g(jeffrey:brandon) 3-3][person:friends g() 4-4][person:us g(jeffrey:brandon) 7-7]
jeffrey| Yes nice Who are all you are going to invite| [person:brandon m 5-5]
brandon| I think Phil and Karan are good partners What about you| [person:brandon m 0-0][person:phil m 2-2][person:karan m 4-4][person:jeffrey m 10-10]
jeffrey| Yes they are And also Ron who is also a good partner for this drink party| [person:they g(phil:karan) 1-1][person:ron m 5-5]
brandon| Oh sorry I forgot him Do you have his contact number I don t have it| [person:brandon m 2-2][person:ron m 4-4][person:jeffrey m 6-6][person:ron m 8-8][person:brandon m 11-11]
jeffrey| I have it in my phone I will call him and invite| [person:jeffrey m 0-0][person:jeffrey m 4-4][person:jeffrey m 6-6][person:ron m 9-9]
brandon| Okay You call Ron and I will invite both Phil and Karan| [person:jeffrey m 1-1][person:ron m 3-3][person:brandon m 5-5][person:phil m 9-9][person:karan m 11-11]
jeffrey| Do you have their contacts with you| [person:brandon m 1-1][person:their g(phil:karan) 3-3][person:brandon m 6-6]
brandon| Yes recently we met each other in a party outside So I got it| [person:we g(brandon:phil:karan) 2-2][person:brandon m 11-11]
jeffrey| Okay nice go on|

conv:people_2019081902_108:aug_0:chat_0:chataug_0| kayla stanley| [person:kayla f 0-0][person:stanley m 1-1]
stanley| Hi So I m having a little get together with Susan Janice and Mike this weekend Do you want to join us| [person:stanley m 2-2][person:susan f 10-10][person:janice f 11-11][person:mike m 13-13][person:kayla f 17-17][person:us g(stanley:susan:janice:mike) 21-21]
kayla| Oh i don t know I ve never met any of those people| [person:kayla f 1-1][person:kayla f 5-5]
stanley| Oh you d get along great Susan is an engineer just like you| [person:kayla f 1-1][person:susan f 6-6][person:kayla f 12-12]
kayla| I don t know| [person:kayla f 0-0]
stanley| Janice and Mike are really nice They just returned from Europe and will have some great stories to share| [person:janice f 0-0][person:mike m 2-2][person:they g(janice:mike) 6-6][location:europe s 10-10]
kayla| Oh really I m traveling to Spain soon maybe they would have some advice for me| [person:kayla f 2-2][location:spain s 6-6][person:they g(janice:mike) 9-9][person:kayla f 15-15]
stanley| So you ll come| [person:kayla f 1-1]
kayla| I suppose Maybe just for a little bit What time is it| [person:kayla f 0-0]
stanley| Saturday at 7 I m so glad you re coming| [person:stanley m 3-3][person:kayla f 7-7]
kayla| See you there| [person:stanley m 1-1][location:spain s 2-2]
stanley| You bet| [person:kayla f 0-0]
kayla| Oh I ll bring wine too Something French| [person:kayla f 1-1]
stanley| Thanks|

conv:people_2019081902_109:aug_0:chat_0:chataug_0| bradley tommy| [person:bradley m 0-0][person:tommy m 1-1]
tommy| Still on for dinner tonight|
bradley| Looking forward to it I ran into Jerry today should we invite him| [person:bradley m 4-4][person:jerry m 7-7][person:we g(tommy:bradley) 10-10][person:jerry m 12-12]
tommy| Well if we invite Jerry we ll have to invite Dan you know he ll find out| [person:we g(tommy:bradley) 2-2][person:jerry m 4-4][person:we g(tommy:bradley) 5-5][person:dan m 10-10][person:bradley m 11-11][person:dan m 13-13]
bradley| That s ok I like Dan What about Lawrence| [person:bradley m 3-3][person:dan m 5-5][person:lawrence m 8-8]
tommy| Let s not invite him it s hard to seat more than four at a table| [person:lawrence m 4-4]
bradley| Fair enough I ll reach out to Jerry| [person:bradley m 2-2][person:jerry m 7-7]
tommy| Will you ask Dan as well I don t have his number| [person:bradley m 1-1][person:dan m 3-3][person:tommy m 6-6][person:dan m 10-10]
bradley| Will do See you tonight| [person:tommy m 3-3]
tommy| Can t wait|
bradley| Both said they will be there| [person:they g(bradley:dan) 2-2][location:there u 5-5]
tommy| Great|
tommy| Thanks gore coordinating|

conv:people_2019081902_110:aug_0:chat_0:chataug_0| april gregory| [person:april f 0-0][person:gregory m 1-1]
april| Gregory what are you doing next week Tuesday| [person:gregory m 0-0][person:gregory m 3-3]
gregory| Nothing really What do you have in mind| [person:april f 4-4]
april| My brother Ryan would be visiting from Seattle next week He would be coming to see the game I know you haven t seen him in a long while It would be nice if you two guys could catch up| [person:april f 0-0][person:ryan m 1-1][person:ryan m 2-2][person:april f 10-10][person:april f 18-18][person:gregory m 20-20][person:ryan m 24-24][person:gregory m 34-34]
gregory| I haven t seen Ryan in ages It would be nice to reconnect with your brother| [person:gregory m 0-0][person:ryan m 4-4][person:april f 14-14][person:ryan m 15-15]
april| So you would be coming then| [person:gregory m 1-1]
gregory| Of course but wait There is one little problem I know remember that I invited my pal Joseph over to visit on that same day| [person:gregory m 9-9][person:gregory m 13-13][person:gregory m 15-15][person:joseph m 17-17]
april| Well bring him then| [person:joseph m 2-2]
gregory| He does not know you guys| [person:joseph m 0-0][person:april f 4-4]
april| Well any friend of yours in a friend of mine So go ahead and bring him| [person:friend u 2-2][person:gregory m 4-4][person:friend u 7-7][person:april f 9-9][person:joseph m 15-15]
gregory| Are you sure| [person:april f 1-1]
april| Of course Is he single| [person:joseph m 3-3]
gregory| You can ask him when he gets there| [person:april f 0-0][person:joseph m 3-3][person:joseph m 5-5][location:there u 7-7]
april| Lol|

conv:people_2019081902_111:aug_0:chat_0:chataug_0| anthony ethan| [person:anthony m 0-0][person:ethan m 1-1]
anthony| Hi Ethan Are you free now| [person:ethan m 1-1][person:ethan m 3-3]
ethan| Yes dear I am free now Anything important| [person:ethan m 2-2]
anthony| I will be free on tomorrow night and I wish to go to cinema at that time I don t want to go to cinema alone So I wish to invite you| [person:anthony m 0-0][person:anthony m 8-8][person:anthony m 17-17][person:anthony m 27-27][person:ethan m 31-31]
ethan| Tomorrow night I don t have any commitments at all So I am ready to join with you But it will be more fun if we join with our friends| [person:ethan m 2-2][person:ethan m 11-11][person:anthony m 17-17][person:we g(anthony:ethan) 25-25][person:we g(anthony:ethan) 28-28][person:friends g() 29-29]
