conv:people_1011_1528_50:aug_0:chat_0:chataug_0| bob dom| [person:bob m 0-0][person:dom m 1-1]
judy| So aunt Maya called me about your upcoming birthday and what kind of gift you would like| [person:maya f 1-1][person:maya f 2-2][person:judy f 4-4][person:bruce m 6-6][person:bruce m 14-14]
bruce| So we can think about what she will get me right| [person:we g(judy:bruce) 1-1][person:maya f 6-6][person:bruce m 9-9]
judy| She lives in France so she knows a lot of places that sell unique stuff| [person:maya f 0-0][location:france s 3-3][person:maya f 5-5][location:places g() 10-10]
bruce| I know for sure she is the right person to receive a gift from| [person:bruce m 0-0][person:maya f 4-4]
judy| So is there some specific kind of thing you would prefer| [person:bruce m 8-8]
bruce| I would be quite glad with something that at least has some french theme in it| [person:bruce m 0-0]
judy| Alright maybe some kind of decoration with some french culture in it|
bruce| Sure that would be nice though I still want to have it as a surprise| [person:bruce m 6-6]
judy| Sure you are right alright I will talk with our aunt| [person:bruce m 1-1][person:judy f 5-5][person:our g(judy:bruce) 9-9][person:maya f 10-10]

conv:people_1011_1528_162:aug_0:chat_0:chataug_0| luis noah| [person:luis m 0-0][person:noah m 1-1]
luis| Hey Noah we still on for basketball| [person:noah m 1-1][person:we g(luis:noah) 2-2]
noah| you know it but I think we have a slight problem| [person:luis m 0-0][person:noah m 4-4][person:we g(luis:noah) 6-6]
luis| Oh What s up|
noah| I think we don t have enough people to play the game fully| [person:noah m 0-0][person:we g(luis:noah) 2-2]
luis| Well shoot what do you think we should do| [person:noah m 4-4][person:we g(luis:noah) 6-6]
noah| I think we should invite Ben and STephan to join us and have a good game with all of us| [person:noah m 0-0][person:we g(luis:noah) 2-2][person:ben m 5-5][person:stephan m 7-7][person:us g(luis:noah) 10-10][person:us g(luis:noah) 19-19]
luis| I dunno Stephan is pretty meh honestly so is Ben I m not a fan of their weak defense and shooting respectively| [person:luis m 0-0][person:stephan m 2-2][person:ben m 9-9][person:luis m 10-10][person:their g(ben:stephan) 16-16]
noah| Well we need them to play the game can t we figure out a way to make everyone happy| [person:we g(luis:noah) 1-1][person:them g(ben:stephan) 3-3][person:we g(luis:noah) 10-10][person:everyone g(luis:noah:ben:stephan) 17-17]
luis| Well if we set the teams up so that we rotate between the two of them depending on where we re at to in the game that could be good| [person:we g(luis:noah) 2-2][person:we g(luis:noah) 9-9][person:them g(ben:stephan) 15-15][person:we g(luis:noah) 19-19]
noah| So like if we were winning or losing or how the momentum was going for the quarter| [person:we g(luis:noah) 3-3]
luis| Exactly|
noah| That sounds good i ll tell them| [person:noah m 3-3][person:them g(ben:stephan) 6-6]

conv:people_1011_1528_163:aug_0:chat_0:chataug_0| evan josh| [person:evan m 0-0][person:josh m 1-1]
evan| Hi dear it has been a long time since we met| [person:we g(evan:josh) 9-9]
josh| yes dear how can we forget out hey days| [person:we g(evan:josh) 4-4]
evan| it was very memorable moments we shared The games we participated out affairs adventures all are unforegattable moments| [person:we g(evan:josh) 5-5][person:we g(evan:josh) 9-9]
josh| Have you met any of our other friends| [person:evan m 1-1][person:our g(evan:josh) 5-5][person:friends g() 7-7]
evan| I have little knowledge about it Do you prefer any of them to be invited to share this moment in our favorite bar| [person:evan m 0-0][person:josh m 7-7][person:friends g() 11-11][person:our g(evan:josh) 20-20][location:bar s 22-22]
josh| Yeah I am thinking about it What about Dom and Pedro| [person:josh m 1-1][person:dom m 8-8][person:pedro m 10-10]
evan| Oh great I always think aoout them I think Pedro is somewhere here| [person:evan m 2-2][person:them g(dom:pedro) 6-6][person:evan m 7-7][person:pedro m 9-9][location:here u 12-12]
josh| Dom is also around here He is a tax practioner| [person:dom m 0-0][location:here u 4-4][person:dom m 5-5]
evan| Oh great then call them we can make this moment a memorable one| [person:them g(dom:pedro) 4-4][person:we g(evan:josh) 5-5]
josh| Yes surely I have the number of Dom| [person:josh m 2-2][person:dom m 7-7]

conv:people_1011_1528_164:aug_0:chat_0:chataug_0| bobby ivan| [person:bobby m 0-0][person:ivan m 1-1]
bobby| Hey Ivan What food should we get for later| [person:ivan m 1-1][person:we g(bobby:ivan) 5-5]
ivan| Let s just get pizza to share and of course some beer|
bobby| Sounds good What kind of pizza should I order| [person:bobby m 7-7]
ivan| I m not sure what Chris likes on his pizza I know he s very particular with what he eats| [person:ivan m 0-0][person:chris m 5-5][person:chris m 8-8][person:ivan m 10-10][person:chris m 12-12][person:chris m 18-18]
bobby| Maybe we should just wait for him so that we can ask him what he likes| [person:we g(bobby:ivan) 1-1][person:chris m 6-6][person:we g(bobby:ivan) 9-9][person:chris m 12-12][person:chris m 14-14]
ivan| I m sure we ll have a late dinner because he s always late| [person:ivan m 0-0][person:we g(bobby:ivan) 3-3][person:chris m 10-10]
bobby| What brand of beer should I get Do you know what kind of beer they like| [person:bobby m 5-5][person:ivan m 8-8][person:they g(chris) 14-14]
ivan| I know Alexander is very picky with his drinks so I m not so sure what to get| [person:ivan m 0-0][person:alexander m 2-2][person:alexander m 7-7][person:ivan m 10-10]
bobby| I ll just get 3 kinds of beer so he has plenty to choose from| [person:bobby m 0-0][person:alexander m 9-9]
ivan| Good idea We re all set then| [person:we g(bobby:ivan) 2-2]

conv:people_1011_1528_165:aug_0:chat_0:chataug_0| kathleen ricky| [person:kathleen f 0-0][person:ricky m 1-1]
kathleen| hi ricky how is your sister grace| [person:ricky m 1-1][person:ricky m 4-4][person:grace f 5-5][person:grace f 6-6]
ricky| Ya kathleen grace is fine actually her birthday is coming on our anniversary date| [person:kathleen f 1-1][person:grace f 2-2][person:grace f 6-6][person:our g(kathleen:ricky) 11-11]
kathleen| oh ya what a coincidence actually i forgot about it| [person:kathleen f 6-6]
ricky| shall we go for a family trip on our anniversay day| [person:we g(kathleen:ricky) 1-1][person:family g() 5-5][location:trip s 6-6][person:our g(kathleen:ricky) 8-8]
kathleen| ok that s a great idea|
kathleen| but shall we stay home and celebrate along with grace| [person:we g(kathleen:ricky) 2-2][location:home s 4-4][person:grace f 9-9]
ricky| ok that is also nice whether grace would prefer this idea i should ask about her past birthday celebration| [person:grace f 6-6][person:ricky m 11-11][person:grace f 15-15]
kathleen| ok we shall discuss this matter with grace and we will take a decision| [person:we g(kathleen:ricky) 1-1][person:grace f 7-7][person:we g(kathleen:ricky) 9-9]
ricky| ya that is a good idea ask grace to our home and we need to sit and talk to her about this| [person:grace f 7-7][person:our g(kathleen:ricky) 9-9][location:home s 10-10][person:we g(kathleen:ricky) 12-12][person:grace f 19-19]
kathleen| or else simply you ask about her birthday idea and we will keep a surprise party| [person:ricky m 3-3][person:grace f 6-6][person:we g(kathleen:ricky) 10-10]
ricky| Ok that is a nice idea and i will ask grace about her birthday party| [person:ricky m 7-7][person:grace f 10-10][person:grace f 12-12]

conv:people_1011_1528_166:aug_0:chat_0:chataug_0| lucas rodger| [person:lucas m 0-0][person:rodger m 1-1]
rodger| Hi Lucas You know Tracy right| [person:lucas m 1-1][person:lucas m 2-2][person:tracy f 4-4]
lucas| Yes she s actually a good friend of mine Why| [person:tracy f 1-1][person:tracy f 6-6][person:lucas m 8-8]
rodger| I find her pretty and I would really like to get a chance to know her more| [person:rodger m 0-0][person:tracy f 2-2][person:rodger m 5-5][person:tracy f 15-15]
lucas| I can see why you like her but I know she likes someone else| [person:lucas m 0-0][person:rodger m 4-4][person:tracy f 6-6][person:lucas m 8-8][person:tracy f 10-10][person:someone u 12-12]
rodger| She s still single though Maybe you can help me set up a date with her| [person:tracy f 0-0][person:lucas m 6-6][person:rodger m 9-9][location:date u 13-13][person:tracy f 15-15]
lucas| I don t think that s a good idea| [person:lucas m 0-0]
rodger| Why do you say that You don t think she ll like me| [person:lucas m 2-2][person:lucas m 5-5][person:tracy f 9-9][person:rodger m 12-12]
lucas| I don t think you and TracySydeny are compatible and you should just look for someone else to date| [person:lucas m 0-0][person:rodger m 4-4][person:rodger m 10-10][person:someone f 15-15]
rodger| Oh thats s disappointing to hear But maybe you re right Thanks for the advice| [person:lucas m 8-8]
lucas| I m sure you ll find your perfect match| [person:lucas m 0-0][person:rodger m 3-3][person:rodger m 6-6]

conv:people_1011_1528_167:aug_0:chat_0:chataug_0| julie patricia| [person:julie f 0-0][person:patricia f 1-1]
patricia| So I heard you wrote Lance a letter| [person:patricia f 1-1][person:julie f 3-3][person:lance m 5-5]
julie| Who told you that| [person:patricia f 2-2]
patricia| What does it matter Did you| [person:julie f 5-5]
julie| Tell me who told you that and I ll tell you the truth| [person:julie f 1-1][person:patricia f 4-4][person:julie f 7-7][person:patricia f 10-10]
patricia| Drew told me| [person:drew m 0-0][person:patricia f 2-2]
julie| Drew How would he know anything| [person:drew m 0-0][person:drew m 3-3]
patricia| None of this is important What is important is did you write the letter| [person:julie f 10-10]
julie| Well it s not like you re dating him or anything| [person:patricia f 5-5][person:lance m 8-8]
patricia| So you did I can t believe it You know I like him| [person:julie f 1-1][person:patricia f 3-3][person:julie f 8-8][person:patricia f 10-10][person:lance m 12-12]
julie| But I like him too Why are you more important than me| [person:julie f 1-1][person:lance m 3-3][person:patricia f 7-7][person:julie f 11-11]
patricia| I m not but we promised each other not to steal one another s guys| [person:patricia f 0-0][person:we g(patricia:julie) 4-4]
julie| But Lance isn t your guy He s nobody s guy Well hopefully he will be my guy| [person:lance m 1-1][person:patricia f 4-4][person:lance m 6-6][person:lance m 13-13][person:julie f 16-16]
patricia| I am so upset at you I don t want to be friends anymore| [person:patricia f 0-0][person:julie f 5-5][person:patricia f 6-6][person:friends g(patricia:julie) 12-12]
julie| You re really making too big of a deal over this Settle down| [person:patricia f 0-0]
patricia| Don t tell me to settle down That s it we re through| [person:patricia f 3-3][person:we g(patricia:julie) 10-10]
julie| Fine I was going to dump all my friends anyways as soon as me and Lance started dating You just made it easier on me Thanks| [person:julie f 1-1][person:julie f 7-7][person:friends g() 8-8][person:julie f 13-13][person:lance m 15-15][person:patricia f 18-18][person:julie f 24-24]
patricia| Good riddance|

conv:people_1011_1528_168:aug_0:chat_0:chataug_0| carlos russell| [person:carlos m 0-0][person:russell m 1-1]
carlos| Matt just called He is worried about Justin| [person:matt m 0-0][person:matt m 3-3][person:justin m 7-7]
russell| Why what is going on|
carlos| He says that Justin has been in his room for two weeks writing furiously and talking about being watched| [person:matt m 0-0][person:justin m 3-3][person:justin m 7-7]
russell| That s scary There is a history of schizophrenia in his family| [location:there u 3-3][person:justin m 10-10][person:family g(justin) 11-11]
carlos| Let s cancel the movie plans and go meet Justin to check on him| [location:movie s 4-4][person:justin m 9-9][person:justin m 13-13]
russell| Yes let s do that Has Justin talked to Matt s family| [person:justin m 6-6][person:matt m 9-9][person:family g(matt) 11-11]
carlos| Yes but they aren t sure how to handle it| [person:family g(matt) 2-2]
russell| They could probably use the support too And if we can get him calm maybe we can all go see a movie until a solution is decided upon| [person:family g(matt) 0-0][person:we g(carlos:russell:matt) 9-9][person:justin m 12-12][person:we g(carlos:russell:matt) 15-15][location:movie s 21-21]
carlos| That would be nice Matt loves the movies and has been waiting for this one for awhile| [person:matt m 4-4][location:movie s 7-7]
russell| For over a year now|

conv:people_1011_1528_170:aug_0:chat_0:chataug_0| joshua scott| [person:joshua m 0-0][person:scott m 1-1]
joshua| Do you want to come to my birthday party| [person:scott m 1-1][person:joshua m 6-6]
scott| You know it Who else is coming| [person:joshua m 0-0]
joshua| What about some friends from school| [person:friends g() 3-3][location:school s 5-5]
joshua| I haven t invited anyone else yet| [person:joshua m 0-0][person:anyone u 4-4]
scott| You should definitely invite people from school| [person:joshua m 0-0][location:school s 6-6]
scott| How about Lara and Madison You might have heard of them| [person:lara f 2-2][person:madison f 4-4][person:joshua m 5-5][person:them g(lara:madison) 10-10]
