conv:chats_1126_86:aug_0:chat_0:chataug_0| mark rusell| [person:mark m 0-0][person:rusell m 1-1]
hannah| For that we need to prepare ourselves Both are born right hand players which made them very strong in that area We should focus on their weakness| [person:us g(hannah:stephanie) 2-2][person:them g(harriet:amanda) 15-15][person:us g(hannah:stephanie) 21-21][person:them g(harriet:amanda) 25-25]
stephanie| Yes I heard that Harriet met with an accident last week She has a bad knee because of it We must exploit this to our advantage| [person:stephanie f 1-1][person:harriet f 4-4][person:harriet f 11-11][person:us g(hannah:stephanie) 19-19][person:us g(hannah:stephanie) 24-24]
hannah| Then its better to postponed the game A real champion should defeat his opposition only when they are at their best Lets wait till then| [person:his m 12-12][person:them g(harriet:amanda) 16-16][person:them g(harriet:amanda) 19-19]
stephanie| Fair point well made We can plan the next match next month then| [person:us g(hannah:stephanie) 4-4]

conv:chats_1126_232:aug_0:chat_0:chataug_0| kyle rachel| [person:kyle m 0-0][person:rachel f 1-1]
rachel| Hey Kyle where are you I got something important to share with you Are you free| [person:kyle m 1-1][person:kyle m 4-4][person:rachel f 5-5][person:kyle m 12-12][person:kyle m 14-14]
kyle| Well I m in work but still you continue| [person:kyle m 1-1][person:rachel f 7-7]
rachel| Jackie is troubling me a lot these days I took a dentist appointment for her and now she is making excuses to escape from it| [person:jackie f 0-0][person:rachel f 3-3][person:rachel f 8-8][person:jackie f 14-14][person:jackie f 17-17]
kyle| Yeah I know the receptionist call me for the conformation I already answered them What is she saying now| [person:kyle m 1-1][person:kyle m 6-6][person:kyle m 10-10][person:them g(jackie) 13-13][person:jackie f 16-16]
rachel| She saying that she didn t brush her teeth and also she had lunch I m fed up with this kid Is it possible for you to come now| [person:jackie f 0-0][person:jackie f 3-3][person:jackie f 7-7][person:jackie f 11-11][person:rachel f 14-14][person:kyle m 25-25]
kyle| I m so sorry its not possible for me to leave the task in the middle Let me think some thing| [person:kyle m 0-0][person:kyle m 8-8][person:kyle m 17-17]
rachel| It s fine can you come up with some tips at least I can t tolerate this behavior from Jackie| [person:kyle m 4-4][person:rachel f 12-12][person:jackie f 19-19]
kyle| I got an idea Buy her a toothbrush and paste Tell to brush her teeth in her school s washroom I think now she wont have any problem| [person:kyle m 0-0][person:jackie f 5-5][person:jackie f 13-13][person:jackie f 16-16][location:school s 17-17][person:kyle m 20-20][person:jackie f 23-23]
rachel| What an idea I m so proud of you Kyle I will take her to the dentist at any cost Thanks for the advice| [person:rachel f 3-3][person:kyle m 8-8][person:kyle m 9-9][person:rachel f 10-10][person:jackie f 13-13]
kyle| Thank you dear Reach there and inform me| [person:rachel f 1-1][location:school s 4-4][person:kyle m 7-7]

conv:chats_1126_233:aug_0:chat_0:chataug_0| andrea john| [person:andrea f 0-0][person:john m 1-1]
john| Hey Andrea how much are you done with| [person:andrea f 1-1][person:andrea f 5-5]
andrea| I went through the notes 25 times yet all the concepts are very confusing| [person:andrea f 0-0]
john| Same goes for me| [person:john m 3-3]
andrea| I am worried about the midterm I don t want to fail| [person:andrea f 0-0][person:andrea f 6-6]
john| Let s email Dr Smith for guidance| [person:smith m 4-4]
andrea| That s a good idea but do you think he ll respond| [person:john m 7-7][person:smith m 9-9]
john| I think it will be late by the time he responds We should TA Jake also just to be safe| [person:john m 0-0][person:smith m 9-9][person:we g(john:andrea) 11-11][person:jake m 14-14]
andrea| You are right you know him well He will definitely respond to you| [person:john m 0-0][person:john m 3-3][person:jake m 5-5][person:smith m 7-7][person:john m 12-12]
john| Alright I emailed both of them| [person:john m 1-1][person:them g(smith:jake) 5-5]
andrea| Let s hope they reply soon| [person:them g(smith:jake) 3-3]

conv:chats_1126_234:aug_0:chat_0:chataug_0| alissa wanda| [person:alissa f 0-0][person:wanda f 1-1]
alissa| Hi Wanda Shall we play soccer now| [person:wanda f 1-1][person:we g(alissa:wanda) 3-3]
wanda| Yes I would like that very much but I should ask for my dad s permission first| [person:wanda f 1-1][person:wanda f 8-8][person:wanda f 12-12][person:dad m 13-13]
alissa| Okay And also mention that we will be paying at my house| [person:we g(alissa:wanda) 5-5][person:alissa f 10-10]
wanda| I ll do that But I cannot be sure that he will allow it| [person:wanda f 0-0][person:wanda f 5-5][person:dad m 10-10]
alissa| Oh Don t forget to tell him that we will be careful while playing| [person:dad m 6-6][person:we g(alissa:wanda) 8-8]
wanda| Okay I ll talk to him now and see what he says| [person:wanda f 1-1][person:dad m 5-5][person:dad m 10-10]
alissa| Alright ask you father I will be waiting for you here| [person:wanda f 2-2][person:alissa f 4-4][person:wanda f 9-9]
wanda| Awesome he agreed We can play at your house now| [person:dad m 1-1][person:we g(alissa:wanda) 3-3][person:alissa f 7-7]
alissa| Okay give me a minute to get ready for playing| [person:alissa f 2-2]
wanda| Alright I ll come to your house in few minutes| [person:wanda f 1-1][person:alissa f 5-5]

conv:chats_1126_235:aug_0:chat_0:chataug_0| issac patty| [person:issac m 0-0][person:patty f 1-1]
patty| Hi Issac Olie and I are having issues with our hallbath toilet| [person:issac m 1-1][person:patty f 4-4][person:our g(patty) 9-9]
issac| Alright what is the problem|
patty| It is continuously running water|
issac| Okay do you know anything about plumbing| [person:patty f 2-2]
patty| Unfortunately I don t Can you please get a plumber while I m at work| [person:patty f 1-1][person:issac m 5-5][person:patty f 11-11]
issac| I just called Andrew to fix your problem he says he will do it| [person:issac m 0-0][person:andrew m 3-3][person:patty f 6-6][person:andrew m 8-8][person:andrew m 10-10]
patty| Thank you Issac Andrew just came by and fixed the problem I m very happy about it| [person:issac m 2-2][person:andrew m 3-3][person:patty f 11-11]
issac| I am glad you re happy but he was very expensive| [person:issac m 0-0][person:patty f 3-3][person:andrew m 7-7]
patty| He was but at least the job is done That s what matters| [person:andrew m 0-0]
issac| Alright as long as you are happy| [person:patty f 4-4]

conv:chats_1126_236:aug_0:chat_0:chataug_0| jonathan lori| [person:jonathan m 0-0][person:lori f 1-1]
jonathan| Hey Lori Have you noticed our Coworkers Jesse and Susan| [person:lori f 1-1][person:lori f 3-3][person:our g(jonathan:lori) 5-5][person:coworkers g() 6-6][person:jesse m 7-7][person:susan f 9-9]
lori| Yes Jonathan I am noticing them Why What is the matter now| [person:jonathan m 1-1][person:lori f 2-2][person:coworkers g(jesse:susan) 5-5]
jonathan| They were dating in the workplace I think we should help them out| [person:coworkers g(jesse:susan) 0-0][person:jonathan m 6-6][person:our g(jonathan:lori) 8-8][person:coworkers g(jesse:susan) 11-11]
lori| Yes Our work place that the policy which allows dating So There is no problem| [person:our g(jonathan:lori:jesse:susan) 1-1][location:place s 3-3]
jonathan| Since you are the Team leader I want you to tell them What do you say Lori| [person:lori f 1-1][person:our g(jonathan:lori:jesse:susan) 4-4][person:jonathan m 6-6][person:lori f 8-8][person:coworkers g(jesse:susan) 11-11][person:lori f 14-14][person:lori f 16-16]
lori| Yes You are right as a team lead I will assert them| [person:jonathan m 1-1][person:our g(jonathan:lori:jesse:susan) 6-6][person:lori f 8-8][person:coworkers g(jesse:susan) 11-11]
jonathan| Yeah That will be good thing to do|
lori| I will tell them in a way that their relationship should not affect their work| [person:lori f 0-0][person:coworkers g(jesse:susan) 3-3][person:coworkers g(jesse:susan) 8-8][person:coworkers g(jesse:susan) 13-13]
jonathan| Okay That is fine See you at the dinner| [person:lori f 5-5]
lori| Okay Thanks for your guidance we will meet there| [person:jonathan m 3-3][person:our g(jonathan:lori) 5-5][location:there s 8-8]

conv:chats_1126_238:aug_0:chat_0:chataug_0| andy millie| [person:andy m 0-0][person:millie f 1-1]
millie| Andy I have a huge secret I want to share| [person:andy m 0-0][person:millie f 1-1][person:millie f 6-6]
andy| Really Millie Is it really that big a secret| [person:millie f 1-1]
millie| Yes Andy Do you want to know| [person:andy m 1-1][person:andy m 3-3]
andy| Tell me Millie I want to know| [person:andy m 1-1][person:millie f 2-2][person:andy m 3-3]
millie| How d you feel about it| [person:andy m 2-2]
andy| That made me speechless| [person:andy m 2-2]
millie| Don t share it with anyone| [person:anyone g() 5-5]
andy| Sure I won t Even with Jake or Dennis Why did you not tell them though| [person:andy m 1-1][person:jake m 6-6][person:dennis m 8-8][person:millie f 11-11][person:anyone g(jake:dennis) 14-14]
millie| I don t want them to know| [person:millie f 0-0][person:anyone g(jake:dennis) 4-4]
andy| I feel they might ve given a good advice| [person:andy m 0-0][person:anyone g(jake:dennis) 2-2]

conv:chats_1126_239:aug_0:chat_0:chataug_0| bryan matthew| [person:bryan m 0-0][person:matthew m 1-1]
bryan| Hey Mathew are you free to talk now| [person:matthew m 3-3]
matthew| Hey Bryan I am free Tell me what is the matter all about| [person:bryan m 1-1][person:matthew m 2-2][person:matthew m 6-6]
bryan| Yeah I want to call our neighbors Bella and Julia for the dinner| [person:bryan m 1-1][person:bryan___matthew g(bryan:matthew) 5-5][person:bella___julia g() 6-6][person:bella f 7-7][person:julia f 9-9]
matthew| Yeah That was nice idea We will call them| [person:bryan___matthew g(bryan:matthew) 5-5][person:bella___julia g(julia:bella) 8-8]
matthew| But I am not sure whether they will accept our invitation| [person:matthew m 1-1][person:bella___julia g(julia:bella) 6-6][person:bryan___matthew g(bryan:matthew) 9-9]
bryan| No They will definitely accept it I know about her| [person:bella___julia g(julia:bella) 1-1][person:bryan m 6-6][person:bella f 9-9]
matthew| Okay Let me know after they confirm you So that we can plan our dinner accordingly| [person:matthew m 2-2][person:bella___julia g(julia:bella) 5-5][person:bryan m 7-7][person:bryan___matthew g(bryan:matthew) 10-10][person:bryan___matthew g(bryan:matthew) 13-13]
bryan| I asked them they are willing to join with us for the dinner| [person:bryan m 0-0][person:bella___julia g(julia:bella) 2-2][person:bella___julia g(julia:bella) 3-3][person:bryan___matthew g(bryan:matthew) 9-9]
matthew| That s nice to hear I will go the market and get the required food See you then| [person:matthew m 5-5][person:bryan m 16-16]
bryan| I will tell them to come by 800 PM today See you| [person:bryan m 0-0][person:bella___julia g(julia:bella) 3-3][person:matthew m 11-11]

conv:chats_1126_240:aug_0:chat_0:chataug_0| denise jade| [person:denise f 0-0][person:jade f 1-1]
jade| Hi Denise we were invited for the pool party at Carlos s house| [person:denise f 1-1][person:we g(jade:denise) 2-2][person:carlos m 10-10]
denise| Is it I am excited to come there But if you don t mind shall I ask you something| [person:denise f 2-2][person:jade f 10-10][person:denise f 15-15][person:jade f 17-17]
jade| Yeah Sure How can I help you out| [person:jade f 4-4][person:denise f 6-6]
denise| Actually I don t have a perfect swimsuit If you have extra set can you offer for me for the pool party| [person:denise f 1-1][person:jade f 9-9][person:jade f 14-14][person:denise f 17-17]
jade| Yes I have an extra pair with me I can give you but how your crushes Carlos and Martin will take| [person:jade f 1-1][person:jade f 7-7][person:jade f 8-8][person:denise f 11-11][person:denise f 14-14][person:carlos m 16-16][person:martin m 18-18]
denise| Yeah you were right I need to spend some time with Martin but do not ruin my chances with Carlos also| [person:jade f 1-1][person:denise f 4-4][person:martin m 11-11][person:denise f 16-16][person:carlos m 19-19]
jade| Okay How are you going to handle your crushes| [person:denise f 3-3][person:denise f 7-7]
denise| Yeah I will spend first half of the session with Martin and remaining with Carlos| [person:denise f 1-1][person:martin m 10-10][person:carlos m 14-14]
jade| Yeah That is a nice idea Come and collect the swimsuit by this evening|
denise| Okay I will be there by 5 Pm today thanks for your help Bye| [person:denise f 1-1][person:jade f 11-11]

conv:chats_1126_241:aug_0:chat_0:chataug_0| eva tara| [person:eva f 0-0][person:tara f 1-1]
tara| Hey Shall we plan something for this weekend| [person:we g(tara:eva) 2-2]
eva| Sure Do you have any ideas| [person:tara f 2-2]
tara| What do you think of attending the Jonas brothers concert| [person:eva f 2-2]
eva| I am a huge fan of that band I would love to attend their concert| [person:eva f 0-0][person:eva f 8-8][person:their g() 13-13]
tara| We have to ask mom and dad about this| [person:we g(tara:eva) 0-0][person:mom f 4-4][person:dad m 6-6]
eva| Last time I asked them You should ask this time| [person:eva f 2-2][person:them g(mom:dad) 4-4][person:tara f 5-5]
tara| I had to beg them but they finally agreed to take us to the ticket office| [person:tara f 0-0][person:them g(mom:dad) 4-4][person:they g(mom:dad) 6-6][person:us g(tara:eva) 11-11][location:ticket_office s 14-15]
