conv:people_2019082001_6:aug_0:chat_0:chataug_0| benjamin mike| [person:benjamin m 0-0][person:mike m 1-1]
howard| Awesome I think you will really like the gang| [person:howard m 1-1][person:cynthia f 3-3]

conv:people_2019082001_142:aug_0:chat_0:chataug_0| paul philip| [person:paul m 0-0][person:philip m 1-1]
philip| You coming with us this summer| [person:paul m 0-0][person:us g(philip) 3-3]
paul| I dunno I wanna but I really don t know Richard and Jacob that well It might be uncomfortable| [person:paul m 0-0][person:paul m 2-2][person:paul m 5-5][person:richard m 10-10][person:jacob m 12-12]
philip| We share a house and live together How is that different from going on vacation| [person:we g(philip:paul:richard:jacob) 0-0]
paul| Yeah but we have our own rooms and our own lives We all have different schedules Going on vacation for a week is different| [person:we g(philip:paul:richard:jacob) 2-2][person:we g(philip:paul:richard:jacob) 4-4][person:we g(philip:paul:richard:jacob) 8-8][person:we g(philip:paul:richard:jacob) 11-11]
philip| Come on Richard is quiet and goes with the flow just like you Jacob is real social and he ll do all the talking| [person:richard m 2-2][person:paul m 12-12][person:jacob m 13-13][person:jacob m 18-18]
paul| You know them better than I do since you work at home| [person:paul m 0-0][person:them g(richard:jacob) 2-2][person:paul m 5-5][person:philip m 8-8][location:home s 11-11]
philip| You gonna give away a trip to the Dominican Republic because you don t know our roommates very well| [person:paul m 0-0][person:paul m 11-11][person:our g(philip:paul) 15-15]
paul| Okay I ll go| [person:paul m 1-1]
philip| Great We re leaving on June 22 Pack your sunblock| [person:us g(philip:richard:jacob) 1-1][person:paul m 8-8]
paul| I hope this works out| [person:paul m 0-0]
philip| Don t worry we ll have so much fun| [person:we g(philip:paul:richard:jacob) 3-3]

conv:people_2019082001_143:aug_0:chat_0:chataug_0| nick stanley| [person:nick m 0-0][person:stanley m 1-1]
stanley| It s going to be a great playoff game this weekend Are you going to watch it| [person:nick m 12-12]
nick| Yes I wouldn t miss it it s going to be very exciting| [person:nick m 1-1]
stanley| John and Thomas and I are thinking of going someplace close to the stadium to watch it| [person:john m 0-0][person:thomas m 2-2][person:stanley m 4-4][location:stadium s 13-13]
nick| That sounds fun it s going to be a great atmosphere I was just reading that there are several places where you can watch the game| [person:nick m 11-11][location:places g() 19-19][person:stanley m 21-21]
stanley| We were looking at that too They will be showing it on a large screen in the park close to the stadium| [person:we g(stanley:john:thomas) 0-0][location:places g() 6-6][location:park s 17-17][location:stadium s 21-21]
nick| That sounds like the place to go| [location:stadium s 4-4]
stanley| Yes that s what John and Thomas think too Do you want to come along| [person:john m 4-4][person:thomas m 6-6][person:nick m 10-10]
nick| I would love to I ll get home from work as quick as I can that day| [person:nick m 0-0][person:nick m 4-4][location:home s 7-7][person:nick m 13-13]
stanley| Sounds fine It s close enough that we can walk| [location:stadium s 2-2][person:we g(stanley:nick:john:thomas) 7-7]
nick| Can t wait There will be time for us to eat and drink a little before we head out| [person:we g(stanley:nick:john:thomas) 8-8][person:we g(stanley:nick:john:thomas) 16-16]

conv:people_2019082001_144:aug_0:chat_0:chataug_0| george kenneth| [person:george m 0-0][person:kenneth m 1-1]
george| I was thinking about having a brunch and wanted to invite you Kim and Juan| [person:george m 0-0][person:kenneth m 11-11][person:kim f 12-12][person:juan m 14-14]
kenneth| That sounds great I m sure Kim and Juan would enjoy that| [person:kenneth m 3-3][person:kim f 6-6][person:juan m 8-8]
george| I m trying to decide what day would be best I was thinking next Saturday What do you think| [person:george m 0-0][person:george m 10-10][person:kenneth m 17-17]
kenneth| Kim is going on a business retreat next weekend Maybe the weekend after| [person:kim f 0-0]
george| Really want Kim to be able to make it Next weekend sounds good Do you which day would be best for both of them Saturday or Sunday| [person:kim f 2-2][person:kenneth m 14-14][person:kim___juan g(kim:juan) 23-23]
kenneth| I think Juan works some Saturdays but usually just in the morning until noon or so so either could work| [person:kenneth m 0-0][person:juan m 2-2]
george| Do you think he d enjoy it as much coming straight from work Should I make it Sunday| [person:kenneth m 1-1][person:juan m 3-3][person:george m 14-14]
kenneth| I think it would be fine either way| [person:kenneth m 0-0]
george| What about you do you have a preference| [person:kenneth m 2-2][person:kenneth m 4-4]
kenneth| Either works for me but if it s Saturday it would have to be after 1 p m since I go to services at my Synagogue Saturday mornings| [person:kenneth m 3-3][person:kenneth m 19-19][person:kenneth m 24-24]
george| Do you think you d want to go to a brunch after services Would you prefer Sunday| [person:kenneth m 1-1][person:kenneth m 3-3][person:kenneth m 14-14]
kenneth| I m fine with Saturday afternoon but if Sunday is better for you I can do that too| [person:kenneth m 0-0][person:george m 12-12][person:kenneth m 13-13]
george| Okay how about Saturday at 130|
kenneth| Sounds good to me that will also give Juan time to get back from work and be ready for it too| [person:kenneth m 3-3][person:juan m 8-8]
george| Wonderful I ll give Kim and Juan a call now| [person:george m 1-1][person:kim f 4-4][person:juan m 6-6]

conv:people_2019082001_145:aug_0:chat_0:chataug_0| brian tyler| [person:brian m 0-0][person:tyler m 1-1]
brian| Hey Tyler| [person:tyler m 1-1]
tyler| Hey there Brian What brings you around| [person:brian m 2-2][person:brian m 5-5]
brian| I want you to meet my friends Tyler and Wayne over there| [person:brian m 0-0][person:tyler m 2-2][person:brian m 5-5][person:friends g(tyler) 6-6][person:tyler m 7-7][person:wayne m 9-9]
tyler| Tell them I said hello Id love to meet them| [person:friends g(tyler:wayne) 1-1][person:tyler m 2-2][person:friends g(tyler:wayne) 9-9]
brian| We were going to head out to a bar Do you want to come along| [person:we g(brian:tyler:wayne) 0-0][person:tyler m 10-10]
tyler| I would love to That sounds like fun| [person:tyler m 0-0]
brian| What bars do you suggest You are the expert| [person:tyler m 3-3][person:tyler m 5-5]
tyler| Well there is Uncle Al s Club Med Rehab and Tipsy They are all good places|
brian| Club Med sounds interesting|
tyler| Yes that is a good one|
brian| Club Med it is then Come join us for a good time there| [person:we g(brian:tyler:wayne) 7-7]

conv:people_2019082201_2:aug_0:chat_0:chataug_0| craig sean| [person:craig m 0-0][person:sean m 1-1]
craig| Hey are you up for a movie tomorrow| [person:sean m 2-2]
sean| Yeah for sure What do you want to see| [person:craig m 5-5]
craig| I still haven t seen Once Upon A Time in Hollywood so I was thinking that| [person:craig m 0-0][person:craig m 12-12]
sean| Oh that s a great film I ve seen it but would love to see it again Is anyone else coming| [person:sean m 6-6][person:anyone u 18-18]
craig| I haven t invited anyone else yet Do you know anyone who wants to see the film| [person:craig m 0-0][person:anyone u 4-4][person:sean m 8-8][person:anyone u 10-10]
sean| Yeah I was telling Rebecca and Brian about it the other night and they really want to see it| [person:sean m 1-1][person:rebecca f 4-4][person:brian m 6-6][person:they g(rebecca:brian) 13-13]
craig| Okay sounds good I think it s playing in a couple different theaters| [person:craig m 3-3]
sean| It is It s at the AMC the Landmark and also the Music Box|
craig| Oh we should see it at the Music Box I heard they have it in 70mm| [person:we g(craig:sean:rebecca:brian) 1-1][person:craig m 9-9][person:they g(rebecca:brian) 11-11]
sean| Wow that s awesome I didn t know that Yes let s do that| [person:sean m 4-4]
craig| Okay call the others and reserve tickets for whatever time works best Just text me the info| [person:they g(rebecca:brian) 3-3][person:craig m 14-14]
sean| Okay done|

conv:people_2019082201_3:aug_0:chat_0:chataug_0| austin betty| [person:austin m 0-0][person:betty f 1-1]
betty| Did you get your shoes for the trip| [person:austin m 1-1][person:austin m 3-3]
austin| Huh|
betty| Your shoes You remember we re gonna go visit Tim and Emily in a few months right| [person:austin m 0-0][person:austin m 2-2][person:we g(betty:austin) 4-4][person:tim m 9-9][person:emily f 11-11]
austin| Oh yeah I got that done last week I was actually going to go the mall to pick up some nick nacks for Emily s green house collection| [person:austin m 2-2][person:austin m 8-8][location:mall s 15-15][person:emily f 23-23][location:green_house s 26-26]
betty| Tim doesn t need any more cook books does he| [person:tim m 0-0][person:tim m 9-9]
austin| You can if you want but Emily s gonna frown on ya| [person:betty f 0-0][person:betty f 3-3][person:emily f 6-6]
betty| Why|
austin| Oh that s right you didn t see the garage did ya| [person:betty f 4-4][location:garage s 9-9]
betty| Well then we get him a bottle of whine and some cheese or something| [person:we g(betty:austin) 2-2][person:tim m 4-4]
austin| Sure I mean I ll get him a belt maybe He s not picky| [person:austin m 1-1][person:austin m 3-3][person:tim m 6-6][person:tim m 10-10]
betty| When are we gonna go visit| [person:we g(betty:austin) 2-2]
austin| I thought you wanted to go in June You still want that| [person:austin m 0-0][person:betty f 2-2][person:betty f 8-8]
betty| I said I wanted to visit Mom in June| [person:betty f 0-0][person:betty f 2-2][person:mom f 6-6]
austin| Well why not go in a June|
betty| when in June|
austin| Whenever we re not visiting your Mom| [person:we g(betty:austin) 1-1][person:betty f 5-5][person:betty f 6-6]
betty| We re going in July We ll visit during the Fourth| [person:we g(betty:austin) 0-0][person:we g(betty:austin) 5-5]
austin| Works for me| [person:austin m 2-2]

conv:people_2019082201_4:aug_0:chat_0:chataug_0| jon stephen| [person:jon m 0-0][person:stephen m 1-1]
stephen| Hi Stephen| [person:stephen m 1-1]
jon| Hi Jon| [person:jon m 1-1]
stephen| How are you| [person:jon m 2-2]
jon| I am fine I have tickets for poker night| [person:jon m 0-0][person:jon m 3-3]
stephen| That s nice|
jon| Are you free for this weekend| [person:stephen m 1-1]
stephen| Yes I am free Do you invite others| [person:stephen m 1-1][person:jon m 5-5][person:others g() 7-7]
jon| Yes I have many tickets| [person:jon m 1-1]
stephen| That will be nice|
jon| Yes I invited Pamela and Larry for this poker night| [person:jon m 1-1][person:pamela f 3-3][person:larry m 5-5]
stephen| Nice But Pamela is not free for this weekend| [person:pamela f 2-2]
jon| She told me that she will try to finish her work early and she will join with us| [person:pamela f 0-0][person:jon m 2-2][person:pamela f 4-4][person:pamela f 9-9][person:pamela f 13-13][person:us g(stephen:jon:pamela:larry) 17-17]
stephen| That s nice Then I will pick up her from the work| [person:stephen m 4-4][person:pamela f 8-8]
jon| That s good|
stephen| Ok Then we will talk when we meet| [person:we g(stephen:jon) 2-2][person:we g(stephen:jon) 6-6]
jon| Ok Don t forget|

conv:people_2019082201_5:aug_0:chat_0:chataug_0| abigail ashley| [person:abigail f 0-0][person:ashley f 1-1]
ashley| Hi Abigail How are you doing| [person:abigail f 1-1][person:abigail f 4-4]
abigail| Thanks a lot Im good how about you| [person:ashley f 7-7]
ashley| Not too bad thanks a lot you know we have a party in our place and also our friends Caroline Andrea and Michelle coming to this party| [person:abigail f 6-6][person:we g(ashley:abigail) 8-8][person:we g(ashley:abigail) 13-13][person:we g(ashley:abigail) 17-17][person:caroline f 19-19][person:andrea f 20-20][person:michelle f 22-22]
abigail| Yes I know what we can plan for this party| [person:abigail f 1-1][person:we g(ashley:abigail:caroline:andrea:michelle) 4-4][location:party s 9-9]
ashley| We will sit together and will discuss what can we bring| [person:we g(ashley:abigail) 0-0][person:we g(ashley:abigail) 9-9]
abigail| Yes sure we should make sure all should bring the unique dish| [person:we g(ashley:abigail) 2-2]
ashley| Sorry suddenly i got an idea will order outside what you say| [person:ashley f 2-2][person:abigail f 10-10]
abigail| Yes good idea we can do| [person:we g(ashley:abigail) 3-3]
ashley| Ok will order both veg and no veg|
abigail| Will look the good hotel and do order| [location:hotel s 4-4]
ashley| done we can cheers| [person:we g(ashley:abigail) 1-1]

conv:people_2019082201_6:aug_0:chat_0:chataug_0| clyde jen| [person:clyde m 0-0][person:jen f 1-1]
jen| Hi Clyde Did you know Walt from Seattle is visiting next week| [person:clyde m 1-1][person:clyde m 3-3][person:walt m 5-5][location:seattle s 7-7]
clyde| No I had no idea| [person:clyde m 1-1]
clyde| Oh my God I haven t seen him in ages| [person:clyde m 1-1][person:clyde m 3-3][person:jen f 7-7]
