conv:people_2019081201_158:aug_0:chat_0:chataug_0| jerry timothy| [person:jerry m 0-0][person:timothy m 1-1]
nathan| Yeah I guess so I hadn t thought about that before but it would probably be a nice gesture What do you bring to coffee though Probably not wine| [person:nathan m 1-1][person:nathan m 4-4][person:scott m 21-21]
scott| No probably not What do they serve at like teas and stuff or at places like Starbucks with coffee| [person:winstons g() 5-5][location:places g() 14-14][location:starbucks s 16-16]
nathan| I am not sure you always hear about coffee and donuts but they just don t seem like the donut type| [person:nathan m 0-0][person:scott m 4-4][person:winstons g() 12-12]
scott| No they don t do they I don t even know how they drink their coffee Maybe we could bring like a variety pack of flavored creamers| [person:winstons g() 1-1][person:winstons g() 5-5][person:scott m 6-6][person:winstons g() 12-12][person:winstons g() 14-14][person:we g(scott:nathan) 17-17]
nathan| Have you ever seen a creamer variety pack I don t think they make them It is not a bad idea but it would cost a lot to buy a variety of creamers and if they don t like them they might feel bad throwing them away and be stuck with half their refrigerator shelf full of them| [person:scott m 1-1][person:nathan m 8-8][person:winstons g() 12-12][person:winstons g() 14-14][person:winstons g() 35-35][person:winstons g() 39-39][person:winstons g() 40-40][person:winstons g() 45-45]
scott| Maybe we should research this what kind of search term would you suggest| [person:we g(scott:nathan) 1-1][person:nathan m 11-11]
nathan| What goes with coffee What do you bring to a coffee date| [person:scott m 6-6]
scott| What about Harry He s been to the Winstons before and he knows them pretty well You see him sometimes at work don t you| [person:harry m 2-2][person:harry m 3-3][person:winstons g() 8-8][person:harry m 11-11][person:winstons g() 13-13][person:nathan m 16-16][person:harry m 18-18][person:nathan m 24-24]
nathan| Yeah that s right good call I should run into him in the next day or two and I ll hit him up about that I ll get back to you when I do Bye| [person:nathan m 6-6][person:harry m 10-10][person:nathan m 18-18][person:harry m 21-21][person:nathan m 25-25][person:scott m 30-30][person:nathan m 32-32]

conv:people_2019081401_108:aug_0:chat_0:chataug_0| ashley harold| [person:ashley f 0-0][person:harold m 1-1]
harold| kate shall we and other three friends watch a movie tonight| [person:kate f 0-0][person:we g(harold:kate) 2-2][person:friends g(harold:ashley:kate) 6-6]
harold| hai scott shall we and other three friends watch a movie tonight| [person:scott m 1-1][person:we g(harold:kate:scott) 3-3][person:friends g(harold:ashley:kate:scott) 7-7]
harold| hai ashley shall we and other four friends watch a movie tonight| [person:ashley f 1-1][person:we g(harold:kate:scott:ashley) 3-3][person:friends g(harold:ashley:kate:scott) 7-7]
ashley| yes my dear whether everyone willing to come| [person:harold m 1-1][person:everyone g(harold:ashley:kate:scott) 4-4]
harold| yes ashley i have message them waiting for reply| [person:ashley f 1-1][person:harold m 2-2][person:them g(kate:scott) 5-5]
harold| tell me which movie do you prefer| [person:harold m 1-1][person:ashley f 5-5]
ashley| what about the lion king 3D animation movie|
harold| ok nice movie|
harold| what about snacks and drinks|
ashley| i will get all snacks and drinks| [person:ashley f 0-0]
harold| don t forget to get my favourite snacks corn puffs and pop corn| [person:harold m 5-5]
ashley| ok dear i will never forget| [person:ashley f 2-2]
ashley| i will also get some soft drinks| [person:ashley f 0-0]

conv:people_2019081401_109:aug_0:chat_0:chataug_0| james jeremy| [person:james m 0-0][person:jeremy m 1-1]
james| Shall we go for a dinner outside this week| [person:we g(james:jeremy) 1-1]
jeremy| Yes I like the plan You have any choice about restaurant| [person:jeremy m 1-1][person:james m 5-5][location:restaurant s 10-10]
james| Thinking about the same Still not decided What about you| [person:jeremy m 9-9]
jeremy| Nothing But we can choose How about our neighbors Chloe and Willie Shall we ask them to join us for the dinner| [person:we g(james:jeremy) 2-2][person:we g(james:jeremy) 7-7][person:neighbors g() 8-8][person:chloe f 9-9][person:willie m 11-11]
james| Yes of course We can call them for the dinner| [person:we g(james:jeremy) 3-3][person:neighbors g(chloe:willie) 6-6]
jeremy| Then we can ask their suggestions also to decide about the restaurant| [person:we g(james:jeremy) 1-1][person:neighbors g(chloe:willie) 4-4][location:restaurant s 11-11]
james| Okay you call them and tell about the plan and ask their suggestion| [person:jeremy m 1-1][person:neighbors g(chloe:willie) 3-3][person:neighbors g(chloe:willie) 11-11]
jeremy| I called them and invited They said that they will eat at any place that we decide| [person:jeremy m 0-0][person:neighbors g(chloe:willie) 2-2][person:neighbors g(chloe:willie) 5-5][person:neighbors g(chloe:willie) 8-8][location:place s 13-13][person:we g(james:jeremy) 15-15]
james| Okay then I prefer for the one that We went a month ago Do you remember| [person:james m 2-2][person:we g(james:jeremy) 8-8][person:jeremy m 14-14]
jeremy| Yes that is nice|
james| Make a reservation at that restaurant for us please| [location:restaurant s 5-5][person:us g(james:jeremy:chloe:willie) 7-7]
jeremy| Okay done|

conv:people_2019081401_110:aug_0:chat_0:chataug_0| barbara kayla| [person:barbara f 0-0][person:kayla f 1-1]
kayla| Hi Barbara How are you doing today| [person:barbara f 1-1][person:barbara f 4-4]
barbara| I m great Kayla What is new with you| [person:barbara f 0-0][person:kayla f 3-3][person:kayla f 8-8]
kayla| I m looking forward to movie night at the Morgans with Walt Abigail and Rodger| [person:kayla f 0-0][person:morgans g() 9-9][person:walt m 11-11][person:abigail f 12-12][person:rodger m 14-14]
barbara| What do you think the Morgans like to watch and eat| [person:barbara f 2-2][person:morgans g(walt:abigail:rodger) 5-5]
kayla| Rodger likes cherry soda and sprite and Abigail likes hamburgers| [person:rodger m 0-0][person:abigail f 7-7]
barbara| Walt likes horror movies I think we should do that| [person:walt m 0-0][person:barbara f 4-4][person:we g(kayla:barbara:walt:abigail:rodger) 6-6]
kayla| That sounds like a good plan I enjoy them too| [person:kayla f 6-6]
barbara| Can you pick out the movie for us| [person:kayla f 1-1][person:we g(kayla:barbara:walt:abigail:rodger) 7-7]
kayla| Sure can you please pick up the food to bring Maybe some hot dogs and buns too| [person:barbara f 2-2]
barbara| That would be cool I would love to| [person:barbara f 4-4]

conv:people_2019081401_111:aug_0:chat_0:chataug_0| janice vincent| [person:janice f 0-0][person:vincent m 1-1]
janice| So I was planning on having Alan come over on Thursday to watch Jurassic World| [person:janice f 1-1][person:alan m 6-6]
janice| Would you be interested in joining us| [person:vincent m 1-1][person:us g(janice:alan) 6-6]
vincent| Sure that sounds great It s been a long time since I ve seen Alan| [person:vincent m 11-11][person:alan m 14-14]
janice| Sounds good I m going to have popcorn and drinks ready| [person:janice f 2-2]
vincent| Awesome I can t wait I loved that movie when it came out and you have an amazing TV to watch it on| [person:vincent m 1-1][person:vincent m 5-5][person:janice f 14-14]
janice| That s why everybody loves coming over|
vincent| I just realized Roger will also be in town that day| [person:vincent m 0-0][person:roger m 3-3]
vincent| Do you think we can invite him as well| [person:janice f 1-1][person:we g(janice:vincent) 3-3][person:roger m 6-6]
janice| I m not sure if that s such a great idea He doesn t really know any of us| [person:janice f 0-0][person:roger m 11-11][person:us g(janice:vincent:alan) 18-18]
vincent| I realize that but he s really a great easy going guy that s a lot of fun I think he d fit in fine| [person:vincent m 0-0][person:roger m 4-4][person:vincent m 18-18][person:roger m 20-20]
janice| All right I guess we can let him come| [person:janice f 2-2][person:we g(janice:vincent) 4-4][person:roger m 7-7]
vincent| Thank you You ll love the guy| [person:janice f 1-1][person:janice f 2-2]

conv:people_2019081401_113:aug_0:chat_0:chataug_0| laura natalie| [person:laura f 0-0][person:natalie f 1-1]
laura| Hey Natalie what d you think of my soccer skills| [person:natalie f 1-1][person:natalie f 4-4][person:laura f 7-7]
natalie| Well I can tell you tried your best| [person:natalie f 1-1][person:laura f 4-4][person:laura f 6-6]
laura| Haha yeah I knew you d say something like that| [person:laura f 2-2][person:natalie f 4-4]
laura| so I want to try to get better| [person:laura f 1-1]
natalie| Don t worry about it that s what the classes are for|
laura| Yeah but I want to practice even more How about we play together sometime| [person:laura f 2-2][person:we g(laura:natalie) 10-10]
natalie| Sure but we ll need more than just us| [person:we g(laura:natalie) 2-2][person:we g(laura:natalie) 8-8]
laura| I can ask Janice Eve and Gloria and see if they want to come| [person:laura f 0-0][person:janice f 3-3][person:gloria f 6-6][person:they g(janice:gloria) 10-10]
natalie| Okay sounds good When are we doing this| [person:we g(laura:natalie) 5-5]
laura| I want to do it on the weekend but I ll have to ask first| [person:laura f 0-0][person:laura f 9-9]
laura| I also want to try to invite some classmates so we can make bigger teams| [person:laura f 0-0][person:classmates g() 8-8][person:we g(laura:natalie) 10-10]
natalie| Okay I ll try asking some of my friends from the class too| [person:natalie f 1-1][person:natalie f 7-7][person:friends g() 8-8]
natalie| Since we re having such a big group we should meet at the train station close to the gym| [person:we g(laura:natalie) 1-1][person:we g(laura:natalie) 8-8][location:train_station s 13-14][location:gym s 18-18]
laura| Alright sure will I ll contact you again when I ve talked to them| [person:laura f 3-3][person:natalie f 6-6][person:laura f 9-9][person:they g(janice:gloria) 13-13]
laura| bye|
natalie| bye|

conv:people_2019081401_117:aug_0:chat_0:chataug_0| anthony jon| [person:anthony m 0-0][person:jon m 1-1]
jon| Jonathan Ron or Albert Who should we invite| [person:jonathan m 0-0][person:ron m 1-1][person:albert m 3-3][person:we g(jon:anthony) 6-6]
anthony| I don t know The two we don t invite will feel left out| [person:anthony m 0-0][person:we g(jon:anthony) 6-6]
jon| I know I wish we could invite them all but there is only room for one of them| [person:jon m 0-0][person:jon m 2-2][person:we g(jon:anthony) 4-4][person:them g(jonathan:ron:albert) 7-7][person:them g(jonathan:ron:albert) 17-17]
anthony| Ron likes to sleep till noon so inviting him out to breakfast is a waste of time| [person:ron m 0-0][person:ron m 8-8]
jon| Right Albert has a birthday coming up We should invite him as a early birthday gift lol| [person:albert m 1-1][person:we g(jon:anthony) 7-7][person:albert m 10-10]
anthony| You cheapskate| [person:jon m 0-0]
jon| So it s Albert then| [person:albert m 3-3]
anthony| Yes I m okay with it| [person:anthony m 1-1]
jon| Do you want to ask him or should I| [person:anthony m 1-1][person:albert m 5-5][person:jon m 8-8]
anthony| You should ask him It s your money afterall| [person:jon m 0-0][person:albert m 3-3][person:jon m 6-6]
jon| Alright I ll call him after I hang up with you See yah| [person:jon m 1-1][person:albert m 4-4][person:jon m 6-6][person:anthony m 10-10]
anthony| Bye|

conv:people_2019081401_119:aug_0:chat_0:chataug_0| john randy| [person:john m 0-0][person:randy m 1-1]
john| Hey Randy How are you doing today| [person:randy m 1-1][person:randy m 4-4]
randy| I m great How are you| [person:randy m 0-0][person:john m 5-5]
john| Decent Just sitting here thinking about who we should invite to the movie night and what we should watch any input| [person:we g(john:randy) 7-7][person:we g(john:randy) 16-16]
randy| Well I know Scott Logan Raymond and Gregory may want to come| [person:randy m 1-1][person:scott m 3-3][person:logan m 4-4][person:raymond m 5-5][person:gregory m 7-7]
john| Should we invite all of them because the movie will be scary and I m not sure if they all would want to watch| [person:we g(john:randy) 1-1][person:them g(scott:logan:raymond:gregory) 5-5][person:john m 13-13][person:them g(scott:logan:raymond:gregory) 18-18]
randy| I don t see why not You know they ll be mad if we don t invite them lol| [person:randy m 0-0][person:john m 6-6][person:them g(scott:logan:raymond:gregory) 8-8][person:we g(john:randy) 13-13][person:them g(scott:logan:raymond:gregory) 17-17]
john| Thats true Especially Scott He has really been wanting to hang out lately so I dont wanna miss this opportunity| [person:scott m 3-3][person:scott m 4-4][person:john m 14-14]
randy| Yeah I d say we can invite them all and let them know that we re doing scary movie night and if they want to come then cool otherwise we can hangout some other time| [person:randy m 1-1][person:we g(john:randy) 4-4][person:them g(scott:logan:raymond:gregory) 7-7][person:them g(scott:logan:raymond:gregory) 11-11][person:we g(john:randy) 14-14]
john| Yeah thats a good idea Thats what I ll do Thanks for the input Have you decided which movie we re watching| [person:john m 7-7][person:randy m 15-15][person:we g(john:randy) 19-19]
