conv:people_chats_0628_15:aug_0:chat_0:chataug_0| charlie emmett| [person:charlie f 0-0][person:emmett m 1-1]
ralph| I just don t want to be standing in the corner of the party like some loner| [person:ralph m 0-0][location:party s 13-13]
paris| Well you know Kim and Jeremy don t you We went to the aracde with them a few weeks ago| [person:ralph m 1-1][person:kim f 3-3][person:jerry m 5-5][person:ralph m 8-8][person:we g(paris:ralph) 9-9][person:friends g(kim:jerry) 15-15]
ralph| Of course I remember them But I m not sure if I ve met any more of your college friends| [person:ralph m 2-2][person:friends g(kim:jerry) 4-4][person:ralph m 6-6][person:ralph m 11-11][person:paris f 17-17][location:college s 18-18][person:friends g() 19-19]
paris| That won t be a big deal Many of my friends from college have never met each other at all their only mutual friend is me Think of it like a celebration plus a big meetandgreet| [person:paris f 9-9][person:friends g() 10-10][location:college s 12-12][person:friends g() 20-20][person:paris f 23-23][person:paris f 25-25][location:party s 28-28]
ralph| Alright I ll trust you on that one lol I just wanted to let you know that I ll be there at 8 pm I know it s a little later than what you d like but I can t miss work again| [person:ralph m 1-1][person:paris f 4-4][person:ralph m 9-9][person:paris f 14-14][person:ralph m 17-17][person:ralph m 24-24][person:paris f 33-33][person:ralph m 37-37]
paris| Don t worry about it Student debt has really gotten the best of all of us Your work is important so no need to apologize| [person:us g(paris:ralph:kim:jerry) 15-15][person:ralph m 16-16]
ralph| Sounds good Would you like me to bring a bottle of wine for the party I couldn t decide on getting white or red or if you re a wine drnker at all| [person:paris f 3-3][person:ralph m 5-5][location:party s 14-14][person:ralph m 15-15][person:paris f 26-26]
paris| Hm white sounds better The last thing I need tonight is a giant red wine stain on my shirt Tonight is gonna get wild I ll see you there| [person:paris f 7-7][person:paris f 17-17][person:paris f 24-24][person:ralph m 27-27][location:party s 28-28]
ralph| You can count on it See you then| [person:paris f 0-0][person:paris f 6-6]

conv:people_chats_0629_46:aug_0:chat_0:chataug_0| angela virgil| [person:angela f 0-0][person:virgil m 1-1]
angela| Virgil there s this awesome new music festival in Austin| [person:virgil m 0-0][location:austin s 1-1][location:austin s 9-9]
virgil| What s it called|
angela| It s called North by Northeast|
virgil| What so cool about it|
angela| It showcases artists and celebrities who produce educational material for children| [person:artists g() 2-2][person:celebrities g() 4-4][person:children g() 10-10]
virgil| Oh I think I read a blurb about that in the paper| [person:virgil m 1-1][person:virgil m 3-3]
virgil| I bet my daughter Bridget would really want to go| [person:virgil m 0-0][person:virgil m 2-2][person:bridget f 3-3][person:bridget f 4-4]
angela| I thought she might be interested| [person:angela f 0-0][person:bridget f 2-2]
virgil| She s really into Bill Nye the Science Guy right now| [person:bridget f 0-0][person:bill_nye m 4-5]
angela| I think my son Neil might be a little too old for it| [person:angela f 0-0][person:angela f 2-2][person:neil m 3-3][person:neil m 4-4]
angela| He s more interested in sports and videgames lately| [person:neil m 0-0]
virgil| Do you think you could send me the festival s web address| [person:angela f 1-1][person:angela f 3-3][person:virgil m 6-6]

conv:people_chats_0629_47:aug_0:chat_0:chataug_0| casey martin| [person:casey f 0-0][person:martin m 1-1]
casey| Hey babe are you busy| [person:martin m 3-3]
martin| Not right now what s up|
casey| I think Jackson is going into Gina s room and taking money out of her piggy bank| [person:casey f 0-0][person:jackson m 2-2][person:gina f 6-6][person:gina f 14-14]
martin| What makes you think that| [person:casey f 2-2]
casey| She has been complaining that money is missing| [person:gina f 0-0]
martin| Are you sure that Gina just didn t spend some of it and forget| [person:casey f 1-1][person:gina f 4-4]
martin| I don t know| [person:martin m 0-0]
casey| Well she has done that in the past and tried blaming him| [person:gina f 1-1][person:jackson m 11-11]
casey| I caught him in her room the other day and he was acting weird about it when I asked what he was doing| [person:casey f 0-0][person:jackson m 2-2][person:gina f 4-4][person:jackson m 10-10][person:casey f 17-17][person:jackson m 20-20]
martin| Yep sounds guilty|

conv:people_chats_0629_48:aug_0:chat_0:chataug_0| forest monisha| [person:forest m 0-0][person:monisha f 1-1]
monisha| We need to get our family together for the reunion| [person:we g(monisha:forest) 0-0][person:we g(monisha:forest) 4-4][person:family g(monisha:forest) 5-5]
monisha| It is this summer|
monisha| In good old Galveston Texas| [location:old_galveston s 2-3][location:texas s 4-4]
monisha| Can you see if your sister Miranda can attend the reunion| [person:forest m 1-1][person:forest m 4-4][person:miranda f 5-5][person:miranda f 6-6]
forest| She travels a lot for work so may actually already have a trip booked| [person:monisha f 0-0][location:trip s 12-12]
forest| I am not sure though so will call her to find out| [person:forest m 0-0][person:miranda f 8-8]
monisha| Already spoke to my brother Jason and he confirmed he will attend with the family| [person:monisha f 3-3][person:jason m 4-4][person:jason m 5-5][person:jason m 7-7][person:jason m 9-9][person:family g(monisha:forest:miranda) 14-14]
monisha| He is excited to get the family together| [person:jason m 0-0][person:family g(monisha:forest:miranda) 6-6]
monisha| He wants to teach them to boogie board| [person:jason m 0-0][person:family g(monisha:forest:miranda) 4-4]
forest| Should I book one large beach house or leave it to each family to find lodging| [person:forest m 1-1][location:beach s 5-5][person:family g(monisha:forest:miranda) 12-12]
monisha| We will need to figure that out| [person:we g(monisha:forest) 0-0]
forest| Yes let s do that|
forest| Jason and the kids will have so much fun| [person:jason m 0-0][person:kids g() 3-3]

conv:people_chats_0629_49:aug_0:chat_0:chataug_0| matty walter| [person:matty f 0-0][person:walter m 1-1]
walter| Yo Matty long time no chat| [person:matty f 1-1]
matty| Hey yes it has been What s new|
walter| Not much How s practice going Are you still a master of the axe| [person:matty f 7-7]
matty| Haha Why are you axeing me| [person:walter m 3-3][person:matty f 5-5]
walter| What do you mean| [person:matty f 2-2]
matty| It s a pun silly|
matty| But yes I am just as good with the axe as ever I can take on anyone| [person:matty f 2-2][person:matty f 12-12][person:anyone u 16-16]
walter| Well if your wit is as sharp as your weapon no further training will be needed| [person:matty f 2-2][person:matty f 8-8]
walter| Anyway in a bit of a bind My cousin Herold is really trippin hard again He wants to take over the old convience store downtown He thinks if he conquers it he can be part owner and basically take whatever he wants| [person:walter m 7-7][person:herold m 8-8][person:herold m 9-9][person:herold m 15-15][person:herold m 25-25][person:herold m 28-28][person:herold m 31-31][person:herold m 40-40]
matty| Oh and you want me to help him haha| [person:walter m 2-2][person:matty f 4-4][person:herold m 7-7]
walter| No no it s not like that I want you to confront him| [person:walter m 7-7][person:matty f 9-9][person:herold m 12-12]
matty| Don t you think as crazy as he is that me showing up with a bigass battle axe will just make his paranoia worse| [person:walter m 2-2][person:herold m 7-7][person:matty f 10-10][person:herold m 21-21]
walter| Do you want a paycheck I just want him to cool off a little| [person:matty f 1-1][person:walter m 5-5][person:herold m 8-8]
matty| You know I m always up for a job if money is involved Which old shop is it again| [person:walter m 0-0][person:matty f 2-2][location:old_shop s 14-15][location:old_shop s 17-17]
walter| It s the convience store near my Grandma Belle s house| [location:old_convience_store s 0-0][location:old_convience_store s 3-4][person:walter m 6-6][person:belle f 8-8][location:house s 10-10]
matty| Near downtown I m not sure where that is| [location:downtown s 1-1][person:matty f 2-2]
matty| What is the street address| [location:street s 3-3]
walter| You mean grandma Or the shop| [person:matty f 0-0][location:old_convience_store s 5-5]

conv:people_chats_0629_50:aug_0:chat_0:chataug_0| gianna jordan| [person:gianna f 0-0][person:jordan m 1-1]
jordan| Hey Gianna Could you bring home some dinner after work| [person:gianna f 1-1][person:gianna f 3-3][location:home s 5-5]
gianna| What happened Were you not gonna cook today| [person:jordan m 3-3]
jordan| I was going to cook but I am not feeling well now and had to come home from the office| [person:jordan m 0-0][person:jordan m 6-6][location:home s 16-16][location:office s 19-19]
gianna| Honey what happened What is wrong|
jordan| My stomach is bothering me and I have been throwing up I also have a bad headache| [person:jordan m 0-0][person:jordan m 4-4][person:jordan m 6-6][person:jordan m 11-11]
gianna| Oh dear I am really sorry to hear that| [person:gianna f 2-2]
gianna| Okay what do you think Chad and Petunia would like for dinner| [person:jordan m 3-3][person:chad m 5-5][person:petunia f 7-7]
jordan| Well they are very picky eaters just like their mun Gianna| [person:they g(chad:petunia) 1-1][person:they g(chad:petunia) 8-8][person:gianna f 10-10]
gianna| I know that why I am asking you since you cook most of the time| [person:gianna f 0-0][person:gianna f 4-4][person:jordan m 7-7][person:jordan m 9-9]
jordan| I dont know what they really like to eat but I do know what they hate to eat| [person:jordan m 0-0][person:they g(chad:petunia) 4-4][person:jordan m 10-10][person:they g(chad:petunia) 14-14]
jordan| They really hate onions and foods with even a little bit of spice| [person:they g(chad:petunia) 0-0]
gianna| Alright I will get them something sweet and tasty to eat since they get to eat out only once a while| [person:gianna f 1-1][person:they g(chad:petunia) 4-4][person:they g(chad:petunia) 12-12]

conv:people_chats_0629_53:aug_0:chat_0:chataug_0| joann ollie| [person:joann f 0-0][person:ollie m 1-1]
joann| Hey Ollie| [person:ollie m 1-1]
ollie| Hey what s up|
joann| I just wanted to check in and see when your new furniture was supposed to arrive| [person:joann f 0-0][person:ollie m 9-9]
joann| It hasn t gotten there already has it| [location:there u 4-4]
ollie| No it s not here yet| [location:here u 4-4]
ollie| I got an email earlier saying that it s in Kansas now| [person:ollie m 0-0][location:kansas s 10-10]
ollie| Should be here by Friday| [location:here u 2-2]
joann| Oh that s good to hear|
joann| Do you need any help assembling it| [person:ollie m 1-1]
ollie| I should have it covered My friends Brittany and Bruce are coming by with pizza and drinks to have a furniture assembling party| [person:ollie m 0-0][person:ollie m 5-5][person:friends g() 6-6][person:brittany f 7-7][person:bruce m 9-9]
ollie| But if you want to join us you re welcome to stop by| [person:joann f 2-2][person:ollie__brittany__and_bruce g(ollie:brittany:bruce) 6-6][person:joann f 7-7]
joann| That sounds great I ll be there| [person:joann f 3-3][location:there u 6-6]

conv:people_chats_0629_55:aug_0:chat_0:chataug_0| annette lamar| [person:annette f 0-0][person:lamar m 1-1]
annette| Hello Lamar What is going on| [person:lamar m 1-1]
lamar| Yes Annette I m relaxing my self now| [person:annette f 1-1][person:lamar m 2-2][person:lamar m 5-5]
annette| Do you know any play house near by you house| [person:lamar m 1-1][location:play_house s 4-5][person:lamar m 8-8][location:house s 9-9]
lamar| Still now I don t know about near buy place| [person:lamar m 2-2][location:place s 9-9]
annette| Florrie and Haiden are very much interesting to play in pay house| [person:florrie f 0-0][person:haiden m 2-2][location:play_house s 11-11]
lamar| Oh great They re at the ages when they can climb and swing well by themselves| [person:they g(florrie:haiden) 2-2][person:they g(florrie:haiden) 8-8][person:they g(florrie:haiden) 15-15]
annette| Florrie and hidden are feeling bored in this vacation| [person:florrie f 0-0][location:vacation s 8-8]
lamar| Okay I ll search play house for you| [person:lamar m 1-1][location:play_house s 5-5][person:annette f 7-7]
annette| Yes sure If you prefer you can also join with us| [person:lamar m 3-3][person:lamar m 5-5][person:us g(annette:florrie:haiden) 10-10]
lamar| yeah sure Once I got the information I ll let you know| [person:lamar m 3-3][person:lamar m 7-7][person:annette f 10-10]
annette| That s great Thank you| [person:lamar m 4-4]

conv:people_chats_0629_59:aug_0:chat_0:chataug_0| cheryl isabella| [person:cheryl f 0-0][person:isabella f 1-1]
cheryl| dating has always been hard|
isabella| But dating Sig is extra extra hard|
cheryl| Only for you| [person:isabella f 2-2]
isabella| It s the way I am I m not like George all manly and smooth| [person:isabella f 4-4][person:isabella f 6-6][person:george m 10-10]
cheryl| George isn t all that| [person:george m 0-0]
isabella| You wouldn t date him| [person:cheryl f 0-0][person:george m 4-4]
cheryl| I just mean that womwn are looking for more than what George has to offer| [person:cheryl f 0-0][person:george m 11-11]
isabella| Thanks I think| [person:isabella f 1-1]
