conv:people_2019082201_69:aug_0:chat_0:chataug_0| ivan lawrence| [person:ivan m 0-0][person:lawrence m 1-1]
aaron| I don t think that will be a good idea Because you know Bradley and Phillip like LA Lakers And they will not change their mind| [person:aaron m 0-0][person:louis m 11-11][person:bradley m 13-13][person:phillip m 15-15][person:friends g(bradley:phillip) 20-20]
louis| I guess I will have to compormise then LA Lakers it is then| [person:louis m 0-0][person:louis m 2-2]
aaron| You are very understanding See you Bye| [person:louis m 0-0][person:louis m 5-5]
louis| Bye|

conv:people_2019082201_200:aug_0:chat_0:chataug_0| melinda sophia| [person:melinda f 0-0][person:sophia f 1-1]
sophia| hey how do we organise this party and what about our friends| [person:we g(sophia:melinda) 3-3][person:our g(sophia:melinda) 10-10][person:friends g() 11-11]
melinda| we ll try as much as possible to organise very well i already spoke with Donna| [person:we g(sophia:melinda) 0-0][person:melinda f 11-11][person:donna f 15-15]
sophia| oh good i spoke with Angela and she said she ll buy wines from the store but i m unable to reach Amy| [person:sophia f 2-2][person:angela f 5-5][person:angela f 7-7][person:angela f 9-9][location:store s 15-15][person:sophia f 17-17][person:amy f 22-22]
melinda| Amy went quickly to see her sister and she said she ll also be available for the party planning| [person:amy f 0-0][person:amy f 5-5][person:sister f 6-6][person:amy f 8-8][person:sister f 10-10]
sophia| ok that s nice it means the party will be super exciting|
melinda| yeah sure i hope you ve invited a couple of other friends too for the party| [person:melinda f 2-2][person:sophia f 4-4][person:friends g() 11-11]
sophia| yes sure did hopefully everyone that we invite make it to the party| [person:everyone g(donna:angela:amy:sister) 4-4][person:we g(sophia:melinda) 6-6]
melinda| I believe they ll all come and we ll all have a great time together| [person:melinda f 0-0][person:they g(donna:angela:amy:sister) 2-2][person:we g(sophia:melinda:donna:angela:amy:sister) 7-7]
sophia| very sure there ll be a lot of drinks and food to eat|
melinda| okay I just got a text from Amy that she s on her way to our place| [person:melinda f 1-1][person:amy f 7-7][person:amy f 9-9][person:amy f 12-12][person:our g(sophia:melinda) 15-15][location:place s 16-16]
sophia| oh wonderful i ll call her to buy some more snacks from the grocery store| [person:sophia f 2-2][person:amy f 5-5][location:grocery_store s 13-14]
melinda| that s thoughtful of you we are set for the party| [person:sophia f 4-4][person:we g(sophia:melinda) 5-5]

conv:people_2019082201_201:aug_0:chat_0:chataug_0| bill mark| [person:bill m 0-0][person:mark m 1-1]
bill| Let s get together for dinner tonight|
mark| Sounds good Can I invite Mike and Evan also| [person:mark m 3-3][person:mike m 5-5][person:evan m 7-7]
bill| Are you sure we should invite Evan| [person:mark m 1-1][person:we g(bill:mark) 3-3][person:evan m 6-6]
mark| Do you not like Evan or something| [person:bill m 1-1][person:evan m 4-4]
bill| All he ever wants to eat is Mexican food| [person:evan m 1-1]
mark| We don t have to get Mexican food| [person:we g(bill:mark:mike:evan) 0-0]
bill| Okay that s fine Where should we eat then| [person:we g(bill:mark:mike:evan) 6-6]
mark| There s a nice Italian restaurant downtown| [location:restaurant s 5-5][location:downtown s 6-6]
bill| Sounds great I ll meet you there at 7| [person:bill m 2-2][person:mark m 5-5][location:restaurant s 6-6]
mark| I ll make the reservation See ya later| [person:mark m 0-0]

conv:people_2019082201_202:aug_0:chat_0:chataug_0| doug thomas| [person:doug m 0-0][person:thomas m 1-1]
thomas| Hey I am planning to watch NBA finals Would you like to join me| [person:thomas m 1-1][person:doug m 9-9][person:thomas m 13-13]
doug| Hey Sure Who else will be joining us| [person:thomas___doug g(thomas:doug) 7-7]
thomas| I was thinking of asking Jason and Noah What do you say| [person:thomas m 0-0][person:jason m 5-5][person:noah m 7-7][person:doug m 10-10]
doug| That will be great We havn t been togethor since last month| [person:entire_group g(thomas:doug:jason:noah) 4-4]
thomas| Do you have a place in mind where we can watch the finals And the place must be near to all| [person:doug m 1-1][location:place s 4-4][person:entire_group g(thomas:doug:jason:noah) 8-8][location:place s 15-15]
doug| How about my place| [person:doug m 2-2][location:place s 3-3]
thomas| I don t think that will be a good idea It is far from Noah s place| [person:thomas m 0-0][location:place s 10-10][person:noah m 14-14][location:place s 16-16]
doug| how about Jason s place It is almost near to everyone s place| [person:jason m 2-2][location:place s 4-4][location:place s 5-5][person:entire_group g(thomas:doug:jason:noah) 10-10][location:place s 12-12]
thomas| That sounds great I will inform Jason and Noah| [person:thomas m 3-3][person:jason m 6-6][person:noah m 8-8]
doug| Okay And ask Jason to bring the bean bag from Noah s place I like watching the game sitting on the bean bag| [person:jason m 3-3][person:noah m 10-10][location:place s 12-12][person:doug m 13-13]
thomas| Okay I will do that Bye| [person:thomas m 1-1]
thomas| Bye|

conv:people_2019082201_203:aug_0:chat_0:chataug_0| linda theresa| [person:linda f 0-0][person:theresa f 1-1]
theresa| Are you having a good time with Olivia and Jessica| [person:linda f 1-1][person:olivia f 7-7][person:jessica f 9-9]
linda| Sort of I am not sure where we should go| [person:linda f 2-2][person:we g(olivia:jessica) 7-7]
theresa| New York is a big city There should should be a lot of attractions| [location:new_york s 0-1][location:new_york s 5-5][location:new_york s 6-6]
linda| That is the problem There are so many that we can t decide where to go| [person:we g(olivia:jessica) 9-9]
theresa| Have you googled anything| [person:linda f 1-1]
linda| Yes but that doesn t help too much|
theresa| Maybe you should try a tour or something| [person:linda f 1-1]
linda| That seems like a good idea I will ask someone at the hotel for a recommendation| [person:linda f 6-6][person:someone g(olivia:jessica) 9-9][location:hotel s 12-12]
theresa| Great Take a lot of pictures|
linda| I will put them on Instagram when I am done| [person:linda f 0-0][person:them g(olivia:jessica) 3-3][person:linda f 7-7]

conv:people_2019082201_204:aug_0:chat_0:chataug_0| johnny sam| [person:johnny m 0-0][person:sam m 1-1]
johnny| Hey Sam did you decide which concert we will go to| [person:sam m 1-1][person:sam m 3-3][person:we g(johnny:sam) 7-7]
sam| I don t know man it s really upto you guys| [person:sam m 0-0][person:johnny m 9-9]
johnny| We can t seem to come to an agreement for some reason| [person:we g(johnny:sam) 0-0]
sam| I do realise that I just hope i don t get caught in the crossfire Have we atleast set a day| [person:sam m 0-0][person:sam m 4-4][person:sam m 7-7][person:we g(johnny:sam) 16-16]
johnny| Yes I ve spoken to Nicholas and Jon We ve decided on Thursday evening Jon had to reschedule one of his clients| [person:johnny m 1-1][person:nicholas m 5-5][person:jon m 7-7][person:we g(johnny:sam) 8-8][person:jon m 14-14][person:jon m 20-20][person:clients g(nicholas:jon) 21-21]
sam| Great that s a start Any clues as to which concert we will be going to| [person:we g(johnny:sam) 11-11]
johnny| None i m afraid I want to go to watch some jazz while Nicholas and Jon are set on hip hop music| [person:johnny m 1-1][person:johnny m 4-4][person:nicholas m 13-13][person:jon m 15-15]
sam| I just want to go out with you guys Is this jazz concert important| [person:sam m 0-0][person:johnny m 7-7]
johnny| It most definitely is They are gonna be here all month| [person:they g(nicholas:jon) 4-4]
sam| Great there you have it Let s just go to this hip hop concert for Nicholas and Jon You and I could go to the Jazz concert later this month my treat| [person:johnny m 2-2][person:nicholas m 15-15][person:jon m 17-17][person:sam m 18-18][person:sam m 20-20][person:sam m 30-30]
johnny| That does sound like fun You ve always been so good at this sort of thing Alright later then have a nice day| [person:sam m 5-5]
sam| Glad to be of service Have a nice day too|

conv:people_2019082201_205:aug_0:chat_0:chataug_0| joan paul| [person:joan f 0-0][person:paul m 1-1]
joan| hi Paul are you heading home soon| [person:paul m 1-1][person:paul m 3-3][location:home s 5-5]
paul| Hey how are you Yes I am heading home in about half an hour why| [person:joan f 3-3][person:paul m 5-5][location:home s 8-8]
joan| I forgot I left my books at Patricia s house and I am stuck at this work party| [person:joan f 0-0][person:joan f 2-2][person:joan f 4-4][person:patricia f 7-7][location:house s 9-9][person:joan f 11-11]
paul| Oh yes you mentioned you had left the books at her house| [person:joan f 2-2][person:joan f 4-4][person:patricia f 10-10][location:house s 11-11]
joan| Are you able to swing by on your way home and pick up the books from her house| [person:paul m 1-1][person:paul m 7-7][location:home s 9-9][person:patricia f 16-16][location:house s 17-17]
paul| Yeah that should be okay Can you let Patricia know I will be there around 6 30pm| [person:joan f 6-6][person:patricia f 8-8][person:paul m 10-10][location:house s 13-13]
joan| I ll text her now thank you so much| [person:joan f 0-0][person:patricia f 3-3][person:paul m 6-6]
paul| I am happy to help| [person:paul m 0-0]
joan| Okay Patricia says that time is fine She can meet you outside if its easier for you to get away| [person:joan f 1-1][person:patricia f 7-7][person:paul m 10-10][person:paul m 16-16]
paul| That would be great tell her i will see her then| [person:patricia f 5-5][person:paul m 6-6][person:patricia f 9-9]

conv:people_2019082201_206:aug_0:chat_0:chataug_0| beverly dorothy| [person:beverly f 0-0][person:dorothy f 1-1]
dorothy| It will be a great time at Brians no| [person:brian m 7-7]
beverly| surely Garry is an expert at mouth watering barbeque| [person:garry m 1-1]
dorothy| When shall we push off| [person:we g(dorothy:beverly) 2-2]
beverly| At 5 o clock we shall leave| [person:we g(dorothy:beverly) 4-4]
dorothy| Ok I shall join you at the central station| [person:dorothy f 1-1][person:beverly f 4-4][location:station s 8-8]
beverly| We have to buy something they like| [person:we g(dorothy:beverly) 0-0][person:they g(brian:garry) 5-5]
dorothy| What should be bought any idea|
beverly| Lauren is a great lover of cakes that I know| [person:lauren f 0-0][person:beverly f 8-8]
dorothy| Then we shall buy some cake and pastries ok| [person:we g(dorothy:beverly) 1-1]
beverly| Good we should get something special for Michael naughty boy| [person:we g(dorothy:beverly) 1-1][person:michael m 7-7]
dorothy| He is passionate for ice creams we shall get some tasty one for him| [person:michael m 0-0][person:we g(dorothy:beverly) 6-6][person:michael m 13-13]
beverly| Great that will be fine|

conv:people_2019082201_210:aug_0:chat_0:chataug_0| bradley vincent| [person:bradley m 0-0][person:vincent m 1-1]
bradley| Hey I just spoke with Dennis and Gabriel and they are already on their way to the movie theater Do you still need a ride| [person:bradley m 1-1][person:dennis m 5-5][person:gabriel m 7-7][person:they g(dennis:gabriel) 9-9][person:they g(dennis:gabriel) 13-13][location:theater s 18-18][person:vincent m 20-20]
vincent| Yes my car is still in the shop and I have no groceries so can we grab a bite to eat first| [person:vincent m 1-1][location:shop s 7-7][person:vincent m 9-9][person:we g(bradley:vincent:dennis:gabriel) 15-15]
bradley| I ll text them and see who is the closest to your house right now and can pick you up| [person:bradley m 0-0][person:they g(dennis:gabriel) 3-3][person:vincent m 11-11][location:house s 12-12][person:vincent m 18-18]
vincent| Great let them know we will be stopping to grab a quick bite to eat before the movie| [person:they g(dennis:gabriel) 2-2][person:we g(bradley:vincent:dennis:gabriel) 4-4]
bradley| Dennis is already almost at the theater so Gabriel will be there to pick you up in about 10 minutes| [person:dennis m 0-0][location:theater s 6-6][person:gabriel m 8-8][location:house s 11-11][person:vincent m 14-14]
vincent| Okay does he know we need to stop and get food first I m pretty hungry and don t think I can wait until the movie is over| [person:gabriel m 2-2][person:we g(bradley:vincent:dennis:gabriel) 4-4][person:vincent m 12-12][person:vincent m 20-20]
