conv:people_chats_0520_54:aug_0:chat_0:chataug_0| edgar juan| [person:edgar m 0-0][person:juan m 1-1]
hank| Once we re done on the mountain we can hang out in the ski lodge and get some hot chocolate How does that sound| [person:we g(hank:marcus:bonny:shannon) 1-1][location:mountain s 6-6][person:we g(hank:marcus:bonny:shannon) 7-7]
marcus| All of that sounds awesome How does the weather look|
hank| It s supposed to be sunny and cold perfect for our trip| [person:we g(hank:marcus:bonny:shannon) 10-10]
marcus| I ll pick you up in my truck on Friday morning and then we ll grab Shannon and Bonny before heading to the cabin| [person:marcus m 0-0][person:shannon m 3-3][person:marcus m 6-6][person:we g(hank:marcus:bonny:shannon) 13-13][person:shannon m 16-16][person:bonny m 18-18]

conv:people_chats_0520_178:aug_0:chat_0:chataug_0| adam john| [person:adam m 0-0][person:john m 1-1]
adam| hey john boy| [person:john m 1-1]
john| whats up adam| [person:adam m 2-2]
adam| I will be going on a date with rita this weekend| [person:adam m 0-0][person:rita f 8-8]
john| what are you going to do| [person:date g(adam:rita) 2-2]
adam| we are going horse riding but I am really nervous| [person:date g(adam:rita) 0-0][person:adam m 6-6]
john| dont be such a wuss and just watch some online videos|
adam| oh wow thank for the advice you dont like horses since you got christopher reevesed| [person:john m 6-6][person:john m 11-11][person:christopher m 13-13]
john| well jane and I went and I did a great job| [person:jane f 1-1][person:john m 3-3][person:john m 6-6]
adam| should I make up an excuse to get out of it| [person:adam m 1-1]
john| not if you want that poonani| [person:adam m 2-2]

conv:people_chats_0520_179:aug_0:chat_0:chataug_0| rylie troy| [person:rylie f 0-0][person:troy m 1-1]
rylie| Hello my parents Jane and Austin are going to hawaii in two weeks wanna come| [person:parents g() 2-2][person:jane f 3-3][person:austin m 5-5][location:hawaii s 9-9]
troy| I would love to come Thank you for the invite| [person:troy m 0-0][person:rylie f 6-6]
rylie| I really want to go myself but I am not sure if I can because I have work I have to see if I can get off work for it| [person:rylie f 0-0][person:rylie f 5-5][person:rylie f 7-7][person:rylie f 12-12][person:rylie f 15-15][person:rylie f 18-18][person:rylie f 23-23]
troy| Ah thats Ok We can go next time if you can not get off work what do you think the chances are though| [person:we g(rylie:troy) 3-3][person:rylie f 9-9][person:rylie f 17-17]
rylie| I am not sure should I pretend that I am sick| [person:rylie f 0-0][person:rylie f 5-5][person:rylie f 8-8]
troy| Its definitely worth a shot at the moment especially with coronavirus I am sure that they do not want you coming in with it| [person:troy m 11-11][person:parents g(jane:austin) 15-15][person:rylie f 19-19]
rylie| Ok I might do that what else can I do| [person:rylie f 1-1][person:rylie f 8-8]
troy| You could just be honest and see how it goes| [person:rylie f 0-0]
rylie| That would never work My boss is evil| [person:rylie f 4-4]
troy| Oh yeah I forgot What about using vacation time| [person:troy m 2-2]
rylie| We do not even have vacation time at my job| [person:we g(rylie:troy) 0-0][person:rylie f 8-8]
troy| Ah well try to pretend you are sick and let me know what happens Goodbye| [person:rylie f 5-5][person:troy m 10-10]

conv:people_chats_0520_180:aug_0:chat_0:chataug_0| ashley kim| [person:ashley f 0-0][person:kim f 1-1]
ashley| Hey girl What s up| [person:kim f 1-1]
kim| Hi Nothing just waiting for this school day to be over| [location:school s 6-6]
ashley| I hear ya It s been a long day for me too| [person:ashley f 0-0][person:kim f 2-2][person:ashley f 10-10]
kim| So we re still meeting up with Dustin and Greg for the football game tonigh right| [person:we g(ashley:kim) 1-1][person:dustin m 7-7][person:greg m 9-9]
ashley| I ran into Dustin in the hallway before 7th period He can t make it| [person:ashley f 0-0][person:dustin m 3-3][person:dustin m 10-10]
kim| That s too bad Did he say why| [person:dustin m 5-5]
ashley| He has a dentist appointment after school| [person:dustin m 0-0][location:school s 6-6]
kim| That s disappointing But I m excited to support our team GO CATS| [person:kim f 4-4][person:we g(ashley:kim) 9-9][person:kim_and_ashley_s_sport_team_cats g(ashley:kim) 10-10]
ashley| LOL|
ashley| Greg s going to be late so he s just going to join us at the game| [person:greg m 0-0][person:greg m 7-7][person:we g(ashley:kim) 13-13]
kim| Piano practice|
ashley| Yeah he said he had to practice for the music recital| [person:greg m 1-1][person:greg m 3-3]
kim| So I guess it ll just you and me| [person:kim f 1-1][person:ashley f 6-6][person:kim f 8-8]
ashley| Yep I ll meet you in the square after school| [person:ashley f 1-1][person:kim f 4-4][location:square s 7-7][location:school s 9-9]
kim| Sounds good I ll see you soon| [person:kim f 2-2][person:ashley f 5-5]
ashley| Remember to wear your jersey| [person:kim f 3-3]
kim| Girl you know I m on top of it| [person:ashley f 1-1][person:kim f 3-3]

conv:people_chats_0520_181:aug_0:chat_0:chataug_0| dwayne luis| [person:dwayne m 0-0][person:luis m 1-1]
dwayne| Hello|
luis| Hey there man|
luis| So I was thinking about that cooking class we saw an ad for| [person:luis m 1-1][person:we g(dwayne:luis) 8-8]
dwayne| OH ya man that looks fun im down|
luis| Would be great to get Deborah and Julie along too| [person:deborah f 5-5][person:julie f 7-7]
dwayne| Definitely sounds fun although Im not sure if they like cooking| [person:they g(deborah:julie) 8-8]
luis| I think they would enjoy spending time with us so they seem open to trying a class| [person:luis m 0-0][person:they g(deborah:julie) 2-2][person:we g(dwayne:luis) 8-8][person:they g(deborah:julie) 10-10]
dwayne| We should maybe get them excited to take a class with us| [person:we g(dwayne:luis) 0-0][person:they g(deborah:julie) 4-4][person:we g(dwayne:luis) 11-11]
luis| Lets take them out to lunch after the class| [person:they g(deborah:julie) 2-2]
dwayne| Sounds great How about we try this Friday| [person:we g(dwayne:luis) 4-4]
luis| Im available Ill go ahead and call them| [person:they g(deborah:julie) 7-7]
dwayne| Oh also before u go I was thinking maybe we carpool| [person:luis m 3-3][person:dwayne m 5-5][person:we g(dwayne:luis) 9-9]
luis| Yes of course|

conv:people_chats_0520_182:aug_0:chat_0:chataug_0| august sonya| [person:august f 0-0][person:sonya f 1-1]
august| Hey Sonya Still meeting up tonight for dinner| [person:sonya f 1-1]
sonya| Yes I m excited Do you have anything in mind for us to cook| [person:sonya f 1-1][person:august f 5-5][person:us g(august:sonya) 11-11]
august| I think we should cook spaghetti I ve been craving it| [person:august f 0-0][person:us g(august:sonya) 2-2][person:august f 6-6]
sonya| That sounds delicious but Vilm and Mercy don t like spaghetti sadly| [person:mercy f 6-6]
august| Oh no that s unfortunate|
sonya| We should cook something that can accommodate them Do you have any other suggestions| [person:us g(august:sonya) 0-0][person:them g(mercy) 7-7][person:august f 9-9]
august| Maybe we should eat out instead What do you think This way Vilma and Mercy can have various food options| [person:us g(august:sonya) 1-1][person:sonya f 8-8][person:vilma f 12-12][person:mercy f 14-14]
sonya| That s a great idea Let me text them right now about the new plans| [person:sonya f 6-6][person:them g(mercy:vilma) 8-8]
august| Okay Let me know what they say| [person:august f 2-2][person:them g(mercy:vilma) 5-5]
sonya| Mercy just replied and said she will think about it and let us know soon| [person:mercy f 0-0][person:mercy f 5-5][person:us g(august:sonya) 12-12]
august| Ok Keep me updated| [person:august f 2-2]
sonya| Will do|

conv:people_chats_0520_183:aug_0:chat_0:chataug_0| nina rubi| [person:nina f 0-0][person:rubi f 1-1]
rubi| Hey have you thought about the kind of phone you want| [person:nina f 2-2][person:nina f 9-9]
nina| Yeah I m leaning towards getting an Android| [person:nina f 1-1]
rubi| Really I m leaning towards Apple phone| [person:rubi f 1-1]
rubi| Remember Sammy and Mike They both have Apple phones| [person:sammy m 1-1][person:mike m 3-3][person:they g(sammy:mike) 4-4]
rubi| They ve always loved their phones because they don t have hardly any problems| [person:they g(sammy:mike) 0-0][person:their g(sammy:mike) 4-4][person:they g(sammy:mike) 7-7]
nina| Yeah I see your point| [person:nina f 1-1][person:rubi f 3-3]
nina| II don t know I m still thinking I want an Android| [person:nina f 4-4][person:nina f 8-8]
rubi| Let me send you a screenshot of the price differences| [person:rubi f 1-1][person:nina f 3-3]
rubi| Maybe it will change your mind| [person:nina f 4-4]
nina| I see the picture thanks for sending that| [person:nina f 0-0]
nina| I don t know I m still debating which phone to get| [person:nina f 0-0][person:nina f 4-4]

conv:people_chats_0520_184:aug_0:chat_0:chataug_0| cindy karina| [person:cindy f 0-0][person:karina f 1-1]
cindy| Karina are you there| [person:karina f 0-0][person:karina f 2-2]
karina| Yeah I ve been waiting for you what s up| [person:karina f 1-1][person:cindy f 6-6]
cindy| I m so sorry I m running late Thomas was supposed to come by and pick up Kayla but he s late| [person:cindy f 0-0][person:cindy f 4-4][person:thomas m 8-8][person:kayla f 17-17][person:thomas m 19-19]
karina| I m sorry not too surprising that he s running behind| [person:karina f 0-0][person:thomas m 7-7]
cindy| I know I apologize Thomas or Ramon as I nickname him he can be a lazy jerk| [person:cindy f 0-0][person:cindy f 2-2][person:thomas m 4-4][person:thomas m 6-6][person:cindy f 8-8][person:thomas m 10-10][person:thomas m 11-11]
karina| It s fine How s Kayla doing She keeping out of mischief| [person:kayla f 5-5][person:kayla f 7-7]
cindy| She s doing fine Laughing and giggling without a care in the world It ll be nice to have some time with the two of us friends though Need to get away once in a while| [person:kayla f 0-0][person:friends g(cindy:karina) 25-25][person:friends g(cindy:karina) 26-26]
karina| It sure will be Work s been a grind so some lady time with wine will be awesome|
cindy| You bet I m all for it| [person:karina f 0-0][person:cindy f 2-2]
karina| Do you know what time you ll be here by| [person:cindy f 1-1][person:cindy f 5-5]
cindy| Well once the baby s daddy gets here I have to stop at the store and grab some essentials then I ll be there right after| [person:cindy f 8-8][person:cindy f 20-20]
karina| No problem I ll be waiting See you soon Cindy| [person:karina f 2-2][person:cindy f 7-7][person:cindy f 9-9]

conv:people_chats_0520_185:aug_0:chat_0:chataug_0| harvey khalil| [person:harvey m 0-0][person:khalil m 1-1]
khalil| Hey man it s a great idea to involve Sara and Cathy They know the neighborhood inside and out| [person:sara f 9-9][person:cathy f 11-11][person:they g(cathy:sara) 12-12]
harvey| Yeah man I heard they re going to be invited 300 more people| [person:harvey m 2-2][person:they g(cathy:sara) 4-4]
harvey| They re buying a bunch of speakers and hiring a DJ too| [person:they g(cathy:sara) 0-0]
khalil| Dude that s awesome I m glad we involved them| [person:khalil m 4-4][person:they g(cathy:sara) 7-7][person:they g(cathy:sara) 9-9]
khalil| Otherwise there would only be like 10 people in this thing|
harvey| What type of food do we need| [person:they g(cathy:sara) 5-5]
khalil| Cathy told me we need to have a 23 barbeques| [person:cathy f 0-0][person:khalil m 2-2][person:they g(cathy:sara) 3-3]
khalil| Grilled chicken cheeseburgers hotdogs and so on will be needed|
harvey| Bro that s going to cost a lot|
khalil| I got money to blow so it s fine| [person:khalil m 0-0]
harvey| You re right we all deserve to have a good time| [person:khalil m 0-0][person:they g(cathy:sara) 3-3]

conv:people_chats_0520_186:aug_0:chat_0:chataug_0| lilly sheila| [person:lilly f 0-0][person:sheila f 1-1]
lilly| Hey Sheila| [person:sheila f 1-1]
sheila| Hey Lily| [person:lilly f 1-1]
sheila| Whats going on with you| [person:lilly f 4-4]
lilly| Nothing much Wbu|
sheila| same here|
lilly| I will be stopping in town next month if you want to meet| [person:lilly f 0-0][location:town s 5-5][person:sheila f 9-9]
sheila| Damm I have travel arrangements with my husband toby| [person:sheila f 1-1][person:sheila f 6-6][person:toby m 7-7][person:toby m 8-8]
lilly| Come with us to play golf with me adn my husband| [person:lilly_and_her_husband g(lilly) 2-2][person:lilly f 7-7][person:lilly f 9-9][person:lilly_s_husband m 10-10]
sheila| Let me ask my husband brandon if he wants to| [person:sheila f 1-1][person:sheila f 3-3][person:brandon m 4-4][person:brandon m 5-5][person:brandon m 7-7]
lilly| OK let me know thx| [person:lilly f 2-2]
lilly| ok thanks ttyl|
sheila| ttyl bye|
sheila| Also I dont know if Brandon enjoys playing golf| [person:sheila f 1-1][person:brandon m 5-5]
lilly| I truly understand your situation Let me know if he does I really want to meet you| [person:lilly f 0-0][person:sheila f 3-3][person:lilly f 6-6][person:brandon m 9-9][person:lilly f 11-11][person:sheila f 16-16]
sheila| same here|

conv:people_chats_0520_187:aug_0:chat_0:chataug_0| lilly sheila| [person:lilly f 0-0][person:sheila f 1-1]
lilly| Hey I am planning on visiting your town next month| [person:lilly f 1-1][person:sheila f 6-6][location:town s 7-7]
sheila| No way Toby and I also have travel plans next month| [person:toby m 2-2][person:sheila f 4-4]
lilly| What a coincidence You and Toby should come visit Brandon and I if you have time| [person:sheila f 3-3][person:toby m 5-5][person:brandon m 9-9][person:lilly f 11-11][person:sheila f 13-13]
