conv:people_0909_1734_1:aug_0:chat_0:chataug_0| christine eva| [person:christine f 0-0][person:eva f 1-1]
lara| Why don t we do dinner instead I can make some awesome tacos| [person:we g(brandon:lara) 3-3][location:dinner s 5-5][person:lara f 7-7]
brandon| I really wanted to see George and Patricia though| [person:brandon m 0-0][person:george m 5-5][person:patricia f 7-7]
lara| Well maybe we could compromise and do both| [person:we g(brandon:lara) 2-2]
brandon| That sounds like a plan|
lara| How about we have dinner with Patricia and George over and then hit the bar| [person:we g(brandon:lara) 2-2][location:dinner s 4-4][person:patricia f 6-6][person:george m 8-8][location:bar s 14-14]
brandon| Wow that sounds like it would be fun| [location:bar s 4-4]
lara| Sure I can call them and invite them over first| [person:lara f 1-1][person:them g(george:patricia) 4-4][person:them g(george:patricia) 7-7]
brandon| Great I look forward to the evening| [person:brandon m 1-1]

conv:people_0917_2145_119:aug_0:chat_0:chataug_0| catherine christopher| [person:catherine f 0-0][person:christopher m 1-1]
christopher| Hey what are you planning on doing this weekend| [person:catherine f 3-3]
catherine| Emma s having a party Saturday You should come with me| [person:emma f 0-0][location:party s 4-4][person:christopher m 6-6][person:catherine f 10-10]
christopher| Maybe who else is going|
catherine| Brenda s going to be there And I m pretty sure Jon and George are going| [person:brenda f 0-0][location:party s 5-5][person:catherine f 7-7][person:jon m 11-11][person:george m 13-13][location:party s 15-15]
christopher| I m not so sure I want to hang out with Jon Remember| [person:christopher m 0-0][person:christopher m 5-5][person:jon m 11-11]
catherine| Oh yeah sorry But you don t have to hang out with him There will be so many other people| [person:christopher m 4-4][person:jon m 12-12]
christopher| Yeah I wonder if Jon s friend Peter will be there The last time I saw those guys Peter was pretty cool| [person:christopher m 1-1][person:jon m 4-4][person:peter m 6-6][person:peter m 7-7][location:party s 10-10][person:christopher m 14-14][person:peter m 18-18]
catherine| I do think Peter is going to be there I hadn t mentioned him because I didn t know that you had met him before He is pretty cool| [person:catherine f 0-0][person:peter m 3-3][person:catherine f 9-9][person:peter m 13-13][person:catherine f 15-15][person:christopher m 20-20][person:peter m 23-23][person:peter m 25-25]
christopher| I guess I ll go I don t have anything else to anyway| [person:christopher m 0-0][person:christopher m 2-2][location:party s 4-4][person:christopher m 5-5]
catherine| Yay I ll tell Emma that you re going to be there| [person:catherine f 1-1][person:emma f 4-4][person:christopher m 6-6][location:party s 11-11]

conv:people_0917_2145_121:aug_0:chat_0:chataug_0| matt monica| [person:matt m 0-0][person:monica f 1-1]
monica| Hey I missed the last lecture| [person:monica f 1-1]
matt| Oh that is not good|
monica| Can I copy your notes| [person:monica f 1-1][person:matt m 3-3]
matt| Yes sure you can| [person:monica f 2-2]
monica| Thanks a lot Matt| [person:matt m 3-3]
matt| I have to be honest though I did not listen good and the notes are bad| [person:matt m 0-0][person:matt m 6-6]
monica| Oh okay Maybe I won t ask then| [person:monica f 3-3]
matt| I was in the back of the class It was hard| [person:matt m 0-0][location:the_class s 6-7][location:the_class s 8-8]
monica| I think I will ask Ellen then| [person:monica f 0-0][person:monica f 2-2][person:ellen f 5-5]
matt| Yeah or Cheryl too| [person:cheryl f 2-2]

conv:people_0917_2145_124:aug_0:chat_0:chataug_0| brittany russell| [person:brittany f 0-0][person:russell m 1-1]
russell| Hi|
brittany| Hello|
russell| I am planning to do dinner for us this friday Whatvsay you| [person:russell m 0-0][person:us g(russell:brittany) 7-7][person:brittany f 11-11]
brittany| Wow This friday i have plans| [person:brittany f 3-3]
russell| Wow Which plan|
brittany| I plan to hit the bar with derek| [person:brittany f 0-0][location:bar s 5-5][person:derek m 7-7]
russell| Wow But we can do that after dinner| [person:us g(russell:brittany) 2-2]
brittany| Wow I will need to inquire first| [person:brittany f 1-1]
russell| Ok please do Invite derek and carolyn to my dinner date om friday then afterwards we will go to the bar togrther| [person:derek m 4-4][person:carolyn f 6-6][person:russell m 8-8][location:dinner s 9-9][person:we g(russell:brittany:derek:carolyn) 15-15][location:bar s 20-20]
brittany| Ok let me try| [person:brittany f 2-2]
russell| Please let me know what they say| [person:russell m 2-2][person:they g(derek:carolyn) 5-5]
brittany| No problem I will| [person:brittany f 2-2]
russell| Great See you then| [person:brittany f 2-2]
brittany| Ok|
brittany| Bye|

conv:people_0917_2145_125:aug_0:chat_0:chataug_0| alan tom| [person:alan m 0-0][person:tom m 1-1]
alan| Hi Tom How have you been| [person:tom m 1-1][person:tom m 4-4]
tom| Not bad Just been really busy with work How about you| [person:alan m 10-10]
alan| I ve been busy too with work Last night I found out that Christopher split up with Abigail| [person:alan m 0-0][person:alan m 9-9][person:christopher m 13-13][person:abigail f 17-17]
tom| That s his girlfriend that he said he was going to marry| [person:christopher m 2-2][person:abigail f 3-3][person:christopher m 5-5][person:christopher m 7-7]
alan| Yes That s the one|
tom| That sucks What happened|
alan| Not really sure I just heard that haven t been getting along recently| [person:alan m 3-3]
tom| Now I did see them at the pub by school fighting over dinner two weeks ago| [person:tom m 1-1][person:them g(christopher:abigail) 4-4][location:school s 9-9]
alan| I believe it I heard they ve been fighting in public a lot They just can t control their anger| [person:alan m 0-0][person:alan m 3-3][person:them g(christopher:abigail) 5-5][person:them g(christopher:abigail) 13-13][person:them g(christopher:abigail) 18-18]
tom| Not everything works out|
alan| Maybe we should invite Chris out for a drink He could use some cheering up| [person:we g(alan:tom) 1-1][person:christopher m 4-4][person:christopher m 9-9]
tom| Sounds great I am free next weekend| [person:tom m 2-2]

conv:people_0917_2145_126:aug_0:chat_0:chataug_0| beverly natalie| [person:beverly f 0-0][person:natalie f 1-1]
natalie| Hey How are you doing| [person:beverly f 3-3]
beverly| I good What about you| [person:beverly f 0-0][person:natalie f 4-4]
natalie| I good too Can you help me to take a course next semester| [person:natalie f 0-0][person:beverly f 4-4][person:natalie f 6-6][location:next_semester u 11-12]
beverly| Yeah of course Do you have any preference| [person:natalie f 4-4]
natalie| I think Geotechnical Engineering course is a good one| [person:natalie f 0-0][location:geotechnical_engineering s 2-3]
beverly| That s a good one It s Prof Veiler course right|
natalie| Yes But I heard that he is difficult to work with| [person:natalie f 2-2][person:prof__veiler m 5-5]
beverly| Oh George and Jill took a course by him last semester| [person:george m 1-1][person:jill f 3-3][person:prof__veiler m 8-8]
natalie| What did they say about him| [person:they g(george:jill) 2-2][person:prof__veiler m 5-5]
beverly| George like him but Jill thought the lecture notes were difficult to understand| [person:george m 0-0][person:prof__veiler m 2-2][person:jill f 4-4]
natalie| Oh okay Then I should contact them and hear about their opinions too| [person:natalie f 3-3][person:they g(george:jill) 6-6][person:they g(george:jill) 10-10]
beverly| Yeah that s a great idea|
natalie| See you then| [person:beverly f 1-1]
beverly| Bye|

conv:people_0917_2145_127:aug_0:chat_0:chataug_0| laura patricia| [person:laura f 0-0][person:patricia f 1-1]
laura| Yeah I m having trouble deciding my final course to take next semester| [person:laura f 1-1][person:laura f 6-6]
patricia| Didn t you say you needed the Geotechnical Engineering course| [person:laura f 2-2][person:laura f 4-4]
laura| Yeah I do But I m thinking I ll put it off until the next semester| [person:laura f 1-1][person:laura f 4-4][person:laura f 7-7]
patricia| Why is that I think you re at the perfect point for that class| [person:patricia f 3-3][person:laura f 5-5]
laura| I haven t heard good things about Professor Veiler I don t need any more drama in my life| [person:laura f 0-0][person:laura f 9-9][person:laura f 17-17]
patricia| I haven t had that professor yet so I m not sure But Wilson and Madison have both taken the course| [person:patricia f 0-0][person:patricia f 8-8][person:wilson m 13-13][person:madison f 15-15]
laura| What did they think of Veiler| [person:they g(wilson:madison) 2-2]
patricia| Wilson thought he was great But of course Geo Engineering is his major| [person:wilson m 0-0][person:wilson m 2-2][person:wilson m 11-11]
laura| What about Madison What did she think| [person:madison f 2-2][person:madison f 5-5]
patricia| She said something about the lecture notes being difficult to understand But I ve heard he is open to answering questions even if you stop by his office| [person:madison f 0-0][person:patricia f 12-12][person:veiler m 15-15][person:laura f 23-23][person:veiler m 26-26][location:office s 27-27]
laura| Maybe I ll get some more info from Madison before I make a decision| [person:laura f 1-1][person:madison f 8-8][person:laura f 10-10]
patricia| I think you should talk to Wilson too He might could help you with the class| [person:patricia f 0-0][person:laura f 2-2][person:wilson m 6-6][person:wilson m 8-8][person:laura f 12-12]
laura| That s true I did help him with Biochemistry last semester| [person:laura f 3-3][person:wilson m 6-6]
laura| Do you have their email addresses| [person:patricia f 1-1][person:their g(wilson:madison) 3-3]
patricia| You mean Wilson s and Madison s| [person:laura f 0-0][person:wilson m 2-2][person:madison f 5-5]
laura| Yeah I think I ll talk to them and see what they say Then I ll decide I know I have to take the class but I just want to take it at the best time| [person:laura f 1-1][person:laura f 3-3][person:their g(wilson:madison) 7-7][person:their g(wilson:madison) 11-11][person:laura f 14-14][person:laura f 17-17][person:laura f 19-19]
patricia| Yeah And Veiler is fairly new and not going anywhere so you ll have to deal with it sooner or later| [person:laura f 11-11]
patricia| Give me about 15 minutes and I ll text you their contact info I m getting ready to walk into the bank| [person:patricia f 1-1][person:patricia f 6-6][person:laura f 9-9][person:their g(wilson:madison) 10-10][person:patricia f 13-13][location:bank s 21-21]
laura| Okay No problem Thanks Patricia I really appreciate it| [person:patricia f 4-4][person:laura f 5-5]
patricia| You re welcome I ll talk to you in just a bit Bye| [person:laura f 0-0][person:patricia f 3-3][person:laura f 7-7]
laura| Bye|

conv:people_0917_2145_128:aug_0:chat_0:chataug_0| rachel sharon| [person:rachel f 0-0][person:sharon f 1-1]
sharon| Hey Rachel do you know one thing Yesterday Harold had a fight with our mom| [person:rachel f 1-1][person:rachel f 3-3][person:harold m 8-8][person:our g(sharon:rachel) 13-13][person:mom f 14-14]
rachel| Is it so what is the problem with him why did he fought with our mom| [person:harold m 8-8][person:harold m 11-11][person:our g(sharon:rachel) 14-14][person:mom f 15-15]
sharon| He wants to go for a play outside without eat anything from the morning| [person:harold m 0-0]
sharon| Mom was scolded him to eat and go in the evening But he refuses and he said that his friends will not come at evening| [person:mom f 0-0][person:harold m 3-3][person:harold m 12-12][person:harold m 15-15][person:harold m 18-18][person:friends g() 19-19]
rachel| Yes he is right he can play only when his friends are available| [person:harold m 1-1][person:harold m 4-4][person:harold m 9-9][person:friends g() 10-10]
sharon| But he had not ate anything so mom scolded him| [person:harold m 1-1][person:mom f 7-7][person:harold m 9-9]
rachel| Okay then what happened|
sharon| She locked him inside his room and had not allow him to go| [person:mom f 0-0][person:harold m 2-2][person:harold m 4-4][person:harold m 10-10]
rachel| This is not good as he will eat when he wants then why our mom is always very strict| [person:harold m 5-5][person:harold m 9-9][person:our g(sharon:rachel) 13-13][person:mom f 14-14]
rachel| Do one think you call our dad and tell about this and I will speak with Harold| [person:sharon f 3-3][person:our g(sharon:rachel) 5-5][person:dad m 6-6][person:rachel f 12-12][person:harold m 16-16]
sharon| Okay please speak to Harold as quick as possible| [person:harold m 4-4]

conv:people_1011_1528_1:aug_0:chat_0:chataug_0| judith martha| [person:judith f 0-0][person:martha f 1-1]
judith| We never should have done this We re going to get caught for sure| [location:we s 0-0][person:we g(judith:martha) 6-6]
martha| It didn t seem like a big deal at the time but fraud is pretty major| [location:it s 0-0]
judith| We need to get lawyers immediately| [location:we g() 0-0][location:lawyers s 4-4]
martha| OK If we get caught we ll need to have them ready to go| [location:we g() 2-2][person:we g(judith:martha) 5-5][person:them g() 10-10]
judith| I really like Allison| [location:i s 0-0][location:allison s 3-3]
martha| Really I ve always been more comfortable with Sharon| [person:martha f 1-1][location:sharon s 8-8]
judith| Allison is a criminal attorney She ll know exactly what to do| [person:allison f 0-0][person:allison f 5-5]
