conv:people_chats_04182020_468:aug_0:chat_0:chataug_0| evelyn ronnie| [person:evelyn f 0-0][person:ronnie m 1-1]
conv:people_chats_04182020_596:aug_0:chat_0:chataug_0| nadia ronnie| [person:nadia f 0-0][person:ronnie m 1-1]
nadia| Hello Ronnie how are you doing| [person:ronnie m 1-1][person:ronnie m 4-4]
ronnie| Hey Nadia I m good but little stressed| [person:nadia f 1-1][person:ronnie m 2-2]
nadia| What is the reason Is everything okay|
ronnie| It is like mom is losing her sight and dad s memory is failing At times he doesn t even know who is he| [person:ronnie_s_mom f 3-3][person:ronnie_s_mom f 6-6][person:ronnie_s_dad m 9-9][person:ronnie_s_dad m 16-16][person:ronnie_s_dad m 23-23]
nadia| sorry for asking you and making you feel sad| [person:ronnie m 3-3][person:ronnie m 6-6]
ronnie| That s okay tell me how are you doing| [person:ronnie m 4-4][person:nadia f 7-7]
nadia| I m good Ronnie thanks for asking Why can t you put them in home| [person:nadia f 0-0][person:ronnie m 3-3][person:ronnie m 10-10][person:them g() 12-12][location:home s 14-14]
ronnie| I thought of doing it but my siblings are opposed| [person:ronnie m 0-0][person:ronnie m 6-6]
nadia| Okay take care of you and your family Everything will be alright soon| [person:ronnie m 4-4][person:ronnie m 6-6][person:them g() 7-7]
ronnie| Thank you for your concern and Yeah I shall take care of them| [person:nadia f 1-1][person:nadia f 3-3][person:ronnie m 7-7][person:them g() 12-12]

conv:people_chats_04182020_597:aug_0:chat_0:chataug_0| katherine rebecca| [person:katherine f 0-0][person:rebecca f 1-1]
katherine| Rebecca I m afraid that we might get caught for committing the fraud| [person:rebecca f 0-0][person:katherine f 1-1][person:we g(katherine:rebecca) 5-5]
rebecca| Yeah I m afraid too but what can we do in order to be safe| [person:rebecca f 1-1][person:we g(katherine:rebecca) 8-8]
katherine| We can consult a lawyer to be safe| [person:we g(katherine:rebecca) 0-0][person:lawyer u 4-4]
rebecca| Okay l know a lawyer Anne I think she can help us with this problem| [person:lawyer u 4-4][person:anne f 5-5][person:rebecca f 6-6][person:anne f 8-8][person:we g(katherine:rebecca) 11-11]
katherine| Okay but how much will this cost us I know a lawyer Katy she is good and affordable| [person:we g(katherine:rebecca) 7-7][person:katherine f 8-8][person:lawyer u 11-11][person:katy f 12-12][person:katy f 13-13]
rebecca| Will she be able to help us in this case if things get bad| [person:katy f 1-1][person:we g(katherine:rebecca) 6-6]
katherine| Yeah she handled cases like this before I m pretty sure she ll get us out of this mess| [person:katy f 1-1][person:katherine f 7-7][person:katy f 11-11][person:we g(katherine:rebecca) 14-14]
rebecca| Okay then fix a meeting with Katy and brief her everything about the case| [person:katy f 6-6][person:katy f 9-9]
katherine| I ll do it as soon as possible and I think you should meet her too| [person:katherine f 0-0][person:katherine f 9-9][person:rebecca f 11-11][person:katy f 14-14]
rebecca| Okay you fixing a meeting with her first and then we will both talk to her| [person:katherine f 1-1][person:katy f 6-6][person:we g(katherine:rebecca) 10-10][person:katy f 15-15]

conv:people_chats_04182020_600:aug_0:chat_0:chataug_0| lara walt| [person:lara f 0-0][person:walt m 1-1]
lara| Hey Walt Are you done with all the arrangements for our anniversary party Listen I want this party to be a good memory in the future So please don t compromise on anything| [person:walt m 1-1][person:walt m 3-3][person:our g(lara:walt) 10-10][person:lara f 14-14]
walt| Sure Honey I heard some of the politicians from your family side are also attending this event So I will not compromise on anything For me Pride is more important than anything All the arrangements were done apart from DJ| [person:walt m 2-2][person:lara f 9-9][person:family g() 10-10][person:walt m 18-18][person:walt m 25-25]
lara| Why What happened to DJ Do you want any good recommendations for selecting DJ| [person:walt m 6-6]
walt| Do you remember DJ Greg and DJ Jim in one of the pub that we have visited recently I really enjoyed that day They both are in my mind What do you think| [person:lara f 1-1][person:greg m 4-4][person:jim m 7-7][person:our g(lara:walt) 14-14][person:walt m 18-18][person:they g(greg:jim) 23-23][person:walt m 27-27]
lara| How come a Pub DJ be suitable for the family event Please make some sense while sharing anything| [person:family g() 9-9]
walt| Honey I also looked at their YouTube channel the same night They are just brilliant with their tracks Please look at this videos you will understand their talent| [person:walt m 1-1][person:they g(greg:jim) 5-5][person:they g(greg:jim) 11-11][person:they g(greg:jim) 16-16][person:lara f 23-23][person:they g(greg:jim) 26-26]
lara| Wow I really misunderstood them These guys are amazing But we require only one DJ How do we select| [person:lara f 1-1][person:they g(greg:jim) 4-4][person:our g(lara:walt) 10-10][person:our g(lara:walt) 17-17]
walt| I like Bollywood songs more than English hits and Trust me DJ Jim is perfect for Bollywood items He has a really cool collection of music| [person:walt m 0-0][person:walt m 10-10][person:jim m 12-12][person:jim m 18-18]
lara| Even I m thinking the same If you consider English hits then it gives a pub vibe and I don t that to be happened Since we are organizing on high priority let s just go with Bollywood items| [person:lara f 1-1][person:walt m 7-7][person:lara f 18-18][person:our g(lara:walt) 26-26]
walt| Thanks for giving me the clarity We will Fix DJ Jim for this event Wait Let me call the event organizer and confirm the same with him| [person:walt m 3-3][person:our g(lara:walt) 6-6][person:jim m 10-10][person:walt m 16-16][person:event_organizer m 26-26]

conv:people_chats_04182020_601:aug_0:chat_0:chataug_0| mary noah| [person:mary f 0-0][person:noah m 1-1]
mary| Hey Noah What are you planning to buy for Luke this Christmas| [person:noah m 1-1][person:noah m 4-4][person:luke m 9-9]
noah| I want to buy him candies and chocolate for Christmas He loves them| [person:noah m 0-0][person:luke m 4-4][person:luke m 10-10]
mary| He has enough of it and chocolates are unhealthy for a child| [person:luke m 0-0]
noah| Then what do you suggest I should get him| [person:mary f 3-3][person:noah m 5-5][person:luke m 8-8]
mary| Why don t you look for a new winter jacket for him| [person:noah m 3-3][person:luke m 11-11]
noah| Alright that s a good idea I ll buy him that| [person:noah m 6-6][person:luke m 9-9]
mary| Yeah that s a better gift than candies and chocolates|
noah| I will look for the Amelie because she knows what to recommend for a child| [person:noah m 0-0][person:amelie f 5-5][person:amelie f 7-7]
mary| Yes I love her recommendations She will pick a nice jacket for him| [person:mary f 1-1][person:amelie f 3-3][person:amelie f 5-5][person:luke m 12-12]
noah| Yeah Luke will definitely like it| [person:luke m 1-1]

conv:people_chats_04182020_602:aug_0:chat_0:chataug_0| anne luara| [person:anne f 0-0][person:luara f 1-1]
luara| Tomorrow it is Friday and I m ready to swing What about you chubby| [person:luara f 5-5][person:anne f 12-12]
anne| Hi yummy mummy Pick up my girls and hit the party scene Is that what you gonna say next baby| [person:anne f 5-5][person:girls g() 6-6][person:luara f 15-15]
luara| Super excited Are we seriously doing this all out fun Oh my God I can t hold my tears| [person:we g(luara:anne) 3-3][person:luara f 11-11][person:luara f 13-13][person:luara f 17-17]
anne| Darling time to be flappers I have got the menu ready in my mind| [person:anne f 5-5][person:anne f 12-12]
luara| Bitches rules the night honey Just one problem Peggy that perennially grumpy mamasan| [person:peggy f 8-8]
anne| Got her covered babes Guess what who is arranging the beers and pizza It s Peggy idiot| [person:peggy f 1-1][person:peggy f 15-15]
luara| Shut up Are u kidding That soccer mom got agreed to obey all the rules| [person:anne f 3-3][person:peggy f 7-7]
anne| If you obey all the rules you miss all the fun Here every rule is ours babes Going to chill listening to Beyonce with Peggy| [person:luara f 1-1][person:luara f 6-6][person:ours g(luara:anne) 15-15][person:peggy f 24-24]
luara| I can t wait to have my claws scratching Peggy s face Kitty is hungry for some action Catch you tomorrow baby| [person:luara f 0-0][person:luara f 6-6][person:peggy f 9-9][person:anne f 19-19]
anne| I bet you do Will see you at my penthouse Don t be late| [person:anne f 0-0][person:luara f 2-2][person:luara f 6-6][person:anne f 8-8]

conv:people_chats_04182020_605:aug_0:chat_0:chataug_0| jessica roy| [person:jessica f 0-0][person:roy m 1-1]
roy| Jessica I have some exciting news| [person:jessica f 0-0][person:roy m 1-1]
jessica| Tell me then Roy I m all ears| [person:jessica f 1-1][person:roy m 3-3][person:jessica f 4-4]
roy| Aunt Denise just texted Tracey She said she will take us all shopping at 4 for the new school year| [person:aunt_denise f 0-0][person:aunt_denise f 1-1][person:aunt_denise f 5-5][person:aunt_denise f 7-7][person:us g(roy:jessica) 10-10][location:school s 18-18]
jessica| That s amazing It s going to be so much fun|
roy| Yes Shopping with aunt Denise never fails to be memorable| [person:aunt_denise f 3-3][person:aunt_denise f 4-4]
jessica| You re right She takes us to watch a nice movie after shopping| [person:roy m 0-0][person:aunt_denise f 3-3][person:us g(roy:jessica) 5-5]
roy| After that she gets us our favorite icecream| [person:aunt_denise f 2-2][person:us g(roy:jessica) 4-4][person:our g(roy:jessica) 5-5]
jessica| Yeah Chocolate for Tracey and strawberry for both of us| [person:us g(roy:jessica) 9-9]
roy| We ll have a great time with her today too| [person:we g(roy:jessica) 0-0][person:aunt_denise f 7-7]
jessica| Let s get ready we need to leave at 4| [person:we g(roy:jessica) 4-4]

conv:people_chats_04182020_606:aug_0:chat_0:chataug_0| bill tara| [person:bill m 0-0][person:tara f 1-1]
bill| Hi Tara are you aware of our plan for this weekend| [person:tara f 1-1][person:tara f 3-3][person:our g(bill:tara) 6-6]
tara| Hello I do remember we planned on carpooling to a concert| [person:tara f 1-1][person:we g(bill:tara) 4-4]
bill| Do we have anybody to join us| [person:we g(bill:tara) 1-1][person:us g(bill:tara) 6-6]
tara| Yes we have my classmates Rusell and Gregory to join us| [person:we g(bill:tara) 1-1][person:tara f 3-3][person:classmates g() 4-4][person:rusell m 5-5][person:gregory m 7-7][person:us g(bill:tara) 10-10]
bill| Wow That s good to hear We can have fun with them| [person:we g(bill:tara) 6-6][person:them g(rusell:gregory) 11-11]
tara| Cool pick me early so that we can meet up with the boys while waiting in line| [person:tara f 2-2][person:we g(bill:tara) 6-6][person:boys g(rusell:gregory) 12-12]
bill| Okay I will call you before I leave| [person:bill m 1-1][person:tara f 4-4][person:bill m 6-6]
tara| And ask them where are our seats| [person:them g() 2-2][person:our g(bill:tara) 5-5]
bill| Okay I will ask them and let you know| [person:bill m 1-1][person:them g(rusell:gregory) 4-4][person:tara f 7-7]
tara| Okay meet you soon bye| [person:bill m 2-2]

conv:people_chats_04182020_607:aug_0:chat_0:chataug_0| terry tiffany| [person:terry m 0-0][person:tiffany f 1-1]
tiffany| Terry Do you know any good restaurants for our dinner tonight| [person:terry m 0-0][person:terry m 2-2][location:restaurants g() 6-6][person:our g(tiffany:terry) 8-8]
terry| I know a great Italian restaurant near your place| [person:terry m 0-0][location:restaurant s 5-5][person:tiffany f 7-7][location:place s 8-8]
tiffany| That s great even my friends Cathy and Abigail like Italian food| [person:tiffany f 4-4][person:cathy f 6-6][person:abigail f 8-8]
terry| There s one problem though I need you to drop me off at my place after dinner| [person:terry m 5-5][person:tiffany f 7-7][person:terry m 10-10][person:terry m 13-13][location:place s 14-14]
tiffany| Won t you be joining us for the movie| [person:terry m 2-2][person:us g(tiffany:cathy:abigail) 5-5]
terry| No I have some pending work to do| [person:terry m 1-1]
tiffany| Alright then I will drop you off at your house on my way to the movie theater| [person:tiffany f 2-2][person:terry m 5-5][person:terry m 8-8][person:tiffany f 11-11]
terry| Fine I ll reserve a table for four of us then| [person:terry m 1-1][person:us g(tiffany:cathy:abigail) 9-9]
tiffany| Okay but do it soon so that I can inform Cathy and Abigail| [person:tiffany f 7-7][person:cathy f 10-10][person:abigail f 12-12]
terry| Yeah see you at the restaurant then| [person:tiffany f 2-2][location:restaurant s 5-5]

conv:people_chats_04182020_608:aug_0:chat_0:chataug_0| julie kenny| [person:julie f 0-0][person:kenny m 1-1]
kenny| Hey Julie Are you free now| [person:julie f 1-1][person:julie f 3-3]
julie| Hi Kenny Why Do you have anything in mind| [person:kenny m 1-1][person:kenny m 4-4]
kenny| I m going downtown to get some drinks Would you like to join me| [person:kenny m 0-0][location:downtown s 3-3][person:julie f 9-9][person:kenny m 13-13]
julie| That sounds like a cool plan Yeah count me in| [person:julie f 8-8]
