conv:people_2019082201_262:aug_0:chat_0:chataug_0| abigail lara| [person:abigail f 0-0][person:lara f 1-1]
eduardo| Yes I ll tell them Beer is a must| [person:eduardo m 1-1][person:them g(bryan:ronald:gabriel) 4-4]
eduardo| I ll call you later to confirm details| [person:eduardo m 0-0][person:clyde m 3-3]

conv:people_2019090101_22:aug_0:chat_0:chataug_0| caroline melissa| [person:caroline f 0-0][person:melissa f 1-1]
caroline| Hey Melissa how s it going| [person:melissa f 1-1]
melissa| Pretty good Caroline how are you| [person:caroline f 2-2][person:caroline f 5-5]
caroline| I m great I have a quick favor to ask though| [person:melissa f 0-0][person:melissa f 3-3]
melissa| Yeah sure what s up|
caroline| My friend Anna is visiting but I can t pick her up| [person:melissa f 0-0][person:anna f 1-1][person:anna f 2-2][person:caroline f 6-6][person:anna f 10-10]
caroline| I was wondering if you could you possibly pick her up from the mall| [person:caroline f 0-0][person:melissa f 4-4][person:melissa f 6-6][person:anna f 9-9][location:mall s 13-13]
melissa| Well it depends on what time|
caroline| I think she comes around 500 pm| [person:caroline f 0-0][person:anna f 2-2]
melissa| Oh I wouldn t be able to do it| [person:melissa f 1-1]
melissa| I have a meeting with my friend Tony at that same time| [person:melissa f 0-0][person:melissa f 5-5][person:tony m 6-6][person:tony m 7-7]
caroline| Oh shucks Is there anyway you think you could reschedule your meeting with Tony| [person:melissa f 5-5][person:melissa f 7-7][person:melissa f 10-10][person:tony m 13-13]
melissa| I m sorry I can t We have a project due after the meeting| [person:melissa f 0-0][person:melissa f 3-3][person:we g(caroline:melissa) 6-6]
caroline| It s okay don t worry Catherine just texted me and agreed to pick her up Thanks though| [person:catherine f 6-6][person:caroline f 9-9][person:catherine f 14-14]

conv:people_2019090101_23:aug_0:chat_0:chataug_0| jordan phillip| [person:jordan m 0-0][person:phillip m 1-1]
jordan| Hey How are you| [person:phillip m 3-3]
phillip| I am fine What about you| [person:phillip m 0-0][person:jordan m 5-5]
jordan| Great Can we go for a movie| [person:we g(jordan:phillip) 2-2][location:movie s 6-6]
phillip| Yeah sure Who else are there|
jordan| Tommy and Mark will be there| [person:tommy m 0-0][person:mark m 2-2][location:movie s 5-5]
phillip| Good What kind of movie|
jordan| I like drama movies But Tommy and Mark like comedy movie| [person:jordan m 0-0][person:tommy m 5-5][person:mark m 7-7]
phillip| Okay When are you planning to go| [person:jordan m 3-3]
jordan| I prefer to go on this weekend What do you think| [person:jordan m 0-0][person:phillip m 9-9]
phillip| Saturday will be okay What about them| [person:them g(tommy:mark) 6-6]
jordan| I don t know I have to discuss with them| [person:jordan m 0-0][person:jordan m 4-4][person:them g(tommy:mark) 9-9]
phillip| Okay Discuss with them and let me know| [person:them g(tommy:mark) 3-3][person:phillip m 6-6]
phillip| See you later| [person:jordan m 1-1]
jordan| bye|

conv:people_2019090101_25:aug_0:chat_0:chataug_0| frank melissa| [person:frank m 0-0][person:melissa f 1-1]
melissa| Can you come to my show next week| [person:frank m 1-1][person:melissa f 4-4]
frank| I don t see why not When is it| [person:frank m 0-0][location:town s 8-8]
melissa| It s Friday at 7pm Steve will be in town also| [location:town s 0-0][person:steve m 5-5][location:town s 9-9]
frank| Awesome I ll be there| [person:frank m 1-1][location:town s 4-4]
melissa| Great I can t wait to see you| [person:melissa f 1-1][person:frank m 7-7]
frank| Oh I forgot Noah will be in town as well Can he come too| [person:frank m 1-1][person:noah m 3-3][location:town s 7-7][person:noah m 11-11]
melissa| He doesn t know anyone else I don t mind though| [person:noah m 0-0][person:anyone g(steve:noah) 4-4][person:melissa f 6-6]
frank| I think everyone will get along great with him| [person:frank m 0-0][person:everyone g(melissa:frank:steve:noah) 2-2][person:noah m 8-8]
melissa| I hope so See you next Friday| [person:melissa f 0-0][person:frank m 4-4]
frank| See you then Maybe we can get dinner beforehand| [person:melissa f 1-1][person:we g(melissa:frank) 4-4][location:dinner s 7-7]

conv:people_2019090101_26:aug_0:chat_0:chataug_0| johnny nathan| [person:johnny m 0-0][person:nathan m 1-1]
nathan| Hey how are you doing I ve been thinking about the best time for our get together| [person:johnny m 3-3][person:nathan m 5-5][person:our g(nathan:johnny) 14-14]
johnny| I can t really make a week night work is busy at the moment| [person:johnny m 0-0]
nathan| Let s make it a weekend maybe a Saturday|
johnny| Yeah that would be best I m usually free on Saturday s| [person:johnny m 5-5]
nathan| Did you want a few of us to get together| [person:johnny m 1-1][person:our g(nathan:johnny) 6-6]
johnny| Yeah I was thinking you and Deborah and Phillip could meet me| [person:johnny m 1-1][person:nathan m 4-4][person:deborah f 6-6][person:phillip m 8-8][person:johnny m 11-11]
nathan| I m sure they would love that but thinking about it Phillip works on Saturday| [person:nathan m 0-0][person:they g(deborah:phillip) 3-3][person:phillip m 11-11]
johnny| Do you think he would be free in the evening| [person:johnny m 1-1][person:phillip m 3-3]
nathan| He should be Let s make it maybe 7pm That would give him enough time to finish work| [person:phillip m 0-0][person:phillip m 12-12]
johnny| That sounds like a good idea I m looking forward to it| [person:johnny m 6-6]
nathan| Me too I ll send a group message and let everyone know what time I d like us to meet| [person:nathan m 0-0][person:nathan m 2-2][person:everyone g(deborah:phillip) 10-10][person:nathan m 14-14][person:our g(nathan:johnny) 17-17]

conv:people_2019090101_27:aug_0:chat_0:chataug_0| dwight martha| [person:dwight m 0-0][person:martha f 1-1]
martha| Are you excited about our neighbors coming over| [person:dwight m 1-1][person:our g(martha:dwight) 4-4][person:them g() 5-5]
dwight| Sort of I m not sure thought what Carol and Alexis like to do| [person:dwight m 2-2][person:carol f 8-8][person:alexis f 10-10]
martha| We can make dinner Something similar like grilled chicken| [person:our g(martha:dwight) 0-0]
dwight| Yeah that can work What should we do for entertainment| [person:our g(martha:dwight) 6-6]
martha| Movie night might be fun|
dwight| I think we should do something where we interact with them| [person:dwight m 0-0][person:our g(martha:dwight) 2-2][person:our g(martha:dwight) 7-7][person:them g(carol:alexis) 10-10]
martha| Maybe something like a game night|
dwight| We do have a few board games at home We have scrabble and monopoly| [person:our g(martha:dwight) 0-0][location:home s 8-8][person:our g(martha:dwight) 9-9]
martha| I know Carol really likes scrabble| [person:martha f 0-0][person:carol f 2-2]
dwight| We should play scrabble then And we don t need to buy anything else| [person:our g(martha:dwight) 0-0][person:our g(martha:dwight) 6-6]
martha| Okay scrabble it is|
dwight| And I ll buy the dinner stuff| [person:dwight m 1-1]

conv:people_2019090101_28:aug_0:chat_0:chataug_0| albert ellen| [person:albert m 0-0][person:ellen f 1-1]
ellen| I m excited about having Stella and Gloria over| [person:ellen f 0-0][person:stella f 5-5][person:gloria f 7-7]
albert| Me too I ve been wanting to get to know them better| [person:albert m 0-0][person:albert m 2-2][person:them g(stella:gloria) 10-10]
ellen| What should we do while they are here| [person:we g(ellen:albert:stella:gloria) 2-2][person:them g(stella:gloria) 5-5]
albert| I m not sure Couldn t we just have some snacks and visit| [person:albert m 0-0][person:we g(ellen:albert:stella:gloria) 6-6]
ellen| Maybe but since we don t know them well yet the conversation may lag I think it s better if we plan something| [person:we2 g(ellen:albert) 3-3][person:them g(stella:gloria) 7-7][person:ellen f 14-14][person:we2 g(ellen:albert) 20-20]
albert| We could play a game| [person:we g(ellen:albert:stella:gloria) 0-0]
ellen| That s a good idea What kind of game Cards|
albert| Cards could be good|
ellen| Yes but they also can be very competitive and it might not be the best choice| [person:them g(stella:gloria) 2-2]
albert| You have a point there Okay what about a board game| [person:ellen f 0-0]
ellen| We need to pick one that is more fun than competitive| [person:we2 g(ellen:albert) 0-0]
albert| How about pictionary That can be a lot of laughs and its a good ice breaker|
ellen| Perfect|

conv:people_2019090101_30:aug_0:chat_0:chataug_0| doug sharon| [person:doug m 0-0][person:sharon f 1-1]
doug| Hey Sharon you all ready to entertain Kathryn Ivan Carolyn and Eduardo tonight| [person:sharon f 1-1][person:sharon f 2-2][person:kathryn f 7-7][person:ivan m 8-8][person:carolyn f 9-9][person:eduardo m 11-11]
sharon| I ve been kind of stressing a bit about that actually| [person:sharon f 0-0]
doug| Oh yeah Why so|
sharon| I don t think that we re prepared for them to arrive We haven t set anything up yet| [person:sharon f 0-0][person:we g(doug:sharon) 5-5][person:them g(kathryn:ivan:carolyn:eduardo) 9-9][person:we g(doug:sharon) 12-12]
doug| Alright let s do that then what do you think we should do and also what should we eat| [person:sharon f 8-8][person:we g(doug:sharon) 10-10][person:we g(doug:sharon) 17-17]
sharon| I think board games are fun last time we had people over and we did that it was really fun| [person:sharon f 0-0][person:we g(doug:sharon) 8-8][person:we g(doug:sharon) 13-13][location:it g() 16-16]
doug| OK I ll bring the board games How about food I think you should order pizza| [person:doug m 1-1][person:doug m 10-10][person:sharon f 12-12]
sharon| Ah yes pizza sounds awesome I know that they all love it too| [person:sharon f 5-5][person:them g(kathryn:ivan:carolyn:eduardo) 8-8][location:it u 11-11]
doug| And at least clean up won t be so tough right|
sharon| Exactly Thanks for putting my mind at ease I guess I was just overthinking| [person:sharon f 4-4][person:sharon f 8-8][person:sharon f 10-10]
doug| No worries let s all wind down tonight See ya later|

conv:people_2019090101_31:aug_0:chat_0:chataug_0| eddie stanley| [person:eddie m 0-0][person:stanley m 1-1]
stanley| Are we still gonna watch the playoffs together| [person:we g(stanley:eddie) 1-1]
eddie| Yeah sounds good to me My house| [person:eddie m 4-4][person:eddie m 5-5][location:my_house s 6-6]
stanley| Sure Who else should we invite over| [person:we g(stanley:eddie) 4-4][location:my_house s 6-6]
eddie| I already told Adam and Dan so I should probably invite them| [person:eddie m 0-0][person:adam m 3-3][person:dan m 5-5][person:eddie m 7-7][person:them g(adam:dan) 11-11]
stanley| That s cool I like them What about Nicholas| [person:stanley m 3-3][person:them g(adam:dan) 5-5][person:nicholas m 8-8]
eddie| Yeah he s cool too You can call Nicholas and I ll call Adam and Dan| [person:nicholas m 1-1][person:stanley m 5-5][person:nicholas m 8-8][person:eddie m 10-10][person:adam m 13-13][person:dan m 15-15]
stanley| Okay What time are we meeting at your house on Saturday| [person:we g(stanley:eddie) 4-4][person:eddie m 7-7][location:my_house s 8-8]
eddie| Let s shoot for 7pm to be safe|
stanley| Awesome I ll bring the beer if you order some pizzas| [person:stanley m 1-1][person:eddie m 7-7]
eddie| Works for me I ll see you all Saturday| [person:eddie m 2-2][person:eddie m 3-3][person:stanley m 6-6]

conv:people_2019090101_32:aug_0:chat_0:chataug_0| kevin lisa| [person:kevin m 0-0][person:lisa f 1-1]
kevin| It would be great to go see Gabriel and Marilyn this summer| [person:gabriel m 7-7][person:marilyn f 9-9]
lisa| We should totally do it I ve always wanted to visit that area| [person:we g(kevin:lisa) 0-0][person:lisa f 5-5][location:that_area s 11-12]
kevin| Well let s do it then When should we go| [person:we g(kevin:lisa) 8-8]
lisa| July is best for me things are slower at work| [person:lisa f 4-4][location:work s 9-9]
kevin| Should we do Fourth of July It would be cool to see the fireworks there| [person:we g(kevin:lisa) 1-1][location:that_area s 14-14]
lisa| That s a great idea Let s do that|
kevin| Should we bring them a gift| [person:we g(kevin:lisa) 1-1][person:them g(gabriel:marilyn) 3-3]
lisa| We should Maybe something local from here that they can t get there| [person:we g(kevin:lisa) 0-0][location:here s 6-6][person:they g(gabriel:marilyn) 8-8][location:that_area s 12-12]
kevin| There s a great winery on the way maybe we could stop and pick up a few bottles| [location:winery s 4-4][person:we g(kevin:lisa) 9-9]
lisa| That would be perfect Good thinking|

conv:people_2019090101_33:aug_0:chat_0:chataug_0| donna nate| [person:donna f 0-0][person:nate m 1-1]
nate| Hey Donna We should go up to our cabin next weekend| [person:donna f 1-1][person:we g(nate:donna) 2-2][person:we g(nate:donna) 7-7]
donna| I would love to go to the cabin but I have meetings next weekend How about we go in 2 weeks| [person:donna f 0-0][person:donna f 9-9][person:we g(nate:donna) 16-16]
nate| Let me check my schedule In two weeks I am going to be out of town How about in three week the 23rd| [person:nate m 1-1][person:nate m 3-3][person:nate m 8-8][location:town s 15-15]
donna| Perfect I am available all weekend Should we invite some friends to also come| [person:donna f 1-1][person:we g(nate:donna) 7-7][person:friends g() 10-10]
nate| Who do you have in mind| [person:donna f 2-2]
donna| I m thnking the winstons and Johnsons would love to come| [person:donna f 0-0][person:winston m 4-4][person:johnson m 6-6]
nate| I would love for the Winstons to come but I don t know how much the Johnsons would enjoy outdoor activities and the cabin| [person:nate m 0-0][person:winstons g() 5-5][person:nate m 9-9][person:johnsons g() 16-16]
donna| You are probably right the Johnsons prefer more luxury type of trips Let s just ask the Winstons| [person:nate m 0-0][person:johnsons g() 5-5][person:winstons g() 17-17]
nate| Do you want to call them and extend the invite| [person:donna f 1-1][person:friends g(winston:johnson) 5-5]
donna| Yes I will give them a call this week This should be a great trip| [person:donna f 1-1][person:friends g(winston:johnson) 4-4]

conv:people_2019090101_34:aug_0:chat_0:chataug_0| alexis evelyn| [person:alexis f 0-0][person:evelyn f 1-1]
