conv:people_chats_0629_123:aug_0:chat_0:chataug_0| dominic sylvia| [person:dominic m 0-0][person:sylvia f 1-1]
conv:people_chats_0629_281:aug_0:chat_0:chataug_0| geoffrey kobe| [person:geoffrey m 0-0][person:kobe m 1-1]
kobe| Hey Geoffrey what s going on Are you still at the office| [person:geoffrey m 1-1][person:geoffrey m 7-7][location:office s 11-11]
geoffrey| Yeah sorry about that I should be home in a bit| [person:geoffrey m 4-4][location:home s 7-7]
kobe| You definitely didn t stop by the bank did you| [person:geoffrey m 0-0][location:bank s 7-7][person:geoffrey m 9-9]
geoffrey| What a specific thing to ask|
kobe| Well I m watching Belinda Bright and she s reporting on a daylight robbery The woman in the video looks just like you| [person:geoffrey m 1-1][person:belinda_bright f 4-5][person:belinda_bright f 7-7][person:geoffrey m 22-22]
geoffrey| Well what would Belinda know All news is fake these days| [person:belinda_bright f 3-3]
kobe| Can I text Mike to back up your story| [person:kobe m 1-1][person:mike m 3-3][person:geoffrey m 7-7]
geoffrey| What s the point in that|
kobe| Well they caught a getaway driver it s a guy who happens to look a lot like Mike| [person:they g() 1-1][person:mike m 17-17]
geoffrey| Well Mike lost his phone at least three days ago Could be anywhere at this point a police station lost and found or in a random stranger s pocket| [person:mike m 1-1][person:mike m 3-3]
kobe| Hmmm I don t buy it If you don t confess or give me a good reason to believe you I m going in on the cookie cake in the fridge and I will not be sharing| [person:kobe m 1-1][person:geoffrey m 7-7][person:kobe m 13-13][person:geoffrey m 19-19][person:kobe m 20-20][person:kobe m 32-32]
geoffrey| I mean Would you really yell at me if perhaps I did rob the bank| [person:geoffrey m 0-0][person:kobe m 3-3][person:geoffrey m 7-7][person:geoffrey m 10-10][location:bank s 14-14]

conv:people_chats_0629_282:aug_0:chat_0:chataug_0| roger vin| [person:roger m 0-0][person:vin m 1-1]
roger| Picking up them for me would be great| [person:them g() 2-2][person:roger m 4-4]
vin| No problem|
roger| Great can t wait to practice the new song about dreaming|
vin| Me to I know Andrea and Skye are ready to| [person:vin m 0-0][person:vin m 2-2][person:andrea f 4-4][person:skye f 6-6]
roger| What part of the song is your favorite verse| [person:vin m 6-6]
vin| The verse where dreaming does not cost a dime Dreaming is the passing of time|
roger| My favorite is the end verse is where dreaming is where we will meet and our dreams will come true| [person:roger m 0-0][person:we g(roger:vin:andrea:skye) 11-11][person:we g(roger:vin:andrea:skye) 15-15]
roger| I think we are almost ready to perform our first debut together| [person:roger m 0-0][person:we g(roger:vin:andrea:skye) 2-2][person:we g(roger:vin:andrea:skye) 8-8]
vin| When we get together tomorrow we can discuss what will a good date to perform| [person:we g(roger:vin:andrea:skye) 1-1][person:we g(roger:vin:andrea:skye) 5-5]
vin| And we can look at the calendar and coordinate when everyone will be available| [person:we g(roger:vin:andrea:skye) 1-1][person:we g(roger:vin:andrea:skye) 10-10]
roger| Sounds good to me can t get any better than that| [person:roger m 3-3]
roger| Should I get some chips and dips for tomorrow| [person:roger m 1-1]
vin| No I got them yesterday when I went to get my weekly groceries| [person:vin m 1-1][person:vin m 6-6][person:vin m 10-10]
vin| You just pick up the crew and the practice will begin| [person:roger m 0-0]
vin| See you tomorrow and we will have a good time Right on| [person:roger m 1-1][person:we g(roger:vin:andrea:skye) 4-4]

conv:people_chats_0629_284:aug_0:chat_0:chataug_0| luis trina| [person:luis m 0-0][person:trina f 1-1]
luis| Welcome to the mission how do you like the plot| [person:trina f 6-6]
trina| whatever you and your fancy mission with a fancy boss like Samantha| [person:luis m 1-1][person:samantha f 3-3][person:samantha f 11-11]
luis| We are ready to start the mission and save the day dude| [person:we g(luis:trina) 0-0]
trina| please do not refer me as dude again just call me Trina| [person:trina f 4-4][person:trina f 10-10][person:trina f 11-11]
luis| Whatever you say partner| [person:trina f 1-1]
trina| So is this Adam the driver that talk less| [person:adam m 3-3]
luis| look partner I asked you not to talk to Adam as his distraction will cost us the mission| [person:luis m 2-2][person:trina f 4-4][person:adam m 9-9][person:adam m 11-11][person:us g(luis:trina) 15-15]
trina| oh please I am just trying to introduce myself to him| [person:trina f 2-2][person:trina f 8-8][person:adam m 10-10]
luis| that is unnecessary My boss will not be happy knowing that the mission was jeopardized for hiring a civilian into it| [person:luis m 3-3]
trina| what made you boss pick up this god awful paint job on this vehicle can it not be camouflage| [person:luis m 2-2]
luis| there are the colors that the agency rules dictate so that our secret mission is not identifiable| [person:our g(luis:trina:samantha) 11-11]
trina| are we there yet| [person:we g(luis:trina) 1-1]
luis| We have long way to go Hopefully we do not fall into any plot traps we did not thought of| [person:we g(luis:trina) 0-0][person:we g(luis:trina) 7-7][person:we g(luis:trina) 15-15]

conv:people_chats_0629_286:aug_0:chat_0:chataug_0| rylie serge| [person:rylie f 0-0][person:serge m 1-1]
serge| Hi|
rylie| Hi|
rylie| Whats up|
serge| Heard some unfortunate news about Deliah| [person:deliah f 5-5]
serge| Have you heard| [person:rylie f 1-1]
rylie| No|
serge| She held onto a firecracker too long| [person:deliah f 0-0]
rylie| Oh no|
rylie| Dont tell me more| [person:rylie f 2-2]
rylie| Is she ok| [person:deliah f 1-1]
serge| Yes getting better|
serge| Putting together a get well soon card you want to contribute| [person:rylie f 7-7]
rylie| Sure but fred should do the artistic stuff| [person:fred m 2-2]
serge| Yea but he only does comic book art so it wouldnt be appropriate unless you want a superhero themed card| [person:fred m 2-2][person:rylie f 14-14]
rylie| Ok fine I ll sign when can we meet up| [person:rylie f 2-2][person:we g(serge:rylie) 7-7]

conv:people_chats_0629_288:aug_0:chat_0:chataug_0| amira nina| [person:amira f 0-0][person:nina f 1-1]
amira| Hi Nina| [person:nina f 1-1]
nina| Hey Amira| [person:amira f 1-1]
amira| I just saw the old man Paul that walks around everywhere in their neighborhood pulling a cooler| [person:amira f 0-0][person:paul m 6-6][person:their g() 12-12][location:neighborhood s 13-13]
nina| I saw him recently too Jim told me that he lives with his kids in one of the surrounding neighborhoods| [person:nina f 0-0][person:paul m 2-2][person:jim m 5-5][person:nina f 7-7][person:paul m 9-9][person:paul m 12-12][person:kids g() 13-13][location:neighborhoods g() 19-19]
nina| He also said that the man gets out and walks everywhere to get out of the house and seems to have some mental issues but is harmless| [person:jim m 0-0][location:house s 16-16]
amira| I ve talked with him before He seemed a little off but nice and had a bunch of groceries he had gotten at HEB| [person:amira f 0-0][person:paul m 4-4][person:paul m 6-6][person:paul m 19-19][location:heb s 23-23]
amira| I have also seen him walking around there and Home Depot too| [person:amira f 0-0][person:paul m 4-4][location:there u 7-7][location:home s 9-9]
nina| I guess he is completely harmless then| [person:nina f 0-0][person:paul m 2-2]
amira| I believe so too| [person:amira f 0-0]
nina| Okay I ve got to go now| [person:nina f 1-1]
amira| Okay please when next you see him leave him with a smile| [person:nina f 4-4][person:paul m 6-6][person:paul m 8-8]
nina| I definitely will| [person:nina f 0-0]

conv:people_chats_0629_289:aug_0:chat_0:chataug_0| chester mabel| [person:chester m 0-0][person:mabel f 1-1]
chester| Hey Mabel How was dance| [person:mabel f 1-1]
mabel| We re running late Can you pick me up at 615| [person:we g(mabel) 0-0][person:chester m 5-5][person:mabel f 7-7]
chester| Sure thing I m going to stop by Brad s house| [person:chester m 2-2][person:brad m 8-8]
chester| I want to see his new car| [person:chester m 0-0][person:brad m 4-4]
chester| He just got it| [person:brad m 0-0]
chester| Is Jasmine done teaching| [person:jasmine f 1-1]
mabel| Yes she was introducing a new student| [person:jasmine f 1-1]
mabel| Can you pick me up now or are you still at Brad s| [person:chester m 1-1][person:mabel f 3-3][person:chester m 8-8][person:brad m 11-11]
chester| Yes I m leaving his house now| [person:chester m 1-1][person:brad m 4-4]
mabel| Ok ill see you soon| [person:chester m 3-3]
mabel| Jasmine apologized for running late today| [person:jasmine f 0-0]
chester| Not a big deal|
chester| I m glad I got to see Brad| [person:chester m 0-0][person:chester m 3-3][person:brad m 7-7]
mabel| Do you want to go back to his house| [person:chester m 1-1][person:brad m 7-7]

conv:people_chats_0629_290:aug_0:chat_0:chataug_0| klay valerie| [person:klay m 0-0][person:valerie f 1-1]
valerie| Hey Klay I want to take a vacation to Fiji| [person:klay m 1-1][person:valerie f 2-2][location:vacation s 7-7][location:vacation s 9-9]
valerie| Sierra went there two years ago and she said it was great| [person:sierra f 0-0][location:vacation s 2-2][person:sierra f 7-7][location:vacation s 9-9]
valerie| She said hiking to the peak of Viti Levu was the most exciting part| [person:sierra f 0-0][location:viti s 7-7]
klay| Oh really|
klay| We can make that happen| [person:we g(valerie:klay) 0-0]
klay| I ll call Byron to help us plan the trip| [person:klay m 0-0][person:byron m 3-3][person:we g(valerie:klay) 6-6][location:vacation s 9-9]
klay| You know he s a travel agent he will get us the best deals| [person:valerie f 0-0][person:byron m 2-2][person:byron m 7-7][person:we g(valerie:klay) 10-10]
valerie| Oh that s great|
valerie| I wonder what month is best to visit| [person:valerie f 0-0]
klay| Anytime in the summer should be good|
valerie| Okay I will look into that| [person:valerie f 1-1]
klay| Yeah you should I m excited already| [person:valerie f 1-1][person:klay m 3-3]

conv:people_chats_0629_292:aug_0:chat_0:chataug_0| aiden bridgit| [person:aiden m 0-0][person:bridgit f 1-1]
bridgit| Hey Aiden| [person:aiden m 1-1]
aiden| Hi Bridget How are you| [person:bridgit f 1-1][person:bridgit f 4-4]
bridgit| I m good I heard you were going on vacation| [person:bridgit f 0-0][person:bridgit f 3-3][person:aiden m 5-5][location:vacation s 9-9]
bridgit| I d love to take care of your pets while you are gone if you d like| [person:bridgit f 0-0][person:aiden m 7-7][person:aiden m 10-10][person:aiden m 14-14]
aiden| Ohh thank you for offering but I already have my niece and nephew Kelly and Becker| [person:bridgit f 2-2][person:aiden m 6-6][person:aiden m 9-9][person:kelly f 13-13][person:becker m 15-15]
aiden| They ll take turns watching the pets| [person:niece_and_nephew g(kelly:becker) 0-0]
aiden| They re back from summer break so they got a lot of free time| [person:niece_and_nephew g(kelly:becker) 0-0][person:niece_and_nephew g(kelly:becker) 7-7]
bridgit| Okay I understand| [person:bridgit f 1-1]
aiden| Well actually You could be a back up if they get into partying| [person:bridgit f 2-2][person:niece_and_nephew g(kelly:becker) 9-9]
aiden| Would you be kind to do that| [person:bridgit f 1-1]
bridgit| Okay yeah|
bridgit| For sure|
bridgit| If they fail to follow through I ll do it then| [person:niece_and_nephew g(kelly:becker) 1-1][person:bridgit f 6-6]
aiden| Awesome thanks|

conv:people_chats_0629_297:aug_0:chat_0:chataug_0| caden katja| [person:caden m 0-0][person:katja f 1-1]
katja| Hey Caden thank you so much for the Christmas presents| [person:caden u 3-3]
katja| My kids Natalia and Greyson love the inflatable swimming pool| [person:katja f 0-0][person:kids g() 1-1][person:natalia f 2-2][person:greyson m 4-4][location:pool s 9-9]
katja| They ll get a lot of use out of it this summer| [person:katja f 0-0][location:pool s 9-9]
katja| I would like the kids to send you a thank you letter what is your address| [person:katja f 0-0][person:kids g(greyson:natalia) 4-4][person:caden u 7-7][person:caden u 10-10][person:caden u 14-14]
caden| Oh great|
caden| I m so glad they like it| [person:caden u 0-0][person:kids g(greyson:natalia) 4-4][location:pool s 6-6]
caden| My address is 123 West Elm St Los Angeles CA| [person:caden u 0-0][location:elm_st s 5-6][location:los_angeles s 7-8][location:ca s 9-9]
caden| That is very nice that they want to send a thank you letter| [person:kids g(greyson:natalia) 5-5][person:caden u 11-11]
caden| I hope you guys had a great Christmas| [person:caden u 0-0][person:katja f 2-2]
katja| Of course|
katja| You are very sweet| [person:caden u 0-0]
katja| We need to get together soon| [person:katja_and_caden g(katja:caden) 0-0]

conv:people_chats_0629_299:aug_0:chat_0:chataug_0| jamie joan| [person:jamie m 0-0][person:joan f 1-1]
joan| Did you pick up the cake yet| [person:jamie m 1-1]
jamie| I picked up the wrong cake and had to get the manager Steve| [person:jamie m 0-0][person:steve m 11-11][person:steve m 12-12]
joan| Ok was my cake ready Miranda really would love Hello Kitty| [person:joan f 2-2][person:miranda f 5-5]
jamie| Yes they have it but they have to decorate it still| [person:they g(steve) 1-1][person:they g(steve) 5-5]
joan| That s good How long will it take|
jamie| It will take about 15 minutes Steve says and it will have what Miranda wants on it| [person:steve m 6-6][person:miranda f 13-13]
joan| That is great thank you| [person:jamie m 4-4]
jamie| Yep and Steve is giving a discount for the trouble| [person:steve m 2-2]
joan| That s good we did order in advance so it should have been ready| [person:we g(joan:jamie) 3-3]
