conv:people_long_0313_110:aug_0:chat_0:chataug_0| john rita| [person:john m 0-0][person:rita f 1-1]
ellie| I m not sure but I have the same feeling on online dating after meeting you| [person:ellie f 0-0][person:ellie f 5-5][person:ben m 15-15]
ben| How about going for a bowling this weekend Are you interested| [person:ellie f 9-9]
ellie| Yeah that will be cool even I m interested in bowling| [person:ellie f 6-6]
ellie| But Ben I want to add my siblings too What do you say is it ok for you| [person:ben m 1-1][person:ellie f 2-2][person:ellie f 6-6][person:ben m 11-11][person:ben m 17-17]
ben| I don t mind if they join us In fact i ll just find a chance to get them know better| [person:ben m 0-0][person:they g() 5-5][person:we g(ben:ellie) 7-7][person:ben m 10-10][person:they g() 18-18]
ellie| Not only knowing them better but we can also have lots of fun together| [person:they g() 3-3][person:we g(ben:ellie) 6-6]
ben| Well in that case I ll find a groupon because I bowl just for fun| [person:ben m 4-4][person:ben m 10-10]
ben| I m really worried about how bad I m going to score on my second date| [person:ben m 0-0][person:ben m 7-7][person:ben m 13-13]
ellie| Don t worry about that Ben You will score good points and we will have a good time| [person:ben m 5-5][person:ben m 6-6][person:we g(ben:ellie) 12-12]

conv:people_long_0313_266:aug_0:chat_0:chataug_0| marvin trevor| [person:marvin m 0-0][person:trevor m 1-1]
marvin| Hey Trevor is everything set for the Superbowl party| [person:trevor m 1-1]
trevor| I m always ready for the Super Bowl party Marvin| [person:trevor m 0-0][person:marvin m 9-9]
marvin| We are also inviting Kenny and Brinda to join us Isn t it| [person:we g(marvin:trevor) 0-0][person:kenny m 4-4][person:brinda f 6-6][person:we g(marvin:trevor) 9-9]
trevor| Yes definitely we are going to invite both of them| [person:we g(marvin:trevor) 2-2][person:them g(kenny:brinda) 9-9]
marvin| Before planning for the party we need to make a list of things that we would need for the party| [person:we g(marvin:trevor) 5-5][person:we g(marvin:trevor) 14-14]
trevor| Alright I will make a list of Items that we would require for our party| [person:trevor m 1-1][person:we g(marvin:trevor) 9-9][person:we g(marvin:trevor) 13-13]
marvin| I ll bring a variety of snacks and appetizers that our friends like| [person:marvin m 0-0][person:we g(marvin:trevor) 10-10][person:friends g() 11-11]
trevor| That s good Marvin Let me know if I need to bring anything| [person:marvin m 3-3][person:trevor m 5-5][person:trevor m 8-8]
marvin| Hey buddy why don t we plan things a bit different this time| [person:trevor m 1-1][person:we g(marvin:trevor) 5-5]
trevor| Of course but what s in your mind I m sure it ll be a crazy idea| [person:marvin m 6-6][person:trevor m 8-8]
marvin| How about setting up a theme for the party|
trevor| Yeah that sounds good then why don t we host a teamcolored theme party| [person:we g(marvin:trevor) 8-8]
marvin| That a great idea buddy No only we but Kenny and Brinda are also going to love it| [person:trevor m 4-4][person:we g(marvin:trevor) 7-7][person:kenny m 9-9][person:brinda f 11-11]
trevor| Then let s get some party poppers to celebrate for the winning team| [person:team g() 12-12]

conv:people_long_0313_268:aug_0:chat_0:chataug_0| adam john| [person:adam m 0-0][person:john m 1-1]
adam| How ya doin Just started thinking about our frat days and wanted to reach out to say hello| [person:john m 1-1][person:our g(adam:john) 7-7]
john| Doing well hope you are Yeah I was thinking about the frat house the other night Did you hear about Rita| [person:adam m 3-3][person:john m 6-6][person:frat g(adam:john) 11-11][location:frat_house s 11-12][person:adam m 17-17][person:rita f 20-20]
adam| No what happened with Rita| [person:rita f 4-4]
john| I talked to Jane recently and she said Rita was arrested on drug charges| [person:john m 0-0][person:jane f 3-3][person:jane f 6-6][person:rita f 8-8]
adam| Pot right Remember how she and Jane would sneak into the house and we d smoke all night| [person:rita f 4-4][person:jane f 6-6][location:frat_house s 11-11][person:we g(adam:john:rita:jane) 13-13]
john| Yes it was pot She was actually arrested for selling right in front of our frat house Surprised you haven t heard about it| [person:rita f 4-4][person:our g(adam:john) 14-14][location:frat_house s 15-16][person:adam m 18-18]
adam| No you re the only one I keep in touch with Our frat brothers have really scattered since graduation How did you see Jane| [person:john m 1-1][person:adam m 6-6][person:our g(adam:john) 11-11][person:frat g(adam:john) 12-13][person:john m 21-21][person:jane f 23-23]
john| She and her husband live down the street and I walk my dog by their house| [person:jane f 0-0][person:jane f 2-2][person:husband m 3-3][location:street s 7-7][person:john m 9-9][person:john m 11-11][person:their g(jane:husband) 14-14][location:house s 15-15]
adam| I bet that is awkward seeing her husband You and Jane were a hot item back in college You even took the punishment for sneaking her in| [person:adam m 0-0][person:jane f 6-6][person:husband m 7-7][person:john m 8-8][person:jane f 10-10][person:john m 18-18][person:jane f 25-25]
john| How did you and Rita never get caught She was always over| [person:adam m 2-2][person:rita f 4-4][person:rita f 8-8]
adam| The frat loved me because I always had plenty of dope to share They never ratted me out| [person:frat g(adam:john) 1-1][person:adam m 3-3][person:adam m 5-5][person:frat g(adam:john) 13-13][person:adam m 16-16]
john| Maybe if they had then Rita wouldn t be in legal trouble now| [person:frat g(adam:john) 2-2][person:rita f 5-5]
adam| Maybe so Do you talk to any of our frat brothers| [person:john m 3-3][person:our g(adam:john) 8-8][person:frat g(adam:john) 9-10]
john| Yes I have them in my business contacts Maybe you need to reach out to some of them and use them for networking for a better job| [person:john m 1-1][person:frat g(adam:john) 3-3][person:john m 5-5][person:adam m 9-9][person:frat g(adam:john) 17-17][person:frat g(adam:john) 20-20]
adam| Okay That s the main reason for being a frat boy right| [person:frat g(adam:john) 9-9]

conv:people_long_0313_271:aug_0:chat_0:chataug_0| sammy tucker| [person:sammy m 0-0][person:tucker m 1-1]
sammy| Hi Tucker Can you make some time for me today| [person:tucker m 1-1][person:tucker m 3-3][person:sammy m 8-8]
tucker| What happened Sammy Why do you want me to come over your place| [person:sammy m 2-2][person:sammy m 5-5][person:tucker m 7-7][person:sammy m 11-11][location:place s 12-12]
sammy| I have a plan for this weekend But whereas my car is on repair| [person:sammy m 0-0][person:sammy m 9-9]
sammy| I wanted you to be here by this evening So that you can fix my car| [person:sammy m 0-0][person:tucker m 2-2][person:tucker m 11-11][person:sammy m 14-14]
tucker| I m afraid I can t come to your place Sammy| [person:tucker m 0-0][person:tucker m 3-3][person:sammy m 8-8][location:place s 9-9][person:sammy m 10-10]
tucker| I m busy this whole evening as I have to fix my niece Pam s car| [person:tucker m 0-0][person:tucker m 7-7][person:tucker m 11-11][person:pam f 13-13]
sammy| Okay If not today can you at least make it tomorrow| [person:tucker m 5-5]
tucker| No I won t be able to fix Pam s car by tomorrow| [person:tucker m 1-1][person:pam f 8-8]
sammy| What is wrong with her car and how long you need to fix it| [person:pam f 4-4][person:tucker m 9-9]
tucker| Her car is heavily damaged and I don t know how long will it take for me to fix it| [person:pam f 0-0][person:tucker m 6-6][person:tucker m 16-16]
tucker| Why don t you call your friend Mateo and ask him to come by| [person:sammy m 3-3][person:sammy m 5-5][person:mateo m 6-6][person:mateo m 7-7][person:mateo m 10-10]
sammy| Please try to reach me as soon as possible| [person:sammy m 4-4]
sammy| Because my friend Mateo does not have much knowledge regarding repairs| [person:mateo m 1-1][person:mateo m 2-2][person:mateo m 3-3]
tucker| Okay I ll be there once I m done with my niece s car| [person:tucker m 1-1][person:tucker m 6-6][person:tucker m 10-10]

conv:people_long_0313_273:aug_0:chat_0:chataug_0| flynn sophie| [person:flynn f 0-0][person:sophie f 1-1]
sophie| Hey Flynn Do you mind if we reconsider our weekend plan| [person:flynn f 1-1][person:flynn f 3-3][person:we g(sophie:flynn) 6-6][person:our g(sophie:flynn) 8-8]
flynn| Why What happened We planned to take a helicopter tour right| [person:we g(sophie:flynn) 3-3]
sophie| Yeah Have you heard about the recent helicopter accident that made the news| [person:flynn f 2-2]
sophie| I am really very scared to fly after hearing about that incident| [person:sophie f 0-0]
flynn| Yeah it was a tragic accident that has occurred and I feel sorry for the people who died| [person:flynn f 10-10]
flynn| But that should not discourage us from flying right| [person:us g(sophie:flynn) 5-5]
sophie| I think you are right I must not be discouraged over other incidents| [person:sophie f 0-0][person:flynn f 2-2][person:sophie f 5-5]
sophie| But I still feel scared about flying| [person:sophie f 1-1]
flynn| What will make you feel better so that you come with me on a helicopter tour| [person:sophie f 3-3][person:sophie f 8-8][person:flynn f 11-11]
sophie| I think that if I could speak to somebody familiar with helicopters it might alleviate my worries| [person:sophie f 0-0][person:sophie f 4-4][person:sophie f 15-15]
flynn| I suggest you to talk to my friends Shaunise and Luke| [person:flynn f 0-0][person:sophie f 2-2][person:flynn f 6-6][person:friends g(sophie:flynn) 7-7][person:shaunise f 8-8][person:luke m 10-10]
flynn| They take helicopters often and are both aviation experts and I guess they can make you feel better| [person:they g(sophie:flynn:shaunise:luke) 0-0][person:flynn f 10-10][person:they g(sophie:flynn:shaunise:luke) 12-12][person:sophie f 15-15]
sophie| Yeah Give me their phone numbers so that I can contact them| [person:sophie f 2-2][person:they g(sophie:flynn:shaunise:luke) 3-3][person:sophie f 8-8][person:they g(sophie:flynn:shaunise:luke) 11-11]
flynn| Please wait for a minute I ll search and send their contacts to you| [person:flynn f 5-5][person:they g(sophie:flynn:shaunise:luke) 10-10][person:sophie f 13-13]

conv:people_long_0313_274:aug_0:chat_0:chataug_0| irelia kayn| [person:irelia f 0-0][person:kayn f 1-1]
irelia| Hey honey Christophen and Kayla coming over next week| [person:kayla f 4-4]
kayn| Oh yes I totally forgot| [person:kayn f 2-2]
irelia| I knew you will forget| [person:irelia f 0-0][person:kayn f 2-2]
kayn| Thanks for reminding me honey| [person:kayn f 3-3]
irelia| I think they are planning to stay at least a week| [person:irelia f 0-0][person:they g(kayla) 2-2]
kayn| Do you think we should get them some gift| [person:kayn f 1-1][person:we g(irelia:kayn) 3-3][person:they g(kayla) 6-6]
irelia| They are our close friends so it would be nice| [person:they g(kayla) 0-0][person:our g(irelia:kayn) 2-2][person:they g(kayla) 4-4]
kayn| Do you have any idea what we should get| [person:irelia f 1-1][person:we g(irelia:kayn) 6-6]
irelia| I thought maybe we can get fruit basket| [person:irelia f 0-0][person:we g(irelia:kayn) 3-3]
kayn| Do you have any other idea| [person:irelia f 1-1]
irelia| Maybe we can get some sort of gift set| [person:we g(irelia:kayn) 1-1]
kayn| Gift set looks more apropriate Don t you think| [person:irelia f 7-7]
irelia| I guess so| [person:irelia f 0-0]
kayn| It means we are getting gift set| [person:we g(irelia:kayn) 2-2]
irelia| I don t know| [person:irelia f 0-0]

conv:people_long_0313_275:aug_0:chat_0:chataug_0| jake peter| [person:jake m 0-0][person:peter m 1-1]
jake| Hey Peter Are you excited about the rock climbing trip| [person:peter m 1-1][person:peter m 3-3]
peter| Yes man I have been preparing for this trip| [person:peter m 2-2]
peter| Kenny and Aaron will be joining us too| [person:kenny m 0-0][person:aaron m 2-2][person:us g(jake:peter:kenny:aaron) 6-6]
jake| Kenny and Aaron are so much fun to hang out with I love those guys| [person:kenny m 0-0][person:aaron m 2-2][person:jake m 11-11]
peter| We should bring along our camping gear to rest if we get too far| [person:we g(jake:peter:kenny:aaron) 0-0][person:our g(jake:peter:kenny:aaron) 4-4][person:we g(jake:peter:kenny:aaron) 10-10]
jake| Yeah I think it s a great idea| [person:jake m 1-1]
jake| We should make a list of gear and supplies that we would need for our trip| [person:we g(jake:peter:kenny:aaron) 0-0][person:we g(jake:peter:kenny:aaron) 10-10][person:our g(jake:peter:kenny:aaron) 14-14]
peter| I have been working on a list I will share it with you guys| [person:peter m 0-0][person:peter m 7-7][person:jake m 12-12]
