conv:people_2019080802_57:aug_0:chat_0:chataug_0| douglas peter| [person:douglas m 0-0][person:peter m 1-1]
debra| Me too| [person:debra f 0-0]

conv:people_2019081201_81:aug_0:chat_0:chataug_0| olivia sam| [person:olivia f 0-0][person:sam m 1-1]
sam| Hi olivia| [person:olivia f 1-1]
sam| do you know of any good parks| [person:olivia f 1-1][location:parks g() 6-6]
olivia| Hmm I know Arthur and Madison went to some recently| [person:olivia f 1-1][person:arthur m 3-3][person:madison f 5-5]
sam| Oh really where did they go| [person:they g(arthur:madison) 4-4]
olivia| They went to Yellow Stone| [person:they g(arthur:madison) 0-0][location:yellow_stone s 3-4]
sam| How did they like it| [person:they g(arthur:madison) 2-2]
olivia| They said it was great but crowded| [person:they g(arthur:madison) 0-0]
olivia| They wouldn t recommend going in the summer due to heat and crowds| [person:they g(arthur:madison) 0-0]
sam| Good advice|
olivia| Yea otherwise they said it was nice They also went to other parks| [person:they g(arthur:madison) 2-2][person:they g(arthur:madison) 7-7]
sam| Do you know which one| [person:olivia f 1-1]
olivia| Not right off hand|

conv:people_2019081201_83:aug_0:chat_0:chataug_0| amber brandon| [person:amber f 0-0][person:brandon m 1-1]
brandon| Hi Amber are you ready to go hang out with our friends and watch some awesome movies| [person:amber f 1-1][person:amber f 3-3][person:our g(brandon:amber) 10-10][person:friends g() 11-11]
amber| Hi Brandon Of course I am I can t be anymore ready LOL| [person:brandon m 1-1][person:amber f 4-4][person:amber f 6-6]
brandon| Hahaha gosh amber you are always so enthusiastic I wish I have your level of energy| [person:amber f 2-2][person:amber f 3-3][person:brandon m 8-8][person:brandon m 10-10][person:amber f 12-12]
amber| hahaha I try Anyways do you know what movies we are going to be watching| [person:amber f 1-1][person:brandon m 5-5][person:our g(brandon:amber) 9-9]
brandon| I think we are still deciding whether we will be watching a comedy or action| [person:brandon m 0-0][person:our g(brandon:amber) 2-2][person:our g(brandon:amber) 7-7]
brandon| Jackie and Eva likes Action| [person:jackie f 0-0][person:eva f 2-2]
brandon| James and Doug likes comedy better| [person:james m 0-0][person:doug m 2-2]
brandon| I really don t care both are my genre to watch| [person:brandon m 0-0][person:brandon m 7-7]
amber| Ah I see I hope we watch a comedy I have been so down lately cus of my breakup| [person:amber f 1-1][person:amber f 3-3][person:our g(brandon:amber) 5-5][person:amber f 9-9][person:amber f 17-17]
brandon| Oh I see I will make sure to vote for a comedy just for you haha| [person:brandon m 1-1][person:brandon m 3-3][person:amber f 14-14]
amber| Thanks Brandon always so nice| [person:brandon m 1-1]
brandon| no problem I got your back So for the movies we will either be watching comedy or action What about the drinks and snacks| [person:brandon m 2-2][person:amber f 4-4][person:our g(brandon:amber) 10-10]
amber| Yea that s right almost forgot about that|
amber| I think we should bring soda and juice since everyone likes soda and juice in that group| [person:amber f 0-0][person:our g(brandon:amber) 2-2][person:everyone g() 9-9]
brandon| That s a brilliant idea for snacks I was thinking about popcorn you can never go wrong with popcorn Also we can do hotdogs and chips since I know Eva and Doug are not fans of popcorn| [person:brandon m 7-7][person:amber f 12-12][person:our g(brandon:amber) 20-20][person:brandon m 27-27][person:eva f 29-29][person:doug m 31-31]
amber| Yea I think is better if we have variety that way no one feels left out| [person:amber f 1-1][person:our g(brandon:amber) 6-6]
brandon| Hhaha great I think we have almost everything planned out| [person:brandon m 2-2][person:our g(brandon:amber) 4-4]
amber| Yup awesome see you then| [person:brandon m 3-3]
brandon| See you amber take care| [person:amber f 1-1][person:amber f 2-2]

conv:people_2019081201_84:aug_0:chat_0:chataug_0| joshua steve| [person:joshua m 0-0][person:steve m 1-1]
steve| Any good sports bars around| [location:bars g() 3-3]
joshua| I actually went to one recently| [person:joshua m 0-0]
steve| Cool who did you go with| [person:joshua m 3-3]
joshua| I went with Roy and Melissa| [person:joshua m 0-0][person:roy m 3-3][person:melissa f 5-5]
steve| Was it fun there| [location:bars g() 3-3]
joshua| Yes it was It was crowded|
steve| are they worth going to| [person:they g() 1-1]
joshua| Yes I think you will like them| [person:joshua m 1-1][person:steve m 3-3][person:they g() 6-6]
steve| Good to hear I was thinking of going Friday| [person:steve m 3-3]
joshua| I might join you The one on 7th street is nice| [person:joshua m 0-0][person:steve m 3-3][location:street s 8-8]

conv:people_2019081201_85:aug_0:chat_0:chataug_0| benjamin brandon| [person:benjamin m 0-0][person:brandon m 1-1]
benjamin| Hey Brandon You ready for picnic tomorrow| [person:brandon m 1-1][person:brandon m 2-2]
brandon| Yeah it will be fun What should I bring| [person:brandon m 7-7]
benjamin| Have you talked to Jesse Bob or Tommy| [person:brandon m 1-1][person:jesse m 4-4][person:bob m 5-5][person:tommy m 7-7]
brandon| Not yet But I know that Tommy always likes to bring the beer| [person:brandon m 3-3][person:tommy m 6-6]
benjamin| Okay we ll have him bring that Does anyone have any sports equipment| [person:we g(benjamin:brandon) 1-1][person:tommy m 4-4][person:anyone g(brandon:jesse:bob:tommy) 8-8]
brandon| Oh I can bring bocce ball and corn hole| [person:brandon m 1-1]
benjamin| Excellent I ll see if Jesse can make his famous bbq ribs| [person:benjamin m 1-1][person:jesse m 5-5][person:jesse m 8-8]
brandon| Oh those are so delicious In that case have Bob bring soft drinks and salty snacks| [person:bob m 9-9]
benjamin| Perfect And I ll bring some healthier options| [person:benjamin m 2-2]
benjamin| I also have plenty of chairs and blankets so I ll bring those too| [person:benjamin m 0-0][person:benjamin m 9-9]
brandon| And I ll bring a little tent in case it gets hot This will be a blast| [person:brandon m 1-1]
benjamin| Okay I ll message the others See ya| [person:benjamin m 1-1][person:others g(jesse:bob:tommy) 5-5]

conv:people_2019081201_86:aug_0:chat_0:chataug_0| nate stephanie| [person:nate m 0-0][person:stephanie f 1-1]
nate| hi stephanie| [person:stephanie f 1-1]
stephanie| hi nate| [person:nate m 1-1]
nate| I am getting off late for work| [person:nate m 0-0]
stephanie| I supposed you want me to pick up brenda| [person:stephanie f 0-0][person:nate m 2-2][person:stephanie f 4-4][person:brenda f 8-8]
nate| you read my mind| [person:stephanie f 0-0][person:nate m 2-2]
stephanie| then would you mind picking up chips and snacks for the playoff game| [person:nate m 2-2]
nate| I sure can| [person:nate m 0-0]
stephanie| do you know what jack ashley and oliver will like| [person:nate m 1-1][person:jack m 4-4][person:ashley f 5-5]
nate| I am not sure yet| [person:nate m 0-0]
stephanie| I think our usual games snack are decent maybe some chips guacamole salsa dips some salad and appetizers| [person:stephanie f 0-0][person:our g(nate:stephanie:brenda:jack:ashley) 2-2]
nate| we are having dinner with the games too right| [person:our g(nate:stephanie:brenda:jack:ashley) 0-0]
stephanie| yes I can order some pizza and make some pasta as well as some desserts| [person:stephanie f 1-1]
nate| I can pick up sauces and fruits| [person:nate m 0-0]

conv:people_2019081201_87:aug_0:chat_0:chataug_0| abigail kayla| [person:abigail f 0-0][person:kayla f 1-1]
abigail| We should meet by the bar we used to frequent| [person:we g(abigail:kayla) 0-0][location:bar s 5-5][person:we g(abigail:kayla) 6-6]
kayla| That could work It is close to everyone| [person:everyone g(abigail:kayla) 7-7]
abigail| Is everyone still living in the same area| [person:everyone g(abigail:kayla) 1-1]
kayla| yes they all are still around the same area| [person:they g() 1-1]
abigail| Okay then that should not be an issue|
kayla| Do you wanna ask them| [person:abigail f 1-1][person:they g() 4-4]
abigail| I will ask Dwayne| [person:abigail f 0-0][person:dwayne m 3-3]
kayla| I will ask Teresa and Nathan then| [person:kayla f 0-0][person:teresa f 3-3][person:nathan m 5-5]
abigail| That works for me| [person:abigail f 3-3]
kayla| Okay well see you soon then| [person:abigail f 3-3]

conv:people_2019081201_88:aug_0:chat_0:chataug_0| bob brian| [person:bob m 0-0][person:brian m 1-1]
brian| Hey there Bob How are you doing| [person:bob m 2-2][person:bob m 5-5]
bob| I m doing well Looking forward to seeing the game this weekend| [person:bob m 0-0]
brian| I am but we never did decide who we wanted to go see You know I prefer watching the Rockets| [person:brian m 0-0][person:we g(brian:bob) 3-3][person:we g(brian:bob) 8-8][person:bob m 13-13][person:brian m 15-15]
bob| I know and I talked to Michael and Bill They re fans of the Celtics but said it was up to you We didn t mind either way| [person:bob m 0-0][person:bob m 3-3][person:michael m 6-6][person:bill m 8-8][person:they g(michael:bill) 9-9][person:brian m 21-21][person:we g(bob:michael:bill) 22-22]
brian| Well thanks But if you all prefer the Celtics then let s go see them play| [person:we g(bob:michael:bill) 4-4]
bob| Are you sure I know you like the Rockets| [person:brian m 1-1][person:bob m 3-3][person:brian m 5-5]
brian| Yeah but I ll still enjoy the game and seeing it with you guys Next time we re going to see the Rockets though| [person:brian m 2-2][person:we g(bob:michael:bill) 12-12][person:we g(brian:bob) 16-16]
bob| Alright Yeah that sounds good to me And who knows you may decide you like the Celtics as well| [person:bob m 6-6][person:brian m 10-10][person:brian m 13-13]
brian| Anything is possible I m just looking forward to hanging out with you guys| [person:brian m 3-3][person:we g(bob:michael:bill) 12-12]
bob| Yeah I am as well and so are Michael and Bill You wanna grab dinner before the game| [person:bob m 1-1][person:michael m 8-8][person:bill m 10-10][person:brian m 11-11]
brian| Yeah we ll go to that place Michael told us about He gave it a pretty high review| [person:we g(brian:bob:michael:bill) 1-1][location:place s 6-6][person:michael m 7-7][person:we g(brian:bob) 9-9][person:michael m 11-11]
bob| That sounds good to me I ve gotta head back to work now though so I ll talk to you later| [person:bob m 4-4][person:bob m 5-5][person:bob m 15-15][person:brian m 19-19]
brian| Alright man have a good day I ll see you later| [person:brian m 6-6][person:bob m 9-9]

conv:people_2019081201_89:aug_0:chat_0:chataug_0| philip samantha| [person:philip m 0-0][person:samantha f 1-1]
philip| Hi Samantha how are you doing| [person:philip m 1-1][person:philip m 4-4]
samantha| I m doing great Philip How are you| [person:philip m 0-0][person:philip m 4-4][person:philip m 7-7]
philip| I m well What is new with you today| [person:philip m 0-0][person:philip m 7-7]
samantha| Well I actually wanted to ask you a favor Philip| [person:philip m 1-1][person:philip m 6-6][person:philip m 9-9]
philip| Sure what is it Samantha What do you need| [person:philip m 4-4][person:philip m 7-7]
samantha| I m stuck at work and forgot my shoes at Jackie s house and am wondering if you can pick them up on your way home| [person:philip m 0-0][person:philip m 7-7][person:philip m 10-10][location:house s 12-12][person:philip m 17-17][person:philip m 20-20][person:philip m 23-23][location:home s 25-25]
philip| Sure I d love to be a help to you You always are helping me out| [person:philip m 1-1][person:philip m 9-9][person:philip m 10-10][person:philip m 14-14]
samantha| Oh thanks so much Philip I love those shoes and can t live without them| [person:philip m 4-4][person:philip m 5-5][person:philip m 14-14]
philip| I understand I can get them for you then stop by in about an hour| [person:philip m 0-0][person:philip m 2-2][person:philip m 5-5][person:philip m 7-7]
samantha| Oh that would be wonderful Thanks again so much|

conv:people_2019081201_90:aug_0:chat_0:chataug_0| laura teresa| [person:laura f 0-0][person:teresa f 1-1]
teresa| Hey Laura I am so excited about the party| [person:laura f 1-1][person:teresa f 2-2]
laura| Me too Nicole is going to bring one of her delicious cakes| [person:laura f 0-0][person:nicole f 2-2][person:nicole f 9-9]
teresa| Yum Deborah and Melissa want to know how they can help us out| [person:deborah f 1-1][person:melissa f 3-3][person:deborah___melissa g(melissa:deborah) 8-8][person:teresa___laura g(teresa:laura) 11-11]
teresa| I told them maybe ice and drink I don t know what do you think| [person:teresa f 0-0][person:deborah___melissa g(melissa:deborah) 2-2][person:teresa f 7-7][person:laura f 13-13]
laura| Have them bring some wine and ice| [person:deborah___melissa g(melissa:deborah) 1-1]
laura| I don t know how we d get this all done without their help| [person:laura f 0-0][person:teresa___laura g(teresa:laura) 5-5][person:deborah___melissa g(melissa:deborah) 12-12]
teresa| Me either I think Melissa should bring that homemade hooch she used to make us in college Then we could really party| [person:teresa f 0-0][person:teresa f 2-2][person:melissa f 4-4][person:melissa f 10-10][person:teresa___laura g(teresa:laura) 14-14][person:teresa___laura g(teresa:laura) 18-18]
laura| I had forgot about that stuff Yes tell her to make it| [person:laura f 0-0][person:melissa f 8-8]
teresa| Ok I text them all about the plans| [person:teresa f 1-1][person:deborah___melissa g(melissa:deborah) 3-3]
