conv:people_2019090101_86:aug_0:chat_0:chataug_0| kevin noah| [person:kevin m 0-0][person:noah m 1-1]
julie| Sorry to hear that I just was hoping that someone can join me as I really don t like rock climbing by myself| [person:julie f 4-4][person:someone u 9-9][person:julie f 12-12][person:julie f 14-14][person:julie f 22-22]
jean| Look I get you its not fun going by yourself If you d like I know someone that might be available this Saturday to go with you| [person:jean f 1-1][person:julie f 3-3][person:julie f 9-9][person:julie f 11-11][person:jean f 14-14][person:beverly f 16-16][person:julie f 26-26]
julie| Really that would be great Can you tell me their number| [person:jean f 6-6][person:julie f 8-8][person:beverly f 9-9]
jean| Sure its my friend Beverly you can call her at 2352417111| [person:jean f 2-2][person:beverly f 3-3][person:beverly f 4-4][person:jean f 5-5][person:beverly f 8-8]
julie| Thanks for the help I ll call her today to see if she can make it for this Saturday| [person:julie f 4-4][person:beverly f 7-7][person:beverly f 12-12][location:it g() 15-15]
jean| No problem hope you have a fun day going rock climbing| [person:julie f 3-3]

conv:people_2019090101_198:aug_0:chat_0:chataug_0| katherine susan| [person:katherine f 0-0][person:susan f 1-1]
susan| Hi Katherine Do you have a moment| [person:katherine f 1-1][person:katherine f 3-3]
katherine| Yes Whats on your mind| [person:susan f 3-3]
susan| Pete and Phillip from work are visiting today and I was supposed to take them out for the day but I am tied up with an extra project at work and can t make it I was wondering if you could fill in for me| [person:pete m 0-0][person:phillip m 2-2][person:susan f 9-9][person:them g(pete:phillip) 14-14][person:susan f 20-20][person:susan f 35-35][person:katherine f 39-39][person:susan f 44-44]
katherine| Sure I was looking for something to do anyway What time are they supposed to be there and what are their intrests| [person:katherine f 1-1][person:them g(pete:phillip) 12-12][location:there s 16-16][person:them g(pete:phillip) 20-20]
susan| Thanks your a life saver Phillip really likes sports and Pete loves trying new foods They are supposed to be by at 3 pm| [person:katherine f 1-1][person:phillip m 5-5][person:pete m 10-10][person:them g(pete:phillip) 15-15]
katherine| Does Phillip like baseball| [person:phillip m 1-1]
susan| Yes he s a real jock| [person:phillip m 1-1]
katherine| Great there is a game tonight at the stadium we can go there| [location:stadium s 8-8][person:we g(susan:katherine) 9-9][location:stadium s 12-12]
katherine| Does Pete like Italian food| [person:pete m 1-1]
susan| Yes he likes all kinds of food| [person:pete m 1-1]
susan| Yes he does| [person:pete m 1-1]
katherine| Perfect a new place just opened up I have heard good things about We can go to dinner and then go catch the game I ll meet them at 3 and let them know you got tied up with work| [person:katherine f 7-7][person:we g(susan:katherine) 13-13][person:katherine f 24-24][person:them g(pete:phillip) 27-27][person:them g(pete:phillip) 32-32][person:susan f 34-34]
susan| Thanks so much Katherine I owe you big time| [person:katherine f 3-3][person:susan f 4-4][person:katherine f 6-6]

conv:people_2019090101_201:aug_0:chat_0:chataug_0| eddie lawrence| [person:eddie m 0-0][person:lawrence m 1-1]
eddie| Yo man What a week Want to do something chill this weekend to unwind a bit|
lawrence| You are not kidding I am exhausted and ready to relax What did you have in mind| [person:eddie m 0-0][person:lawrence m 4-4][person:eddie m 13-13]
eddie| How about breakfast on Saturday morning|
lawrence| I m up for that Do you think we should see if Alexis and Adam want to join us| [person:lawrence m 0-0][person:eddie m 6-6][person:eddie_and_lawrence g(eddie:lawrence) 8-8][person:alexis f 12-12][person:adam m 14-14][person:eddie_and_lawrence g(eddie:lawrence) 18-18]
eddie| Sure that sounds nice I haven t had much opportunity to hang out with them outside of work| [person:eddie m 4-4][person:alexis_and_adam g(alexis:adam) 14-14]
lawrence| Where do you want to meet for breakfast| [person:eddie m 2-2][location:breakfast s 7-7]
eddie| How about the Whistle Stop I love their waffles| [person:eddie m 5-5]
lawrence| I like the Whistle Stop too but I think Alexis has Celiac s Disease I ve heard that new restaurant over on Main Street has a lot of glutenfree options| [person:lawrence m 0-0][person:lawrence m 7-7][person:alexis f 9-9][person:lawrence m 14-14][location:restaurant s 19-19][location:street s 23-23]
eddie| Are you talking about Roxie s Next to the pharmacy| [person:lawrence m 1-1]
lawrence| Yes that s the one I am thinking of| [person:lawrence m 5-5]
eddie| I ve never been there but it is super close to my house and I am happy to try something new Do you want to make the reservation for 9AM| [person:eddie m 0-0][location:restaurant s 4-4][location:restaurant s 6-6][person:eddie m 11-11][person:eddie m 14-14][person:lawrence m 22-22]
lawrence| Yes I ll give them a call after my workout| [person:lawrence m 1-1][person:alexis_and_adam g(alexis:adam) 4-4][person:lawrence m 8-8]
eddie| Works for me I m glad we got this set up It will be nice to get together without the stress of work| [person:eddie m 2-2][person:eddie m 3-3][person:eddie_and_lawrence g(eddie:lawrence) 6-6]
lawrence| I 100 agree Thanks for the idea| [person:lawrence m 0-0]

conv:people_2019090101_202:aug_0:chat_0:chataug_0| catherine chloe| [person:catherine f 0-0][person:chloe f 1-1]
chloe| We are all a go for our night out on Friday correct| [person:we g(chloe:catherine) 0-0][person:we g(chloe:catherine) 6-6]
catherine| Yes Sandra Heather and Janet are all free| [person:sandra f 1-1][person:heather f 2-2][person:janet f 4-4]
chloe| Good now where should we go| [person:we g(chloe:catherine:sandra:heather:janet) 4-4]
catherine| I really don t care but I know Sandra and Janet like disco a lot| [person:catherine f 0-0][person:catherine f 6-6][person:sandra f 8-8][person:janet f 10-10]
chloe| I can be talked into it I suppose Not sure about Heather| [person:chloe f 0-0][person:chloe f 6-6][person:heather f 11-11]
catherine| Oh right Heather loves the techno place| [person:heather f 2-2]
chloe| Well the disco place has a great bar and that will make her happy| [person:heather f 12-12]
catherine| Oh good Make the sell then|
chloe| She is pretty laid back and won t mind where we go as long as we are together| [person:heather f 0-0][person:we g(chloe:catherine:sandra:heather:janet) 10-10][person:we g(chloe:catherine:sandra:heather:janet) 15-15]
catherine| That is the important part It shouldn t be a problem then See you soon| [person:chloe f 13-13]

conv:people_2019090101_203:aug_0:chat_0:chataug_0| samuel shawn| [person:samuel m 0-0][person:shawn m 1-1]
samuel| Hi Shawn Jon said he can only join us for our game next week after 6pm| [person:shawn m 1-1][person:jon m 2-2][person:jon m 4-4][person:us g(samuel:shawn) 8-8][person:us g(samuel:shawn) 10-10]
shawn| Well that s not a problem for anyone is it| [person:anyone g(samuel:shawn) 7-7]
samuel| No I don t think so it s ok for me anyway| [person:samuel m 1-1][person:samuel m 10-10]
shawn| Yeah I know Arthur can make it for sure| [person:shawn m 1-1][person:arthur m 3-3]
samuel| Oh I just remembered The court is closed after 6pm already| [person:samuel m 1-1][location:the_court s 4-5]
shawn| Oh really What do we do then| [person:we g(samuel:shawn:jon:arthur) 4-4]
samuel| We can just play somewhere else we don t have to cancel| [person:we g(samuel:shawn:jon:arthur) 0-0][location:somewhere_else s 4-5][person:we g(samuel:shawn:jon:arthur) 6-6]
shawn| How about at Arthur s place| [person:arthur m 3-3]
samuel| Hmm It s a bit far for me but I guess that s not a big deal| [location:arthur_s_place s 1-1][person:samuel m 7-7][person:samuel m 9-9]
shawn| Settled then I ll tell the others it s ok then| [person:shawn m 2-2][person:others g(jon:arthur) 6-6][location:arthur_s_place s 7-7]
samuel| Sure bye|

conv:people_2019090101_205:aug_0:chat_0:chataug_0| kelly stella| [person:kelly f 0-0][person:stella f 1-1]
stella| What should we cook for our friends| [person:we g(stella:kelly) 2-2][person:we g(stella:kelly) 5-5][person:friends g() 6-6]
kelly| I don t know Do you know if the Watsons or Bryants have any dietary restrictions| [person:kelly f 0-0][person:stella f 5-5][person:watsons g() 9-9][person:bryants g() 11-11]
stella| Not that I m aware of| [person:stella f 2-2]
kelly| We can just cook whatever we want then| [person:we g(stella:kelly) 0-0][person:we g(stella:kelly) 5-5]
stella| Let s just make some pizzas then|
kelly| Okay I ll buy some flour and yeast for the dough| [person:kelly f 1-1]
stella| I ll make some tomato sauce| [person:stella f 0-0]
stella| What kind of toppings should we get| [person:we g(stella:kelly) 5-5]
kelly| Let s just keep it simple Cheese and pepperoni|
stella| Sounds good We can cook it together| [person:we g(stella:kelly) 2-2]
kelly| Alright Sounds good|

conv:people_2019090101_206:aug_0:chat_0:chataug_0| helen margaret| [person:helen f 0-0][person:margaret f 1-1]
helen| Hello Margaret are we still on for drinks| [person:margaret f 1-1][person:we g(helen:margaret) 3-3]
margaret| Yes and don t forget Andrea and Monica are coming too| [person:andrea f 5-5][person:monica f 7-7]
helen| Off course I ve been thinking and I feel lost about where we d go| [person:helen f 2-2][person:helen f 7-7][person:we g(helen:margaret) 12-12]
margaret| Don t worry we ll find something for sure| [person:we g(helen:margaret) 3-3]
helen| Andrea and Monica actually hang out quite often| [person:andrea f 0-0][person:monica f 2-2]
margaret| Let s just go the place they usually go to then| [location:place s 5-5][person:they g(andrea:monica) 6-6]
helen| I heard Monica doesn t like the place but Andrea likes it a lot| [person:helen f 0-0][person:monica f 2-2][location:place s 7-7][person:andrea f 9-9][location:place s 11-11]
margaret| I guess we ll have to take them to some place new then| [person:margaret f 0-0][person:we g(helen:margaret) 2-2][person:them g(andrea:monica) 7-7][location:place s 10-10]
helen| There s this new bar on Lemon street they both were talking about it It s supposed to be lemon themed| [location:bar s 4-4][location:bar s 7-7][person:they g(andrea:monica) 8-8][location:bar s 13-13][location:bar s 14-14]
margaret| Well it s settled then If they both like it and we both don t have a problem with it I don t see why we shouldn t go there| [person:they g(andrea:monica) 6-6][location:bar s 9-9][person:we g(helen:margaret) 11-11][person:margaret f 20-20][person:we g(helen:margaret) 25-25]
helen| Great See you there| [person:margaret f 2-2][location:bar s 3-3]
margaret| Cheers|

conv:people_2019090101_207:aug_0:chat_0:chataug_0| brian ricky| [person:brian m 0-0][person:ricky m 1-1]
brian| How about a going for food|
ricky| It is a good idea and let us also make it a get together and call our friends Joyce and Justin to join us| [person:us g(brian:ricky) 7-7][person:us g(brian:ricky) 16-16][person:friends g() 17-17][person:joyce f 18-18][person:justin m 20-20][person:us g(brian:ricky) 23-23]
brian| It is not a bad idea at all and it will be fun with all of us| [person:us g(brian:ricky) 16-16]
ricky| Ok then let me inform them about this get together| [person:ricky m 3-3][person:friends g(joyce:justin) 5-5]
brian| Which restaurant we will go for get together with them| [person:us g(brian:ricky) 2-2][person:friends g(joyce:justin) 9-9]
ricky| May be we will can prefer any nearby restaurant| [person:we g(brian:ricky:joyce:justin) 2-2]
brian| Then it will be convenient to all isn t it|
ricky| Yes how about the food joint in the corner of our location which is also convenient to all| [person:us g(brian:ricky) 10-10]
brian| Ok then we will fix this and you make the reservation| [person:we g(brian:ricky:joyce:justin) 2-2][person:ricky m 7-7]
ricky| Ok done i will proceed with reservation and we will have fun tomorrow| [person:ricky m 2-2][person:we g(brian:ricky:joyce:justin) 8-8]

conv:people_2019090101_208:aug_0:chat_0:chataug_0| jeff thomas| [person:jeff m 0-0][person:thomas m 1-1]
jeff| Hey were should we go to watch the World Series with Craig and Evan| [person:we g(jeff:thomas) 3-3][person:craig m 11-11][person:evan m 13-13]
thomas| I don t know Do we have to go somewhere Couldn t we have it at someone s house| [person:thomas m 0-0][person:we g(jeff:thomas) 5-5][person:we g(jeff:thomas) 12-12][person:someone u 16-16][location:house s 18-18]
jeff| I guess so it would probably be cheaper But what about food And everybody s travel time| [person:jeff m 0-0][person:everybody g(jeff:thomas:craig:evan) 13-13]
thomas| Who is the most central to everyone else And I was thinking everybody could bring some things they like to eat and share| [person:everyone g(jeff:thomas:craig:evan) 6-6][person:thomas m 9-9][person:everybody g(jeff:thomas:craig:evan) 12-12][person:they g(jeff:thomas:craig:evan) 17-17]
jeff| That s a good idea I think Craig lives the closest to everybody but I don t know how he would feel about having it as his place its pretty small| [person:jeff m 5-5][person:craig m 7-7][person:everybody g(jeff:thomas:craig:evan) 12-12][person:jeff m 14-14][person:craig m 19-19][person:craig m 26-26][location:place s 27-27]
