conv:people_chats_0629_362:aug_0:chat_0:chataug_0| hollie joe| [person:hollie f 0-0][person:joe m 1-1]
jerry| My both friends enjoy campus and school well| [person:jerry m 0-0][person:jt g(josh:teresa) 2-2][location:school s 6-6]
jerry| What you think about it| [person:shannon m 1-1]
shannon| I will think about all and decides one of the best| [person:shannon m 0-0]
shannon| I also want to talk with your both friend josh and teresa| [person:shannon m 0-0][person:jerry m 6-6][person:jt g(josh:teresa) 8-8][person:josh m 9-9][person:teresa f 11-11]
jerry| OK we will meet on the next Sunday| [person:jjt g(jerry:josh:teresa) 1-1]
jerry| After that you will decide which one you want to join| [person:shannon m 2-2][person:shannon m 7-7]
shannon| OK done bye|

conv:people_long_0313_24:aug_0:chat_0:chataug_0| daniel matthew| [person:daniel m 0-0][person:matthew m 1-1]
daniel| Hey Matthew I am tired of doing this hectic work| [person:matthew m 1-1][person:daniel m 2-2]
daniel| I think we should hire an assistant to help us out at work| [person:daniel m 0-0][person:we g(daniel:matthew) 2-2][person:us g(daniel:matthew) 9-9]
matthew| Yeah I think that would be better to overcome some of the work pressure| [person:matthew m 1-1]
matthew| Do you have any specifications for the assistant| [person:daniel m 1-1]
daniel| Yeah I want someone with good experience because it s not going to be easy| [person:daniel m 1-1][person:someone u 3-3]
daniel| Do you have any specifications regarding him| [person:matthew m 1-1][person:him m 6-6]
matthew| That s true but I think you should hire someone having good communication and organization skills| [person:matthew m 4-4][person:daniel m 6-6][person:someone u 9-9]
daniel| I think we should consider Amber as she has a lot of good background work experience as an assistant| [person:daniel m 0-0][person:we g(daniel:matthew) 2-2][person:amber f 5-5][person:amber f 7-7]
matthew| Yeah I found that she has many experiences as an assistant| [person:matthew m 1-1][person:amber f 4-4]
matthew| But I think Chelsea will be much better for that post because she seems to be very confident during the interview| [person:matthew m 1-1][person:chelsea f 3-3][person:chelsea f 12-12]
daniel| I think we should go with experience as she worked for so long that will help us at work| [person:daniel m 0-0][person:we g(daniel:matthew) 2-2][person:amber f 8-8][person:us g(daniel:matthew) 16-16]
matthew| That s cool you can understand the matter better as you are more experienced in it| [person:daniel m 3-3][person:daniel m 10-10]
matthew| Anyways let me know your final decision we need to inform them as well| [person:matthew m 2-2][person:daniel m 4-4][person:we g(daniel:matthew) 7-7][person:them g(amber:chelsea) 11-11]
daniel| Yeah sure I will meet you tomorrow in office| [person:daniel m 2-2][person:matthew m 5-5][location:office s 8-8]

conv:people_long_0313_26:aug_0:chat_0:chataug_0| cole mary| [person:cole m 0-0][person:mary f 1-1]
mary| Hey Cole have you got the news about Alex| [person:cole m 1-1][person:cole m 3-3][person:alex m 8-8]
cole| Yes I am very happy as he completed his graduation| [person:cole m 1-1][person:alex m 6-6][person:alex m 8-8]
cole| I want to give him a surprise party and celebrate his success| [person:cole m 0-0][person:alex m 4-4][person:alex m 10-10]
mary| Great have you thought of any venue for the party| [person:cole m 2-2]
cole| Yes but I don t want to let him know about the surprise| [person:cole m 2-2][person:alex m 8-8]
mary| So is there any place in your mind that is appropriate for the party| [location:place s 4-4][person:cole m 6-6]
cole| I am planning to give the party at his favorite restaurant| [person:cole m 0-0][person:alex m 8-8][location:restaurant s 10-10]
mary| I think we should not waste all the money on it In spite we can save some money for the gift| [person:mary f 0-0][person:we g(mary:cole) 2-2][person:we g(mary:cole) 13-13]
cole| Yeah that s a great idea I didn t even think to buy a gift for him| [person:cole m 6-6][person:alex m 16-16]
mary| I think we should also inform Emily She might help us with some ideas| [person:mary f 0-0][person:we g(mary:cole) 2-2][person:emily f 6-6][person:emily f 7-7][person:we g(mary:cole) 10-10]
cole| Yeah as Emily is his girlfriend she can help us in selecting a gift for him| [person:emily f 2-2][person:alex m 4-4][person:emily f 5-5][person:emily f 6-6][person:we g(mary:cole) 9-9][person:alex m 15-15]
mary| Let me invite Emily to the party and we both will buy a gift for him| [person:mary f 1-1][person:emily f 3-3][person:we g(mary:cole) 8-8][person:alex m 15-15]
cole| Okay I will meet you in an hour and discuss the plans in detail| [person:cole m 1-1][person:mary f 4-4]
mary| Fine I will let you know about Emily| [person:mary f 1-1][person:cole m 4-4][person:emily f 7-7]

conv:people_long_0313_28:aug_0:chat_0:chataug_0| marc soni| [person:marc m 0-0][person:soni f 1-1]
soni| Marc I need to fly back home as soon as possible| [person:marc m 0-0][person:soni f 1-1][location:home s 6-6]
marc| What s the hurry for honey Is everything okay|
soni| My best friends Tim and Riz who were on vacation back home went missing| [person:soni f 0-0][person:friends g() 2-2][person:tim m 3-3][person:riz m 5-5][location:home s 11-11]
soni| I have to get back there and help look for them| [person:soni f 0-0][location:there u 5-5][person:friends g(tim:riz) 10-10]
marc| Honey please calm down There s no need to rush out a decision like this|
soni| No Marc I have to get back| [person:marc m 1-1][person:soni f 2-2]
marc| Soni you re exposing yourself to danger You don t know what you might encounter back there| [person:soni f 0-0][person:soni f 1-1][person:soni f 4-4][person:soni f 7-7][person:soni f 12-12][location:there u 16-16]
marc| If Tim and Riz are missing then there must be something dangerous going on| [person:tim m 1-1][person:riz m 3-3][location:there u 7-7]
soni| I m native to that place I know better than to endanger myself| [person:soni f 0-0][location:place s 5-5][person:soni f 6-6][person:soni f 12-12]
marc| You re not listening to me Soni You re making a big decision based on emotion| [person:soni f 0-0][person:marc m 5-5][person:soni f 6-6][person:soni f 7-7]
soni| Marc I m not having this argument right now My best friends are missing and I must go find them| [person:marc m 0-0][person:soni f 1-1][person:soni f 9-9][person:friends g(tim:riz) 11-11][person:soni f 15-15][person:friends g(tim:riz) 19-19]
soni| I can t just stay here| [person:soni f 0-0][location:home s 5-5]
marc| I ve really had it with your temper Soni God Will you just once listen to me and not your emotions| [person:marc m 0-0][person:soni f 6-6][person:soni f 8-8][person:soni f 11-11][person:marc m 16-16][person:soni f 19-19]
marc| All I m asking is that you wait a little until I come back from my business trip| [person:marc m 1-1][person:soni f 6-6][person:marc m 11-11][person:marc m 15-15]
soni| Fine|

conv:people_long_0313_29:aug_0:chat_0:chataug_0| adam john| [person:adam m 0-0][person:john m 1-1]
adam| Hey John how you doing| [person:john m 1-1][person:john m 3-3]
john| Hey Adam I am fine What about you| [person:adam m 1-1][person:john m 2-2][person:adam m 7-7]
adam| Today I recalled the time we had at the fraternity house| [person:adam m 1-1][person:we g(adam:john) 5-5][location:fraternity_house s 9-10]
john| Yes we had a great time there I will never forget that time| [person:we g(adam:john) 1-1][location:fraternity_house s 6-6][person:john m 7-7]
john| It just remembered me all the guys who managed to get in trouble| [person:john m 3-3]
adam| I hope you remember the roguery used to irritate the dean| [person:adam m 0-0][person:john m 2-2][person:dean m 10-10]
john| Yeah that s the funny part in the fraternity house| [location:fraternity_house s 8-9]
john| Did you remember how Rita and Jane used to sneak into our dorm| [person:adam m 1-1][person:rita f 4-4][person:jane f 6-6][person:we g(adam:john) 11-11][location:dorm s 12-12]
adam| Yeah they sneak into our dorm after hours to smoke up| [person:they g(rita:jane) 1-1][person:we g(adam:john) 4-4][location:dorm s 5-5]
adam| Do they are in contact with you| [person:they g(rita:jane) 1-1][person:john m 6-6]
john| Yeah I think I have their contacts Do you want to speak to them| [person:john m 1-1][person:john m 3-3][person:they g(rita:jane) 5-5][person:adam m 8-8][person:they g(rita:jane) 13-13]
adam| Yeah we should try to contact and hang out with them| [person:we g(adam:john) 1-1][person:they g(rita:jane) 10-10]
john| Okay I will contact them and inform you about the location| [person:john m 1-1][person:they g(rita:jane) 4-4][person:adam m 7-7]
adam| That s great I will wait for your response| [person:adam m 3-3][person:john m 7-7]

conv:people_long_0313_31:aug_0:chat_0:chataug_0| adi marcus| [person:adi m 0-0][person:marcus m 1-1]
adi| hey i am excited to attend Lar s wedding haven t you| [person:adi m 1-1][person:marcus m 11-11]
marcus| Yes me too excited and waiting for that time| [person:marcus m 1-1]
adi| Did you speak with Anthony| [person:marcus m 1-1][person:anthony m 4-4]
marcus| about attending wedding|
adi| yes what gift are we planing| [person:we g(adi:marcus:anthony) 4-4]
marcus| We three will meet and discuss on that| [person:we g(adi:marcus:anthony) 0-0]
adi| good idea it is better we all there can decide best gift to Lar s| [person:we g(adi:marcus:anthony) 5-5][location:there u 7-7]
marcus| When can we meet Anthony| [person:we g(adi:marcus) 2-2][person:anthony m 4-4]
adi| Can we meet him today evening| [person:we g(adi:marcus) 1-1][person:anthony m 3-3]
marcus| sure will catch up evening will give a ring to Anthony| [person:anthony m 10-10]
adi| yes we can select best gift to Lar s on her wedding| [person:we g(adi:marcus:anthony) 1-1][person:lar_s f 10-10]
marcus| Lar s will defenetly like our gift| [person:we g(adi:marcus) 5-5]
adi| yah hope she must love the gift| [person:lar_s f 2-2]
marcus| Alright then shall we catch up at 6pm today will inform to Anthony at Spenser| [person:we g(adi:marcus) 3-3][person:anthony m 12-12][location:spenser s 14-14]
adi| i am fine will be free by that time so it is good time and good place to discuss| [person:adi m 0-0][location:place s 16-16]

conv:people_long_0313_32:aug_0:chat_0:chataug_0| delilah norm| [person:delilah f 0-0][person:norm m 1-1]
norm| Cooper are you there| [person:norm m 0-0][person:norm m 2-2]
norm| come out for the archery tag on my birthday please| [person:norm m 7-7]
delilah| Cooper may not join but i talked to Stash and he s always up for archery Tag| [person:norm m 0-0][person:norm m 5-5][person:norm m 8-8][person:norm m 10-10]
norm| ooh good to hear that Stash is In| [person:norm m 5-5]
delilah| Yes but we need to convince Cooper to join with us| [person:delilah f 2-2][person:norm m 6-6][person:delilah f 10-10]
delilah| If you ring her she might join| [person:delilah f 1-1][person:delilah f 3-3][person:delilah f 4-4]
norm| Yah i will do it before that was she interested to join with us| [person:delilah f 1-1][person:delilah f 8-8][person:norm m 13-13]
delilah| Cooper is interested but she does not come out| [person:norm m 0-0][person:delilah f 4-4]
norm| Why is it like that|
delilah| I dn t know Stash told like that| [person:delilah f 0-0][person:norm m 4-4]
norm| alright lets catch up soon and discuss|
delilah| when are you free to meet| [person:norm m 2-2]
norm| i am free tomorrow to talk on this| [person:norm m 0-0]
delilah| i am also free then where shall we meet| [person:norm m 0-0][person:delilah f 7-7]
norm| i will call Stash and Cooper also to join with us| [person:delilah f 0-0][person:norm m 3-3][person:norm m 5-5][person:delilah f 10-10]
delilah| good so we all together gather| [person:norm m 2-2]

conv:people_long_0313_34:aug_0:chat_0:chataug_0| allen gary| [person:allen m 0-0][person:gary m 1-1]
allen| Hey guys so I have tickets for us to go to the Red Sox game on Saturday| [person:allen m 3-3][person:us g(allen:gary) 7-7]
gary| Can t wait sounds like so much fun|
allen| Should we all go together or meet up there What do you think Josh and Abby would prefer| [person:us g(allen:gary) 1-1][person:gary m 11-11][person:josh m 13-13][person:abby f 15-15]
allen| I can text Abby and check with her| [person:allen m 0-0][person:abby f 3-3][person:abby f 7-7]
allen| Do you mind checking with Josh Tell them we have fantastic seats| [person:gary m 1-1][person:josh m 5-5][person:them g(josh:abby) 7-7]
