conv:people_chats_04182020_63:aug_0:chat_0:chataug_0| shane tim| [person:shane m 0-0][person:tim m 1-1]
zack| Yeah I will ask them because I trust them| [person:zack m 1-1][person:smith g() 4-4][person:zack m 6-6][person:smith g() 8-8]
dany| Thank you Zack I ll go and get ready till then| [person:zack m 1-1][person:zack m 2-2][person:dany f 3-3]

conv:people_chats_04182020_184:aug_0:chat_0:chataug_0| carl walt| [person:carl m 0-0][person:walt m 1-1]
carl| Walt I want to tell you that I was glad about the Jade s friendship| [person:walt m 0-0][person:carl m 1-1][person:walt m 5-5][person:carl m 7-7][person:jade f 12-12]
walt| That is Fine How it was being with Jade then| [person:jade f 8-8]
carl| I came to know what Jade likes and dislikes But I still wanted to know about Jade| [person:carl m 0-0][person:jade f 5-5][person:carl m 10-10][person:jade f 16-16]
walt| Yeah I will sure tell you As I know that William dated Jade for a while| [person:walt m 1-1][person:carl m 5-5][person:walt m 7-7][person:william m 10-10][person:jade f 12-12]
carl| Oh effectively you might know Jade Can you suggest me any things that Jade might like doing| [person:walt m 2-2][person:jade f 5-5][person:walt m 7-7][person:carl m 9-9][person:jade f 13-13]
walt| Its not a big issue I will suggest you with that| [person:walt m 5-5][person:carl m 8-8]
carl| Tell me some places where Jade wants to go in her free time| [person:carl m 1-1][location:places g() 3-3][person:jade f 5-5][person:jade f 10-10]
walt| Probably Jade likes to walk in the beach road in her private timing| [person:jade f 1-1][location:beach s 7-7][location:road s 8-8][person:jade f 10-10]
carl| Yeah That is cool I will take her to the place she likes| [person:carl m 4-4][person:jade f 7-7][location:place s 10-10][person:jade f 11-11]
walt| That is quite pleasant Carl Go with the Jade| [person:carl m 4-4][person:jade f 8-8]

conv:people_chats_04182020_185:aug_0:chat_0:chataug_0| ethan mary| [person:ethan m 0-0][person:mary f 1-1]
mary| Hi Daddy What are you doing with the computer| [person:ethan m 4-4]
ethan| Hello Mary I just looking for doctors for the annual check up| [person:mary f 1-1][person:ethan m 2-2]
mary| Oh Are you booking an appointment for your annual health check up| [person:ethan m 2-2][person:ethan m 7-7]
ethan| No my dear child I think it s the time for your annual check up| [person:ethan m 1-1][person:ethan m 4-4][person:mary f 11-11]
mary| Yeah I also think so But which doctor shall we consult| [person:mary f 1-1][person:doctor u 7-7][person:we g(mary:ethan) 9-9]
ethan| We shall consult to doctor Nate as usual for your health check up| [person:we g(mary:ethan) 0-0][person:doctor u 4-4][person:doctor m 5-5][person:mary f 9-9]
mary| No I don t want to come to that doctor because he is very mean and rude to me| [person:mary f 1-1][person:doctor m 9-9][person:doctor m 11-11][person:mary f 18-18]
ethan| He is a very good doctor and also has more experience in this field| [person:doctor m 0-0][person:doctor m 5-5]
mary| Oh Then we shall go to the doctor on Saturday| [person:we g(mary:ethan) 2-2][person:doctor m 7-7]
ethan| Okay then I will fix an appointment on Saturday evening| [person:ethan m 2-2]

conv:people_chats_04182020_186:aug_0:chat_0:chataug_0| damien jon| [person:damien m 0-0][person:jon m 1-1]
jon| Hello Damien how are you doing| [person:damien m 1-1][person:damien m 4-4]
damien| Hello Jon I m doing great how about you| [person:jon m 1-1][person:damien m 2-2][person:jon m 8-8]
jon| I m okay but I m little disturbed with work and all| [person:jon m 0-0][person:jon m 4-4]
damien| Tell me what happened is everything okay| [person:damien m 1-1]
jon| No bro nothing is well I got fired from the office and I m not in a situation to pay my rent this month| [person:jon m 5-5][location:office s 10-10][person:jon m 12-12][person:jon m 20-20]
damien| I m sorry for that bro ask your roommates to adjust money this time You shall give them back as soon as you get the money| [person:damien m 0-0][person:jon m 7-7][person:jon m 14-14][person:jon m 22-22]
jon| No bro I don t want to ask money especially to my roommates| [person:jon m 2-2][person:jon m 11-11]
damien| Than how will you pay rent for this month| [person:jon m 3-3]
jon| I will talk to my household and ask him to give me some time| [person:jon m 0-0][person:jon m 4-4][person:him___roomate m 8-8][person:jon m 11-11]
damien| Okay bro do the way you feel like doing| [person:jon m 5-5]

conv:people_chats_04182020_187:aug_0:chat_0:chataug_0| brooke pam| [person:brooke f 0-0][person:pam f 1-1]
pam| Hello Brooke what are you doing are you ready for Brenda s wedding| [person:brooke f 1-1][person:brooke f 4-4][person:brooke f 7-7][person:brenda f 10-10]
brooke| Hey Pam yeah I m ready what about you| [person:pam f 1-1][person:brooke f 3-3][person:pam f 8-8]
pam| I m even ready and Brooke shall we organize a bridal shower for Brenda| [person:pam f 0-0][person:brooke f 5-5][person:we g(pam:brooke) 7-7][person:brenda f 13-13]
brooke| Sure let s do it It adds beauty to the wedding and let s maintain a dress code in the bridal shower and I want it to be a white theme for the party| [person:brooke f 23-23]
pam| The idea is good but I think the rose gold theme looks pretty| [person:pam f 5-5]
brooke| I don t think so according to me white theme works out| [person:brooke f 0-0][person:brooke f 7-7]
pam| Okay let s take suggestion from our friends John and Tim| [person:we g(pam:brooke) 6-6][person:friends g(pam:brooke) 7-7][person:john m 8-8][person:tim m 10-10]
brooke| I think that s not a good idea as it is Brenda s wedding we shall ask her about the dress code| [person:brooke f 0-0][person:brenda f 11-11][person:we g(pam:brooke) 14-14][person:brenda f 17-17]
pam| Okay let s ask her and do accordingly| [person:brenda f 4-4]
brooke| Cool let s meet in the wedding see you soon| [person:pam f 8-8]

conv:people_chats_04182020_188:aug_0:chat_0:chataug_0| christine patrick| [person:christine f 0-0][person:patrick m 1-1]
christine| Hey Patrick Aunt Mary just called me| [person:patrick m 1-1][person:aunt_mary f 2-2][person:aunt_mary f 3-3][person:christine f 6-6]
patrick| Oh really What was she saying| [person:aunt_mary f 4-4]
christine| She was asking what gift you d like for your birthday| [person:aunt_mary f 0-0][person:patrick m 5-5][person:patrick m 9-9]
patrick| That s so sweet What do you suggest we should ask her to get| [person:christine f 6-6][person:we g(christine:patrick) 8-8][person:aunt_mary f 11-11]
patrick| She lives in France and she could get unique things| [person:aunt_mary f 0-0][location:france s 3-3][person:aunt_mary f 5-5]
christine| Yeah she always gets mom souvenirs when she visits| [person:aunt_mary f 1-1][person:mom f 4-4][person:aunt_mary f 7-7]
christine| Remember the green scarf she got her last time she came here| [person:aunt_mary f 4-4][person:mom f 6-6][person:aunt_mary f 9-9][location:france s 11-11]
patrick| Oh yes Mom loved that| [person:mom f 2-2]
christine| Yeah I could ask her to get you vintage clothes and a bottle of customized perfume| [person:christine f 1-1][person:aunt_mary f 4-4][person:patrick m 7-7]
patrick| Alright That is a great idea|

conv:people_chats_04182020_189:aug_0:chat_0:chataug_0| joe vanessa| [person:joe m 0-0][person:vanessa f 1-1]
vanessa| Hi Joe do you know where we can watch Love Island tonight| [person:joe m 1-1][person:joe m 3-3][person:them g(vanessa:joe) 6-6][location:island s 10-10]
vanessa| I used to watch it on satellite Tv but I cancelled it so now I don t get Love Island UK| [person:vanessa f 0-0][person:vanessa f 9-9][person:vanessa f 14-14][location:uk s 20-20]
joe| I m not sure but I ll ask Giana and Rick because they both watch it and live outside the UK like you| [person:joe m 0-0][person:joe m 5-5][person:rick m 10-10][person:them g(vanessa:joe) 12-12][location:uk s 20-20][person:vanessa f 22-22]
vanessa| Great idea|
vanessa| I know they ve watched other Love Island seasons online too| [person:vanessa f 0-0][person:them g(vanessa:joe) 2-2]
joe| Ok I will message them and get back to you with a website you can watch it at once I talk to them| [person:joe m 1-1][person:them g(vanessa:joe) 4-4][person:vanessa f 9-9][person:vanessa f 13-13][person:joe m 19-19][person:them g(vanessa:joe) 22-22]
joe| Have you tried Hulu I know they have all the Love Island seasons on Hulu right now| [person:vanessa f 1-1][person:joe m 4-4][person:them g(vanessa:joe) 6-6]
vanessa| No I didn t even check Hulu I m replacing my satellite TV subscription with Hulu and Netflix so maybe I can just watch Love Island on Hulu tonight| [person:vanessa f 1-1][person:vanessa f 7-7][person:vanessa f 10-10][person:vanessa f 20-20]
vanessa| Do you want to come over for a Love Island watching party tonight Joe| [person:joe m 1-1][person:joe m 13-13]
joe| Oh wow that would be so much fun|
joe| Should I invite Gianna and Rick over too| [person:joe m 1-1][person:gianna f 3-3][person:rick m 5-5]
vanessa| Of course they are both invited They have been our friends from day dot| [person:them g(vanessa:joe) 2-2][person:them g(vanessa:joe) 6-6][person:them g(vanessa:joe) 9-9]
joe| Ok great I will message them and they will totally be there Should I bring snacks or drinks| [person:joe m 2-2][person:them g(vanessa:joe) 5-5][person:them g(vanessa:joe) 7-7][person:joe m 13-13]
joe| I was thinking about making bangers and mash to honor the UK Should I bring that dish over for everyone to eat| [person:joe m 0-0][location:uk s 11-11][person:joe m 13-13][person:them g(vanessa:joe) 19-19]
vanessa| Bangers and Mash is perfect See you tonight Joe Bye| [person:joe m 6-6][person:joe m 8-8]
joe| See ya later|

conv:people_chats_04182020_190:aug_0:chat_0:chataug_0| hannah jane| [person:hannah f 0-0][person:jane f 1-1]
jane| Hi Hannah Shall we watch a Netflix show in our apartment tonight| [person:hannah f 1-1][person:we g(jane:hannah) 3-3][person:we g(jane:hannah) 9-9][location:apartment s 10-10]
hannah| Yes we shall watch The Office show in this chill night| [person:we g(jane:hannah) 1-1]
jane| Shall we invite our friends Rose and Stacey for watching the show along with us| [person:we g(jane:hannah) 1-1][person:we g(jane:hannah) 3-3][person:friends g() 4-4][person:rose f 5-5][person:stacey f 7-7][person:we g(jane:hannah) 14-14]
hannah| Yeah That will be a great idea to invite them for the show| [person:friends g(rose:stacey) 9-9]
jane| We shall also do a Taco bar and I think Rose would be very excited about that| [person:we g(jane:hannah) 0-0][location:bar s 6-6][person:jane f 8-8][person:rose f 10-10]
hannah| We shall also play some other games and also prepare a good dinner| [person:we g(jane:hannah) 0-0]
jane| I will invite Stacey and you just invite Rose for the party| [person:jane f 0-0][person:stacey f 3-3][person:hannah f 5-5][person:rose f 8-8]
hannah| Sure I can invite Rose But she is working a 12 hour shift and we should help her| [person:hannah f 1-1][person:rose f 4-4][person:rose f 6-6][person:we g(jane:hannah) 14-14][person:rose f 17-17]
jane| Yeah We shall drop her to the work after the party| [person:we g(jane:hannah) 1-1][person:rose f 4-4]
hannah| Yeah I think that would be a great idea to do| [person:hannah f 1-1]

conv:people_chats_04182020_192:aug_0:chat_0:chataug_0| dory erica| [person:dory f 0-0][person:erica f 1-1]
erica| Hi Dory Where are you now| [person:dory f 1-1][person:dory f 4-4]
dory| Hello Erica I am yet to reach home in 10 minutes Why| [person:erica f 1-1][person:dory f 2-2][location:home s 7-7]
erica| Okay I want to talk to you for 5 minutes Are you free| [person:erica f 1-1][person:dory f 6-6][person:dory f 11-11]
dory| Yes tell me what is the matter| [person:dory f 2-2]
erica| We are paying the rent very late this month so we need to ask permission to our landlord s Mr Rangers and Mrs Malone| [person:we g(erica:dory) 0-0][person:we g(erica:dory) 10-10][person:we g(erica:dory) 16-16][person:mr__rangers m 19-20][person:mr__rangers m 20-20][person:mrs__malone f 22-23][person:mrs__malone f 23-23]
dory| Yes you are right We shall ask Mr Ranger and I am confident that I can convince him| [person:erica f 1-1][person:we g(erica:dory) 4-4][person:dory f 10-10][person:dory f 14-14][person:mr__rangers m 17-17]
erica| No I think we can contact Mrs Malone because she is much more reasonable| [person:erica f 1-1][person:we g(erica:dory) 3-3][person:mrs__malone f 7-7][person:mrs__malone f 9-9]
dory| Okay then we will contact Mrs Malone itself| [person:we g(erica:dory) 2-2][person:mrs__malone f 6-6]
erica| Okay We will meet her once you reach home today| [person:we g(erica:dory) 1-1][person:mrs__malone f 4-4][person:dory f 6-6][location:home s 8-8]
dory| Okay I will be at home shortly| [person:dory f 1-1][location:home s 5-5]

conv:people_chats_04182020_193:aug_0:chat_0:chataug_0| bonnie eric| [person:bonnie f 0-0][person:eric m 1-1]
eric| Bonnie Ellen s birthday is just around the corner We should plan a family trip How about the Bahamas| [person:bonnie f 0-0][person:ellen f 1-1][person:we g(eric:bonnie) 9-9][person:family g(eric:bonnie:ellen) 13-13][location:bahamas s 18-18]
