conv:chats_1127_159:aug_0:chat_0:chataug_0| aiden rusell| [person:aiden m 0-0][person:rusell m 1-1]
mario| I don t think so Nina Kids are happy here with me| [person:mario m 0-0][person:nina f 5-5][person:kids g() 6-6][location:here u 9-9][person:mario m 11-11]
nina| Mario I am warning you ask your girlfriend to stop taking drugs in front of my kids| [person:mario m 0-0][person:nina f 1-1][person:mario m 4-4][person:mario m 6-6][person:vira f 7-7][person:nina f 15-15][person:kids g() 16-16]
mario| No Vira is not taking any drugs in front of kids| [person:vira f 1-1][person:kids g() 10-10]
mario| I think you should stop investigating me and Vira s activities from kids| [person:mario m 0-0][person:nina f 2-2][person:mario m 6-6][person:vira f 8-8][person:kids g() 12-12]
nina| I will never know about this if I didn t investigate them| [person:nina f 0-0][person:nina f 7-7]
nina| I need you to warn her to mind her actions| [person:nina f 0-0][person:mario m 2-2][person:vira f 5-5][person:vira f 8-8]
mario| Stop blaming me like this Anyhow I won t be afraid of your words| [person:mario m 2-2][person:mario m 6-6][person:nina f 12-12]
nina| If you don t warn her I will inform the child services authority supervisor Costa| [person:mario m 1-1][person:vira f 5-5][person:nina f 6-6][person:costa m 14-14]
mario| Why do you want to inform the supervisor I haven t done anything wrong| [person:nina f 2-2][person:costa m 7-7][person:mario m 8-8]
nina| I will ask Costa to visit multiple times and check your property before kids next visit for safety and health purposes| [person:nina f 0-0][person:costa m 3-3][person:mario m 10-10][person:kids g() 13-13]
mario| I think you are complicating the situation too much| [person:mario m 0-0][person:nina f 2-2]
nina| Anyways let me know what you both have decided Otherwise I won t allow my kids to visit your place| [person:nina f 2-2][person:mario m 5-5][person:nina f 10-10][person:nina f 14-14][person:kids g() 15-15][person:mario m 18-18][location:place s 19-19]
mario| You don t have the authority over the custody of children In that case I can go for legal actions| [person:nina f 0-0][person:mario m 14-14]

conv:long_chats_0223_111:aug_0:chat_0:chataug_0| elliott stuart| [person:elliott m 0-0][person:stuart m 1-1]
stuart| Hey Elliott Are you attending to the Halloween party this weekend| [person:elliott m 1-1][person:elliott m 3-3]
elliott| Yes Stuart I m attending the Halloween party this weekend| [person:stuart m 1-1][person:elliott m 2-2]
elliott| But I m confused about the Halloween costume Do you have any suggestions in your mind| [person:elliott m 1-1][person:stuart m 9-9][person:stuart m 14-14]
stuart| I want to attend the party in Spiderman costume| [person:stuart m 0-0]
elliott| Spiderman costume is good but I think it will be a great fun if we do a group costume| [person:elliott m 5-5][person:we g(stuart:elliott) 14-14]
elliott| We will have more options if we include Heather and Hannah in our plan| [person:we g(stuart:elliott) 0-0][person:we g(stuart:elliott) 6-6][person:heather f 8-8][person:hannah f 10-10][person:we g(stuart:elliott) 12-12]
stuart| I am afraid that won t be happening| [person:stuart m 0-0]
stuart| Because both the girls have already picked out their costumes and they will not change their costumes for any reason| [person:girls g(heather:hannah) 3-3][person:girls g(heather:hannah) 8-8][person:girls g(heather:hannah) 11-11][person:girls g(heather:hannah) 15-15]
elliott| What are they both planning to go as in the Halloween party| [person:girls g(heather:hannah) 2-2]
stuart| They both are planning to go as Disney princess| [person:girls g(heather:hannah) 0-0]
elliott| Okay then we don t have any other options left so let s wear a Spiderman costume| [person:we g(stuart:elliott) 2-2]
stuart| That s a good idea I will have a company too| [person:stuart m 5-5]
elliott| Okay let s go and pick the costumes from the store|
stuart| Yeah sure Let s go and buy the costumes for the party|

conv:long_chats_0223_114:aug_0:chat_0:chataug_0| sandy steve| [person:sandy f 0-0][person:steve m 1-1]
sandy| Hey Steve How do we go for our school field trip to Washington D C| [person:steve m 1-1][person:we g(sandy:steve) 4-4][person:we g(sandy:steve) 7-7][location:school s 8-8][location:trip s 10-10][location:trip s 12-12]
steve| Even I am thinking of that Why can t we start a fundraising event| [person:steve m 1-1][person:we g(sandy:steve) 9-9]
sandy| What event can we set up for that| [person:we g(sandy:steve) 3-3]
steve| We can plan for a lemonade stand in our neighborhood| [person:we g(sandy:steve) 0-0][person:we g(sandy:steve) 8-8]
sandy| Are you sure we can raise money from that| [person:steve m 1-1][person:we g(sandy:steve) 3-3]
steve| I hope so let s try this| [person:steve m 0-0]
sandy| Okay but we need a lemonade machine and other items to start it Where will we get those| [person:we g(sandy:steve) 2-2][person:we g(sandy:steve) 15-15]
steve| Brock and Jodi provided us a table some chairs and also a lemonade machine Let s start with it| [person:brock m 0-0][person:jodi f 2-2][person:we g(sandy:steve) 4-4]
sandy| Okay I think we should start spreading flyers in our neighborhood about our fundraising event| [person:sandy f 1-1][person:we g(sandy:steve) 3-3][person:we g(sandy:steve) 9-9][person:we g(sandy:steve) 12-12]
steve| Great idea Sandy Start preparing the flyers| [person:sandy f 2-2]
steve| Even Brock and Jodi are also showing interest in passing out the flyers to inform the other neighbors| [person:brock m 1-1][person:jodi f 3-3][person:neighbors g() 17-17]
sandy| That s great to hear But I am unable to decide that how much lemonade will be required to supply for its demand| [person:sandy f 6-6]
steve| No problem we can check out there| [person:we g(sandy:steve) 2-2][location:there u 6-6]
sandy| Okay let s meet in an hour and discuss the plan in detail|

conv:long_chats_0223_116:aug_0:chat_0:chataug_0| mia sara| [person:mia f 0-0][person:sara f 1-1]
sara| Hey Mia are you aware that our friends Evan Vina have opened up a new boutique at the end of the street| [person:mia f 1-1][person:mia f 3-3][person:our g(sara:mia) 6-6][person:friends g() 7-7][person:evan m 8-8][person:vina f 9-9][location:boutique s 15-15]
mia| Yeah I came to know recently about it and I also know they have a very interesting collection that we can explore| [person:mia f 1-1][location:boutique s 7-7][person:mia f 9-9][person:friends g(evan:vina) 12-12][person:our g(sara:mia) 19-19]
sara| Are you free this weekend Why don t we go to their store check out their latest collections| [person:mia f 1-1][person:our g(sara:mia) 8-8][person:friends g(evan:vina) 11-11][location:boutique s 12-12][person:friends g(evan:vina) 15-15]
mia| Yes I ll be free this weekend They have always talked about the cuts and color schemes of their products I excited to check them out| [person:mia f 1-1][person:friends g(evan:vina) 7-7][person:friends g(evan:vina) 18-18][person:mia f 20-20][person:friends g(evan:vina) 24-24]
sara| I m thrilled about the decors they choose for their store because Evan is an excellent interior designer and also the location of the boutique as Vina is a great marketer| [person:sara f 0-0][person:friends g(evan:vina) 6-6][person:friends g(evan:vina) 9-9][location:boutique s 10-10][person:evan m 12-12][location:boutique s 24-24][person:vina f 26-26]
mia| Why are you thinking with such details about the location and collection of the store| [person:sara f 2-2][location:location s 9-9][location:boutique s 14-14]
sara| You are aware of my profession Mia I suggested them the best deals of the town but they didn t pay any attention to what I ve suggested| [person:sara f 0-0][person:sara f 4-4][person:mia f 6-6][person:sara f 7-7][person:friends g(evan:vina) 9-9][person:friends g(evan:vina) 17-17][person:sara f 25-25]
mia| Your suggestions might not fit for their budget that can be the reason they didn t go according to your suggestions| [person:sara f 0-0][person:friends g(evan:vina) 6-6][person:friends g(evan:vina) 13-13][person:sara f 19-19]
mia| Keep your professional emotions aside and lets appreciate their efforts of setting up a store| [person:sara f 1-1][person:friends g(evan:vina) 8-8][location:boutique s 14-14]
sara| Of course I appreciate their efforts and I also pray that they succeed in their business| [person:sara f 2-2][person:friends g(evan:vina) 4-4][person:sara f 7-7][person:friends g(evan:vina) 11-11][person:friends g(evan:vina) 14-14]
sara| My plan of action would only add up to their revenues I tried to help them as a well wisher but not in terms of my professional emotions| [person:sara f 0-0][person:friends g(evan:vina) 9-9][person:sara f 11-11][person:friends g(evan:vina) 15-15][person:sara f 25-25]
mia| I think their store must be very grand because it was inaugurated by well known dignitaries and I want to visit it very soon| [person:mia f 0-0][person:friends g(evan:vina) 2-2][location:boutique s 3-3][location:boutique s 9-9][person:mia f 17-17][location:boutique s 21-21]
sara| Alright then let s plan for this weekend I also need new decoratives for furnishing my home| [person:sara f 8-8][person:sara f 15-15][location:home s 16-16]
mia| I m very excited about their store and I can t wait till the weekend Let s prepone it to tomorrow itself| [person:mia f 0-0][person:friends g(evan:vina) 5-5][location:boutique s 6-6][person:mia f 8-8]

conv:long_chats_0223_119:aug_0:chat_0:chataug_0| alicia danny| [person:alicia f 0-0][person:danny m 1-1]
danny| It has been a long time we haven t gone for a night out| [person:we g(danny:alicia) 6-6]
alicia| Yeah you are right lets plan for a night out this weekend| [person:danny m 1-1]
danny| What about our daughters They are too small to stay alone We need to think about it| [person:we g(danny:alicia) 2-2][person:they g() 4-4][person:we g(danny:alicia) 11-11]
alicia| We can hire a babysitter for Ella and Emma This can also help me to manage them| [person:we g(danny:alicia) 0-0][person:ella f 6-6][person:emma f 8-8][person:alicia f 13-13][person:they g() 16-16]
danny| I think we can tell my parents to babysit them this weekend| [person:danny m 0-0][person:we g(danny:alicia) 2-2][person:danny m 5-5][person:parents g() 6-6][person:they g() 9-9]
alicia| Are you sure they are old enough will they be able to manage them| [person:danny m 1-1][person:they g() 3-3][person:they g() 8-8][person:they g() 13-13]
danny| Well I won t be comfortable with any other person other than our parents Only they can manage our children properly| [person:danny m 1-1][person:we g(danny:alicia) 12-12][person:parents g() 13-13][person:they g() 15-15][person:we g(danny:alicia) 18-18]
danny| I think they will be very happy to have time with them| [person:danny m 0-0][person:they g() 2-2][person:they g() 11-11]
alicia| Well you are right we can also keep a babysitter which can help them to manage our children| [person:danny m 1-1][person:we g(danny:alicia) 4-4][person:they g() 13-13][person:we g(danny:alicia) 16-16]
alicia| You should understand that they are too old to manage all their needs that a babysitter can do| [person:danny m 0-0][person:they g() 4-4][person:they g() 11-11]
danny| Are you suggesting to keep a babysitter who would manage all the works and our parents will spend the play timings with them| [person:alicia f 1-1][person:we g(danny:alicia) 14-14][person:parents g() 15-15][person:they g() 22-22]
alicia| Yeah you are right I meant that Now we can plan something for this weekend| [person:danny m 1-1][person:alicia f 4-4][person:we g(danny:alicia) 8-8]
danny| I will plan accordingly Thanks for the planning dear at least now we can spend time for ourselves| [person:danny m 0-0][person:we g(danny:alicia) 12-12]
alicia| Let s plan for a long drive this weekend so that we can enjoy it| [person:we g(danny:alicia) 11-11]

conv:long_chats_0223_120:aug_0:chat_0:chataug_0| ben ellie| [person:ben m 0-0][person:ellie f 1-1]
ben| Hey how are you Are you busy this weekend| [person:ellie f 3-3][person:ellie f 5-5]
ellie| I m good Ben I will mostly be free this weekend| [person:ellie f 0-0][person:ben m 3-3][person:ellie f 4-4]
ben| Not really but its been 3 weeks that we ve met I feel like meeting you again| [person:we g(ben:ellie) 8-8][person:ben m 11-11][person:ellie f 15-15]
ellie| Yes Ben I have the same feeling of meeting you Do you have any plans| [person:ben m 1-1][person:ellie f 2-2][person:ben m 9-9][person:ben m 11-11]
ben| I think I m becoming a firm believer of online dating site Is it the same with you| [person:ben m 0-0][person:ben m 2-2][person:ellie f 17-17]
ellie| I m not sure but I have the same feeling on online dating after meeting you| [person:ellie f 0-0][person:ellie f 5-5][person:ben m 15-15]
