conv:long_chats_0223_199:aug_0:chat_0:chataug_0| lilly sheila| [person:lilly f 0-0][person:sheila f 1-1]
jody| Yes let go both stores|
jody| They are going to love it see you tomorrow| [person:they g(russell:luis) 0-0][person:alexa f 7-7]
alexa| See you| [person:jody f 1-1]
jody| Oh and don t forget the gift card|

conv:people_0610_133:aug_0:chat_0:chataug_0| jordan mann| [person:jordan m 0-0][person:mann m 1-1]
mann| I was thinking of buying a cottage| [person:mann m 0-0][location:cottage s 6-6]
mann| What do you think| [person:jordan m 2-2]
jordan| I was actually thinking the same thing| [person:jordan m 0-0]
jordan| Good place to wind down| [location:place s 1-1]
jordan| I have been talking to Josh| [person:jordan m 0-0][person:josh m 5-5]
jordan| You should consider calling Curtis or Josh| [person:mann m 0-0][person:curtis m 4-4][person:josh m 6-6]
jordan| They are very good at finding real estate| [person:they g(josh:curtis) 0-0]
mann| What all did Josh say| [person:josh m 3-3]
mann| Does he think he can find a good location with the cottage| [person:josh m 1-1][person:josh m 3-3][location:cottage s 11-11]
mann| I was thinking about calling him or Curtis| [person:mann m 0-0][person:josh m 5-5][person:curtis m 7-7]
jordan| Josh has found a few already| [person:josh m 0-0]
jordan| Its a good idea|
mann| Okay I will consider calling and possibly hiring them| [person:mann m 1-1][person:they g(josh:curtis) 8-8]
mann| Thank you for the help| [person:jordan m 1-1]
jordan| No problem|

conv:people_0610_136:aug_0:chat_0:chataug_0| malcolm rebecca| [person:malcolm m 0-0][person:rebecca f 1-1]
malcolm| hey remember that we have that business travel next week what about snoopy| [person:we g(malcolm:rebecca) 3-3]
rebecca| I know I asked my mom but she can t| [person:rebecca f 0-0][person:rebecca f 2-2][person:rebecca f 4-4][person:mom f 5-5][person:mom f 7-7]
malcolm| You think Dylan and Ann would be ok| [person:rebecca f 0-0][person:dylan m 2-2][person:ann f 4-4]
rebecca| yeah let s ask them see if the can| [person:them g(dylan:ann) 4-4]
malcolm| Let me call them and ask them| [person:malcolm m 1-1][person:them g(dylan:ann) 3-3][person:them g(dylan:ann) 6-6]
rebecca| ok|
malcolm| I already asked them Mitch said that he had to ask his wife| [person:malcolm m 0-0][person:them g(dylan:ann) 3-3][person:mitch m 7-7][person:mitch m 11-11][person:wife f 12-12]
rebecca| I know his wife she is adorable she will say yes| [person:rebecca f 0-0][person:mitch m 2-2][person:wife f 3-3][person:wife f 4-4][person:wife f 7-7]
malcolm| you think so| [person:rebecca f 0-0]
rebecca| yes she loves dogs| [person:wife f 1-1]
malcolm| ok get everything together then|

conv:people_0610_137:aug_0:chat_0:chataug_0| jess wallace| [person:jess f 0-0][person:wallace m 1-1]
wallace| Hey how have you been doing| [person:jess f 3-3]
jess| I am doing alright| [person:jess f 0-0]
jess| How about you| [person:wallace m 2-2]
wallace| Good just trying to think of ways to work out more consistently|
wallace| Do you have any ideas| [person:jess f 1-1]
jess| Honestly I am having the same problem| [person:jess f 1-1]
jess| I need a motivator I think| [person:jess f 0-0][person:jess f 4-4]
wallace| What do you think about getting a personal trainer| [person:jess f 2-2]
wallace| I was thinking it might be a good idea| [person:wallace m 0-0]
wallace| I was considering hiring Michael he seems to be a good trainer| [person:wallace m 0-0][person:michael m 4-4][person:michael m 5-5]
jess| I have thought about hiring him as well| [person:jess f 0-0][person:michael m 5-5]
jess| However he is a little too intense for my style| [person:michael m 1-1][person:jess f 8-8]
jess| I was thinking about hiring Rebecca| [person:jess f 0-0][person:rebecca f 5-5]
wallace| I dont know I prefer his intensity of her relaxed demeanor| [person:wallace m 0-0][person:wallace m 3-3][person:michael m 5-5][person:rebecca f 8-8]
wallace| I dont know that it would work for me| [person:wallace m 0-0][person:wallace m 8-8]
wallace| I think I will talk to Rebecca about her training style| [person:wallace m 0-0][person:wallace m 2-2][person:rebecca f 6-6][person:rebecca f 8-8]
wallace| I will get back to you when I decide| [person:wallace m 0-0][person:jess f 5-5][person:wallace m 7-7]
jess| Okay talk to you then| [person:wallace m 3-3]

conv:people_chats_04182020_1:aug_0:chat_0:chataug_0| ramon ray| [person:ramon m 0-0][person:ray m 1-1]
ramon| Don t forget to complete the home work today|
ray| Yes I remember about the homework| [person:ray m 1-1]
ramon| You have to complete chapterV of mathematics also learn the lessons of physics| [person:ray m 0-0]
ray| But I might not be able to do the homework because I m going to the basketball game| [person:ray m 1-1][person:ray m 11-11]
ramon| Will you take the risk of not doing the homework again Ms Williams is very strict about her task| [person:ray m 1-1][person:ms__williams f 12-12][person:ms__williams f 17-17]
ray| I can manage to convince Ms Williams to give me an extension| [person:ray m 0-0][person:ms__williams f 6-6][person:ray m 9-9]
ramon| As you are new in our class she has given you a chance She might not repeat it| [person:ray m 1-1][person:our g(ramon:ray) 5-5][person:ms__williams f 7-7][person:ray m 10-10][person:ms__williams f 13-13]
ray| Earlier I had a similar situation in the past with my previous teacher| [person:ray m 1-1][person:ray m 10-10]
ramon| Every time you might not be fortunate| [person:ray m 2-2]
ray| I represent our school in basketball everyone is aware of my game I m sure Ms Williams would understand| [person:ray m 0-0][person:our g(ramon:ray) 2-2][location:school s 3-3][person:everyone g() 6-6][person:ray m 10-10][person:ray m 12-12][person:ms__williams f 16-16]

conv:people_chats_04182020_2:aug_0:chat_0:chataug_0| darlene jacky| [person:darlene f 0-0][person:jacky f 1-1]
jacky| Darlene are you prepared for the road trip| [person:darlene f 0-0][person:jacky f 2-2]
darlene| Yeah I am totally prepared and when are you coming to pick me up in your car| [person:darlene f 1-1][person:jacky f 8-8][person:darlene f 12-12][person:jacky f 15-15]
jacky| I was thinking that you car is more suitable for the trip as it has a good mileage capacity| [person:jacky f 0-0][person:darlene f 4-4]
darlene| No Jacky my car doesn t have enough space so it is better if you bring your car for the trip as fellow teammates Bailey and Scarlett will be joining us| [person:jacky f 1-1][person:darlene f 2-2][person:jacky f 14-14][person:jacky f 16-16][person:bailey f 24-24][person:us g(jacky:darlene) 30-30]
jacky| But I don t want to drive I want to enjoy the road trip| [person:jacky f 1-1][person:jacky f 7-7]
darlene| Even I don t want to drive because I am totally tired due to yesterday s work| [person:darlene f 1-1][person:darlene f 8-8]
jacky| Okay let s do one thing we ll ask either Bailey or Scarlett to drive| [person:we g(jacky:darlene) 6-6][person:bailey f 10-10]
darlene| Yeah that s a great idea and they will not deny our request too| [person:they g(bailey) 7-7][person:our g(jacky:darlene) 11-11]
jacky| I know right Anyway be ready I m coming to pick you up| [person:jacky f 0-0][person:jacky f 6-6][person:darlene f 11-11]
darlene| Fine I will be waiting for you| [person:darlene f 1-1][person:jacky f 6-6]

conv:people_chats_04182020_3:aug_0:chat_0:chataug_0| betty jacoby| [person:betty f 0-0][person:jacoby m 1-1]
jacoby| Hey Betty I m so excited about Ray and Antonio s wedding aniversary| [person:betty f 1-1][person:jacoby m 2-2][person:ray m 7-7][person:antonio m 9-9]
betty| Me too Jacoby Don t forget to buy their anniversary cake| [person:betty f 0-0][person:jacoby m 2-2][person:their g(ray:antonio) 8-8]
jacoby| Yeah Betty I have an idea let s get their names printed on top of the cake| [person:betty f 1-1][person:jacoby m 2-2][person:their g(ray:antonio) 9-9]
betty| That s a good idea We could print Antonio s name on one side of the cake and Ray s on the other side| [person:we g(jacoby:betty) 5-5][person:antonio m 8-8][person:ray m 18-18]
jacoby| That s sounds great I ll do it| [person:jacoby m 4-4]
betty| Text me when the cake is ready| [person:betty f 1-1]
jacoby| I just got back from the store and their names are printed| [person:jacoby m 0-0][person:their g(ray:antonio) 8-8]
betty| Great how does it look|
jacoby| It looks amazing they will love it| [person:their g(ray:antonio) 3-3]
betty| I can t wait to surprise them| [person:betty f 0-0][person:their g(ray:antonio) 6-6]

conv:people_chats_04182020_4:aug_0:chat_0:chataug_0| samantha tara| [person:samantha f 0-0][person:tara f 1-1]
tara| Hey Samantha Are you down with your homework Did you receive any text from mom| [person:samantha f 1-1][person:samantha f 3-3][person:samantha f 6-6][person:samantha f 9-9][person:mom f 14-14]
samantha| Yup She told me that she has some more files to check so that she will be coming by late night only| [person:mom f 1-1][person:samantha f 3-3][person:mom f 5-5][person:mom f 14-14]
tara| Im already starving here Shall we order food from online or shall we just prepare| [person:group g(tara:samantha) 5-5][person:group g(tara:samantha) 12-12]
samantha| Mom told us to prepare ourselves What would you like to have| [person:mom f 0-0][person:group g(tara:samantha) 2-2][person:tara f 8-8]
tara| Im putting on lots of fat these days So I would like to have some light food like Roti with broccoli| [person:tara f 9-9]
samantha| That s smart and I am happy for that But I don t think aunt Lori would love that| [person:samantha f 4-4][person:samantha f 10-10][person:lori f 14-14][person:lori f 15-15]
tara| What is your suggestion then Common come up with something fast I already starving| [person:samantha f 2-2][person:tara f 11-11]
samantha| Tell me some dishes which everyone loves in common and also should very easy to prepare Even I am starving| [person:samantha f 1-1][person:everyone g(tara:samantha:mom:lori) 5-5][person:samantha f 17-17]
tara| I think Lori likes Chinese dishes How about vegetable fried rice along with some starter or we can also go with vegetable noodles What say| [person:tara f 0-0][person:lori f 2-2][person:group g(tara:samantha) 16-16]
samantha| Great Help me in slicing some vegetables I will make things doublequick| [person:samantha f 2-2][person:samantha f 7-7]

conv:people_chats_04182020_5:aug_0:chat_0:chataug_0| carol gus| [person:carol f 0-0][person:gus m 1-1]
gus| Hey Carol I want to go to church| [person:carol f 1-1][person:gus m 2-2][location:church s 7-7]
carol| Yeah even I want to go to church| [person:carol f 2-2][location:church s 7-7]
gus| What about kids We can t leave them at home alone| [person:kids g() 2-2][person:we g(gus:carol) 3-3][person:kids g() 7-7][location:home s 9-9]
carol| We can ask our neighbours Mr and Mrs Parkers to look after our kids| [person:we g(gus:carol) 0-0][person:we g(gus:carol) 3-3][person:mr__and_mrs__parkers g() 5-8][person:mr__and_mrs__parkers g() 8-8][person:we g(gus:carol) 12-12][person:kids g() 13-13]
gus| Okay you go and ask them to look after the kids until we return| [person:carol f 1-1][person:mr__and_mrs__parkers g() 5-5][person:kids g() 10-10][person:we g(gus:carol) 12-12]
carol| I m little busy with my work now Can you please go and ask them| [person:carol f 0-0][person:carol f 5-5][person:gus m 9-9][person:mr__and_mrs__parkers g() 14-14]
gus| You know that I hate asking people for assistance| [person:carol f 0-0][person:gus m 3-3]
carol| Yeah I know But I m busy a lot That s why I asked you to go| [person:carol f 1-1][person:carol f 4-4][person:carol f 12-12][person:gus m 14-14]
gus| Yeah I will ask them because I trust them| [person:gus m 1-1][person:mr__and_mrs__parkers g() 4-4][person:gus m 6-6][person:mr__and_mrs__parkers g() 8-8]
carol| Thank you Gus I ll go and get ready till then| [person:gus m 1-1][person:gus m 2-2][person:carol f 3-3]

conv:people_chats_04182020_6:aug_0:chat_0:chataug_0| anne patrick| [person:anne f 0-0][person:patrick m 1-1]
anne| Hi Patrick I just read your text Are you serious about the the Sunday Brunch| [person:patrick m 1-1][person:anne f 2-2][person:patrick m 5-5][person:patrick m 8-8]
patrick| Glad to hear from you old friend And this time we got company Natalie and Shane are back from Russia after five freaking long years| [person:anne f 4-4][person:anne f 6-6][person:we g(anne:patrick) 10-10][person:natalie f 13-13][person:shane m 15-15][location:russia s 19-19]
anne| Did you just say that they are back in town I remember meeting Natalie but it only lasted for a minute I wonder why I am calling it a meeting even| [person:patrick m 1-1][person:they g(natalie:shane) 5-5][location:town s 9-9][person:anne f 10-10][person:natalie f 13-13][person:anne f 21-21][person:anne f 24-24]
patrick| Well don t be so shy and nervous Natalie has been emailing me lately about the blogs you posted| [person:natalie f 8-8][person:patrick m 12-12][person:anne f 17-17]
patrick| And she is very much interested in your storytelling skills Wow Anne you got a serious fan and you don t even know| [person:natalie f 1-1][person:anne f 7-7][person:anne f 11-11][person:anne f 12-12][person:anne f 18-18]
anne| Oh my God That s wonderful At least we have got something in common So stupid of me thinking Natalie being a Frankenstein Monster| [person:anne f 1-1][person:we g(anne:natalie) 8-8][person:anne f 17-17][person:natalie f 19-19]
